,AGEP,SEX,MSP,RAC1P,HOUSING_TYPE,OWN_RENT,EDU,PINCP_DECILE,DVET,DEYE
AGEP,-2.220446049250313e-16,0.06853534263143368,-0.0780020177513828,0.05549270802332261,-0.10413539203378813,0.08939783110331592,-0.3934167818943174,-0.40826364763308587,-0.06311198474144969,0.05748382925132067
SEX,0.06853534263143368,0.0,0.15416382670794046,-0.059094981539904425,0.1479264519015568,-0.0892331893812183,-0.007239247223528634,-0.08528975183116505,0.07493091134379959,0.006352398613668043
MSP,-0.0780020177513828,0.15416382670794046,0.0,0.03212516126137441,-0.009745249350696455,0.05280838505604144,-0.03894548432258979,-0.3625743430467287,0.02694696829246597,0.01004375687026355
RAC1P,0.05549270802332262,-0.059094981539904425,0.03212516126137441,0.0,0.004753972779077149,-0.007701630877251842,0.151677740128114,0.0787382689159481,0.03990707550710182,-0.013195865091018236
HOUSING_TYPE,-0.10413539203378812,0.1479264519015568,-0.009745249350696455,0.004753972779077149,0.0,0.21612201633357375,0.043421269561378664,-0.03959612993438695,0.009401097539093774,0.0254332554058029
OWN_RENT,0.08939783110331591,-0.08923318938121828,0.052808385056041456,-0.007701630877251842,0.21612201633357364,1.1102230246251565e-16,0.11698876772280856,0.021284736239678068,0.020974237421374824,-0.0020147575212197157
EDU,-0.3934167818943174,-0.007239247223528634,-0.03894548432258976,0.151677740128114,0.043421269561378664,0.11698876772280856,-2.220446049250313e-16,-0.53596466158418,-0.02449850076903545,-0.022486546071597717
PINCP_DECILE,-0.40826364763308587,-0.08528975183116502,-0.3625743430467287,0.0787382689159481,-0.03959612993438694,0.02128473623967807,-0.53596466158418,0.0,-0.06167806837009682,0.011095044444136358
DVET,-0.06311198474144969,0.07493091134379962,0.02694696829246597,0.03990707550710182,0.009401097539093774,0.020974237421374824,-0.024498500769035456,-0.06167806837009682,0.0,0.006319038427948863
DEYE,0.05748382925132067,0.006352398613668045,0.010043756870263557,-0.013195865091018243,0.0254332554058029,-0.0020147575212197157,-0.022486546071597717,0.011095044444136356,0.006319038427948856,2.220446049250313e-16
