,INDP,count_target,count_deidentified
6,4670,75,6
34,4680,5,10
0,4690,36,10
2,4770,42,13
16,4780,5,12
17,4795,49,7
10,4870,59,16
8,4880,26,18
20,4890,28,18
7,4971,189,30
30,4972,31,29
26,4980,22,28
29,4990,9,20
5,5070,66,25
25,5080,38,21
31,5090,50,26
4,5170,124,40
27,5180,15,37
24,5190,16,24
18,5275,57,22
19,5280,5,11
23,5295,5,17
14,5370,17,10
12,5381,44,13
3,5391,154,25
28,5470,14,22
21,5480,14,23
13,5490,21,20
1,5570,15,16
15,5580,32,18
22,5593,52,23
32,5670,4,17
33,5680,8,13
9,5690,13,23
11,5790,41,22
