SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,AGEP,HOUSING_TYPE,DVET,DEYE
1,N,1,1,N,3,12,1,N,2
1,1,1,1,9,11,56,1,N,2
2,1,1,2,1,5,19,1,N,2
1,4,9,1,7,7,53,1,N,2
2,6,1,1,5,7,25,1,N,2
2,1,1,1,1,4,50,1,N,2
2,N,1,2,N,3,9,1,N,2
2,4,1,2,5,9,40,1,N,2
2,1,1,2,5,9,59,1,N,2
1,N,1,1,N,3,11,1,N,2
2,1,1,1,2,6,34,1,N,2
2,6,1,1,2,5,23,1,N,2
1,6,1,1,1,9,23,1,N,2
2,6,2,2,5,6,31,1,N,2
1,1,1,2,8,7,29,1,N,2
2,6,1,1,1,7,22,1,N,2
2,N,1,1,N,N,1,1,N,2
2,N,1,1,N,2,4,1,N,2
2,3,1,1,9,8,74,1,N,2
1,N,1,1,N,3,10,1,N,2
2,4,1,1,9,10,56,1,N,2
1,N,1,1,N,1,3,1,N,2
1,1,1,1,8,10,51,1,N,2
1,1,1,1,5,8,74,1,N,2
2,3,1,1,4,7,78,1,N,2
2,1,1,1,6,8,63,1,N,2
2,1,1,1,3,5,75,1,N,2
2,1,1,1,8,9,40,1,N,2
2,1,8,2,0,9,42,1,N,2
1,1,1,1,5,8,28,1,N,2
1,N,6,1,N,N,2,1,N,2
1,1,1,1,7,7,33,1,N,2
2,N,1,1,N,3,10,1,N,2
1,1,1,2,6,1,45,1,N,2
2,2,1,0,2,5,86,2,N,2
2,1,1,1,6,8,43,1,N,2
2,6,1,1,0,4,15,1,N,2
1,N,1,2,N,3,8,1,N,2
2,1,1,1,3,7,69,1,N,2
2,N,1,2,N,N,2,1,N,2
1,1,1,1,7,4,35,1,N,2
2,6,1,1,2,9,23,1,N,2
2,1,1,1,1,7,34,1,N,2
2,6,1,2,1,8,20,1,N,2
1,4,1,1,3,6,58,1,N,2
1,1,1,1,6,5,65,1,N,2
2,N,2,1,N,3,9,1,N,2
2,N,1,2,N,N,1,1,N,2
1,3,1,1,6,9,62,1,N,2
1,1,1,1,9,7,62,1,2,2
1,N,1,1,N,3,14,1,N,2
1,4,1,1,6,5,27,1,N,2
1,1,1,1,9,10,72,1,N,2
1,1,1,1,6,5,24,1,N,2
1,4,1,1,7,10,49,1,N,2
1,1,1,2,9,6,51,1,N,2
1,1,1,1,6,10,66,1,N,2
1,6,1,1,0,5,22,1,N,2
1,4,1,2,5,5,73,1,5,2
1,2,2,2,5,5,49,1,N,2
2,1,9,1,1,7,27,1,N,2
2,6,1,1,0,5,17,1,N,2
2,1,1,1,5,10,45,1,N,2
2,1,2,1,7,10,48,1,N,2
1,6,1,2,2,5,23,1,N,2
2,3,1,2,5,3,92,1,N,2
1,1,9,2,6,10,48,1,N,2
1,1,1,2,6,9,92,1,N,2
1,6,1,1,5,7,22,1,N,2
1,1,4,1,8,7,35,1,N,2
1,4,1,1,7,4,58,1,N,2
2,4,1,1,3,7,76,1,N,2
1,6,1,1,1,4,16,1,N,2
1,6,1,0,2,6,21,3,N,2
1,1,1,2,5,5,56,1,N,2
1,1,1,1,9,9,36,1,N,2
1,1,1,1,7,10,71,1,N,2
2,4,2,2,3,7,52,1,N,1
2,N,6,1,N,1,5,1,N,2
2,N,1,1,N,3,11,1,N,2
2,4,1,2,6,7,84,1,N,2
2,1,1,1,0,6,56,1,N,2
2,N,1,2,N,3,11,1,N,2
2,3,1,2,1,6,71,1,N,2
2,6,1,1,0,4,17,1,N,2
1,1,1,1,9,3,92,1,N,2
2,1,6,1,9,9,56,1,N,2
2,1,1,1,7,7,52,1,N,2
1,1,1,2,5,7,27,1,N,2
2,6,1,1,6,5,57,1,N,2
1,4,1,1,5,4,58,1,N,2
2,1,1,1,4,5,40,1,N,2
2,1,8,1,4,4,44,1,N,2
1,1,1,1,9,9,58,1,N,2
1,6,1,1,6,7,29,1,N,2
2,1,1,1,4,7,74,1,N,2
1,N,1,1,N,2,6,1,N,2
1,6,1,2,3,4,50,1,N,1
2,1,1,1,6,7,69,1,N,2
1,1,2,1,6,8,48,1,4,2
1,1,6,1,9,12,47,1,N,2
2,4,1,1,5,5,39,1,N,2
2,N,2,1,N,3,12,1,N,2
1,1,8,1,7,6,59,1,N,2
1,N,2,1,N,3,10,1,N,2
1,6,1,2,5,9,29,1,N,2
2,6,1,1,7,8,53,1,N,2
1,3,1,1,8,5,68,1,N,2
2,4,1,1,3,7,73,1,N,2
1,1,1,1,7,6,42,1,N,2
1,N,1,1,N,3,11,1,N,2
1,1,1,2,3,5,77,1,N,2
1,4,1,1,9,7,45,1,N,2
1,1,1,2,9,5,49,1,N,2
1,6,6,1,2,7,18,1,N,2
1,6,1,1,5,9,29,1,N,2
2,N,1,1,N,1,3,1,N,2
1,6,6,1,8,7,44,1,N,2
1,3,1,1,4,5,92,1,N,2
2,1,1,2,0,6,59,1,N,2
1,N,1,1,N,3,10,1,N,2
2,6,1,2,1,4,17,1,N,2
2,1,1,1,2,7,71,1,N,2
1,1,1,1,8,9,73,1,N,2
1,6,1,1,8,9,34,1,N,2
1,6,1,1,0,4,15,1,N,2
1,4,1,1,8,7,35,1,N,2
2,1,1,1,5,8,40,1,N,2
1,1,1,1,6,6,84,1,N,2
2,6,2,1,3,9,30,1,N,2
1,N,1,2,N,2,6,1,N,2
2,1,1,1,7,9,56,1,N,2
1,N,1,1,N,1,4,1,N,2
2,6,9,2,1,4,19,1,N,2
1,1,1,1,8,9,86,1,N,1
2,6,1,1,0,4,15,1,N,2
1,6,1,1,0,4,15,1,N,2
2,4,1,1,0,3,61,1,N,2
2,1,1,1,0,7,37,1,N,2
2,1,6,1,9,9,67,1,N,2
1,6,1,2,6,5,38,1,N,2
2,1,1,1,4,8,32,1,N,2
2,1,1,1,9,10,70,1,N,2
1,6,2,0,3,7,20,3,N,2
2,1,6,1,0,10,63,1,N,2
2,1,1,1,1,6,60,1,N,2
2,N,1,1,N,1,3,1,N,2
1,1,1,1,8,9,27,1,2,2
2,4,1,1,6,9,64,1,N,2
1,1,1,1,6,5,36,1,N,2
2,1,1,1,4,7,79,1,N,2
2,N,1,2,N,N,1,1,N,2
1,1,2,1,4,5,59,1,N,2
1,1,1,2,5,6,72,1,3,2
2,1,1,1,8,9,35,1,N,2
2,1,1,1,2,5,69,1,N,2
1,6,1,1,1,10,23,1,N,2
2,4,1,1,8,9,65,1,N,2
2,1,1,1,8,10,26,1,N,2
1,1,1,1,9,10,37,1,2,2
1,6,1,2,4,5,27,1,N,2
2,1,1,1,6,9,62,1,N,2
1,1,1,1,5,8,68,1,N,2
1,1,1,1,6,5,63,1,N,2
