PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP,target
48-02515,56,2,1,0,1,0,2,1,1,2134.8,3580,4,9,109050.0,9,501,N,2,2,2,2,48,48,3375
48-02516,1,2,N,1,1,1,3,1,1,1338.4,N,N,N,N,N,440,N,N,N,2,2,296,234,7631
48-02101,70,2,3,0,1,1,4,1,2,357.4,N,N,10,24000.0,4,355,N,2,2,2,2,27,36,2566
48-02507,53,1,1,0,1,0,2,1,1,3731.1,7380,10,8,120000.0,9,501,N,2,2,2,2,48,48,6655
48-02507,33,1,6,1,1,0,N,1,2,3731.1,4972,6,9,60000.0,7,454,N,2,2,2,2,397,170,862
48-02102,36,2,1,0,1,1,3,1,2,450.9,7860,11,5,22000.0,4,302,N,2,2,2,2,283,284,6780
48-02102,32,2,1,0,1,5,7,1,1,450.9,6870,9,5,30000.0,5,238,N,2,2,2,2,125,153,1863
48-02515,74,1,1,0,1,0,2,1,1,2134.8,N,N,5,33000.0,5,501,N,2,1,2,1,69,69,3178
48-02507,53,1,4,0,9,0,N,1,1,3731.1,6370,7,7,60000.0,7,456,N,2,2,2,1,147,146,7016
48-02102,56,2,1,0,1,3,5,1,1,450.9,N,N,7,0.0,0,281,N,2,2,2,2,63,53,3148
48-02515,92,1,1,0,1,0,2,1,1,2134.8,3180,4,7,56200.0,7,365,N,1,1,1,1,12,12,1405
48-02516,20,1,6,0,1,1,5,1,1,1338.4,8590,14,5,22000.0,4,501,N,2,2,2,2,25,24,5705
48-02516,53,2,1,0,1,0,2,1,1,1338.4,3380,4,7,82000.0,8,501,N,2,2,2,2,155,155,7518
48-02102,59,1,1,0,1,0,3,1,1,450.9,7860,11,10,52000.0,7,501,N,2,2,2,2,54,60,7314
48-02515,48,2,1,0,1,0,2,1,1,2134.8,7780,10,9,50000.0,7,501,N,2,2,2,2,64,60,7482
48-02515,1,1,N,0,1,3,5,1,1,2134.8,N,N,N,N,N,501,N,N,N,2,2,70,54,8046
48-02101,47,1,1,0,2,0,6,1,1,357.4,8270,12,5,24000.0,4,185,N,2,2,2,2,77,73,6946
48-02510,64,2,4,0,1,0,6,1,1,3092.4,9470,16,5,7000.0,2,210,N,2,1,2,2,38,38,1965
48-02507,14,1,N,1,8,2,5,1,1,3731.1,N,N,3,N,N,452,N,2,2,2,2,64,55,8458
48-02102,22,2,6,1,1,0,2,1,2,450.9,8290,12,5,12000.0,3,142,N,2,2,2,2,330,171,4074
48-02510,92,2,3,0,1,N,N,2,0,3092.4,N,N,5,18100.0,4,N,N,1,1,1,1,21,0,88
48-02510,52,1,1,0,1,1,3,1,1,3092.4,7290,10,9,175000.0,9,501,2,2,2,2,2,99,100,419
48-02102,7,2,N,0,9,2,4,1,2,450.9,N,N,3,N,N,147,N,2,2,2,2,171,143,8781
48-02102,4,1,N,0,1,3,5,1,1,450.9,N,N,1,N,N,331,N,N,N,2,2,26,36,8197
48-02102,69,2,4,0,3,0,N,1,1,450.9,N,N,5,13200.0,3,109,N,2,1,1,2,89,88,6247
48-02515,50,2,1,1,1,2,6,1,1,2134.8,N,N,9,0.0,0,140,N,2,2,2,2,168,220,3279
48-02515,43,1,1,1,1,1,4,1,1,2134.8,770,3,5,36000.0,6,235,N,2,2,2,2,32,33,2126
48-02102,23,2,1,1,1,0,2,1,1,450.9,N,N,5,0.0,0,0,N,2,2,2,2,87,88,6425
48-02507,66,1,1,0,1,0,2,1,1,3731.1,6380,7,5,21800.0,4,501,N,2,2,2,2,43,43,6369
48-02102,43,1,2,0,2,0,7,1,1,450.9,N,N,5,0.0,0,351,N,2,2,2,2,277,169,5593
48-02101,47,2,1,0,1,0,2,1,1,357.4,8770,15,9,136000.0,9,501,N,2,2,2,2,96,96,2390
48-02102,16,1,6,0,1,2,5,1,2,450.9,N,N,4,0.0,0,480,N,2,2,2,2,43,77,708
48-02507,42,2,1,1,1,2,6,1,1,3731.1,4270,5,9,125000.0,9,501,N,2,2,2,2,67,67,2189
48-02516,55,2,6,0,1,0,N,1,1,1338.4,7270,10,5,2400.0,1,18,N,2,2,2,2,235,235,6936
48-02507,70,2,4,0,1,0,2,1,1,3731.1,7870,11,7,64500.0,7,501,N,2,2,2,2,48,49,311
48-02102,33,2,1,0,1,2,4,1,1,450.9,7860,11,9,45000.0,6,501,N,2,2,2,2,28,34,771
48-02507,92,1,1,0,1,0,2,1,1,3731.1,N,N,9,196100.0,9,501,4,2,1,2,1,50,50,932
48-02101,46,1,1,0,1,2,4,1,1,357.4,9470,16,7,90000.0,8,378,N,2,2,2,2,25,25,1444
48-02102,58,2,1,0,9,0,2,1,1,450.9,N,N,4,0.0,0,412,N,2,2,2,2,81,68,5636
48-02510,68,1,1,0,1,0,2,1,1,3092.4,4590,5,9,4300.0,2,297,N,2,2,2,2,94,94,1755
