PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR
48-02510,9,1,N,0,1,2,6,1,1,3092.4,N,3,N,N,501,N,1,2,2,2
48-02510,27,2,1,0,1,1,3,1,1,3092.4,3,10,77000.0,8,501,N,2,2,2,2
48-02101,51,2,1,0,1,1,3,1,1,357.4,11,10,47140.0,6,501,N,2,2,2,2
48-02507,42,2,1,4,1,3,5,1,1,3731.1,N,4,0.0,0,183,N,2,2,2,2
48-02507,30,2,1,0,2,2,4,1,1,3731.1,N,10,0.0,0,323,N,2,2,2,2
48-02516,50,1,1,0,1,0,2,1,1,1338.4,11,10,52000.0,7,304,N,2,2,2,2
48-02102,12,2,N,0,1,1,3,1,2,450.9,N,3,N,N,302,N,2,2,2,2
48-02102,42,1,1,0,1,2,5,1,2,450.9,2,7,86800.0,8,480,N,2,2,2,2
48-02515,14,1,N,0,1,3,5,1,1,2134.8,N,4,N,N,501,N,2,2,2,2
48-02507,46,1,1,0,1,2,4,1,1,3731.1,11,12,60000.0,7,501,N,2,2,2,2
48-02101,9,1,N,1,1,1,4,1,1,357.4,N,1,N,N,343,N,2,2,2,2
48-02515,24,2,5,1,1,0,2,1,2,2134.8,6,7,7200.0,2,311,N,2,2,2,2
48-02510,2,1,N,0,6,3,5,1,1,3092.4,N,N,N,N,146,N,N,N,2,2
48-02515,37,2,1,0,1,3,6,1,1,2134.8,12,8,40000.0,6,412,N,2,2,2,2
48-02516,17,2,6,0,1,2,4,1,1,1338.4,N,4,0.0,0,392,N,2,2,2,2
48-02507,32,1,2,0,1,0,N,1,2,3731.1,10,9,80000.0,8,501,N,2,2,2,2
48-02515,16,1,6,0,1,3,5,1,1,2134.8,12,4,2500.0,1,404,N,2,2,2,2
48-02102,68,2,4,0,1,0,N,1,1,450.9,N,7,13300.0,3,110,N,2,2,2,2
48-02101,1,2,N,0,1,1,3,1,1,357.4,N,N,N,N,501,N,N,N,1,1
48-02102,47,1,1,0,1,0,2,1,1,450.9,6,5,32500.0,5,459,N,2,2,2,2
48-02101,76,2,6,1,1,0,3,1,1,357.4,N,3,9000.0,2,407,N,2,1,1,2
48-02102,49,2,6,0,1,0,2,1,1,450.9,N,5,0.0,0,0,N,2,2,2,2
48-02101,4,2,N,1,1,6,7,1,1,357.4,N,1,N,N,35,N,N,N,2,2
48-02507,46,1,6,0,2,0,N,1,2,3731.1,11,8,36000.0,6,275,N,2,2,2,2
48-02516,74,2,3,0,1,0,N,1,1,1338.4,N,8,120800.0,9,501,N,2,2,2,2
48-02516,41,1,1,0,1,3,5,1,1,1338.4,10,9,80000.0,8,456,N,2,2,2,2
48-02101,58,1,6,0,2,N,N,2,0,357.4,N,3,9000.0,2,N,N,1,1,2,2
48-02101,38,1,6,0,1,3,7,1,1,357.4,4,5,25000.0,4,382,N,2,2,2,2
48-02507,71,2,1,0,1,0,2,1,1,3731.1,N,9,171000.0,9,501,N,2,2,2,2
48-02102,33,1,1,0,6,2,4,1,1,450.9,12,8,27000.0,5,501,N,2,2,2,2
48-02102,50,2,1,0,1,2,7,1,1,450.9,15,4,990.0,1,251,N,2,2,2,2
48-02102,76,1,1,0,1,0,2,1,1,450.9,N,10,61540.0,7,501,N,2,2,2,1
48-02510,20,2,6,0,6,0,4,1,1,3092.4,14,7,20000.0,4,501,N,1,2,2,2
48-02516,15,2,6,4,1,2,4,1,1,1338.4,N,3,0.0,0,501,N,2,2,2,2
48-02507,42,1,1,0,1,4,7,1,1,3731.1,6,9,130000.0,9,474,N,2,2,2,2
48-02510,61,2,6,0,1,0,N,1,1,3092.4,12,7,43120.0,6,328,N,2,2,2,2
48-02507,22,1,6,0,1,0,3,1,1,3731.1,14,6,4200.0,2,501,N,2,2,2,2
48-02102,5,2,N,0,1,0,N,1,1,450.9,N,2,N,N,N,N,2,2,2,2
48-02101,16,2,6,0,1,2,6,1,2,357.4,N,4,0.0,0,500,N,2,2,2,2
48-02515,31,2,1,0,1,1,3,1,1,2134.8,9,9,2000.0,1,501,N,2,2,2,2
48-02516,25,1,6,0,1,0,4,1,2,1338.4,15,7,12500.0,3,501,N,2,2,2,2
48-02507,72,2,4,0,1,0,N,1,1,3731.1,10,7,22400.0,4,183,N,2,2,2,2
48-02507,29,1,1,0,2,1,3,1,2,3731.1,11,9,70000.0,8,340,N,2,2,2,2
48-02507,54,2,1,0,1,0,2,1,1,3731.1,N,9,14000.0,3,501,N,2,2,2,2
48-02507,70,1,1,0,1,0,2,1,1,3731.1,N,7,52280.0,7,415,N,2,2,2,2
48-02516,59,2,1,0,1,0,2,1,1,1338.4,11,8,48300.0,7,501,N,2,2,2,2
48-02101,30,2,4,0,1,0,5,1,1,357.4,13,5,3000.0,1,295,N,1,2,2,2
48-02507,62,2,4,0,1,0,N,1,1,3731.1,6,9,21000.0,4,158,N,2,2,2,2
48-02101,1,2,N,1,1,2,4,1,1,357.4,N,N,N,N,403,N,N,N,2,2
48-02515,28,1,6,0,1,0,7,1,1,2134.8,4,7,40000.0,6,387,N,2,2,2,2
48-02102,38,2,6,0,1,7,8,1,2,450.9,N,1,0.0,0,0,N,2,2,2,2
48-02101,78,2,1,0,1,0,3,1,1,357.4,N,9,32700.0,5,501,N,2,2,2,2
48-02515,34,1,1,0,1,0,2,1,1,2134.8,4,9,90200.0,8,501,N,2,2,2,2
48-02507,49,2,1,0,2,0,2,1,1,3731.1,9,7,48500.0,7,501,N,2,2,2,1
48-02516,49,1,1,0,1,1,3,1,1,1338.4,4,7,122000.0,9,501,N,2,2,2,1
48-02515,6,1,N,0,1,2,4,1,1,2134.8,N,2,N,N,501,N,2,2,2,2
48-02515,18,1,6,1,1,2,5,1,1,2134.8,3,5,20000.0,4,129,N,2,2,2,2
48-02510,85,2,4,0,1,0,N,1,1,3092.4,N,5,2100.0,1,17,N,2,2,2,2
48-02102,22,2,1,0,1,0,2,1,1,450.9,5,8,34000.0,5,496,N,2,2,2,2
48-02102,10,2,N,0,1,5,7,1,1,450.9,N,3,N,N,210,N,2,2,2,2
48-02510,10,2,N,4,9,2,4,1,1,3092.4,N,3,N,N,501,N,2,2,2,2
48-02515,41,2,1,0,1,1,3,1,1,2134.8,11,5,11000.0,3,252,N,2,2,2,2
48-02510,35,2,4,0,1,0,4,1,1,3092.4,4,7,27000.0,5,501,N,2,2,2,2
48-02510,55,2,3,0,1,0,N,1,1,3092.4,13,6,5450.0,2,41,N,1,2,2,2
48-02507,59,1,1,0,1,0,2,1,1,3731.1,6,7,32000.0,5,501,N,2,2,2,2
48-02507,65,2,3,0,1,0,N,1,1,3731.1,10,7,72700.0,8,501,N,2,2,2,2
48-02101,68,1,1,0,1,0,2,1,1,357.4,12,11,43900.0,6,334,N,2,2,2,2
48-02516,41,1,1,0,2,2,4,1,1,1338.4,12,8,34000.0,5,292,N,2,2,2,2
48-02510,67,1,4,0,1,0,N,1,2,3092.4,6,9,53900.0,7,442,N,2,2,2,2
48-02510,66,1,2,0,1,0,N,1,2,3092.4,3,1,47900.0,6,396,N,2,2,2,2
48-02515,40,2,1,0,1,2,5,1,2,2134.8,6,7,16500.0,3,399,N,2,2,2,2
48-02507,31,2,6,0,2,1,2,1,2,3731.1,12,8,32000.0,5,183,N,2,2,2,2
48-02510,56,2,1,0,2,0,2,1,1,3092.4,7,7,108000.0,9,501,N,2,2,2,2
48-02510,27,1,6,0,1,0,6,1,1,3092.4,14,6,9000.0,2,210,N,2,2,2,2
48-02101,42,1,1,0,1,0,3,1,1,357.4,3,4,100000.0,9,501,N,2,2,2,2
48-02101,59,2,4,0,1,0,N,1,1,357.4,12,8,98000.0,8,501,N,2,2,2,2
48-02101,42,2,1,0,1,3,5,1,1,357.4,N,7,0.0,0,365,N,2,2,2,2
48-02102,34,1,6,0,1,0,3,1,1,450.9,10,10,24000.0,4,350,N,2,2,2,2
48-02515,60,2,4,0,1,0,3,1,2,2134.8,14,7,13700.0,3,67,N,2,2,2,2
48-02101,21,2,6,0,1,0,5,1,1,357.4,6,7,9000.0,2,501,N,2,2,1,2
