SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP
1,6,1,1,6,0,48-02507,35,0,2,420
1,1,1,1,9,0,48-02510,59,0,3,501
2,6,1,2,3,0,48-02515,22,0,N,114
2,1,1,1,7,0,48-02515,63,0,5,501
1,1,1,1,6,0,48-02510,33,1,3,441
1,5,1,2,6,1,48-02515,51,0,N,304
2,N,1,1,N,0,48-02510,10,0,4,191
2,6,1,1,5,0,48-02510,28,0,3,501
1,4,1,1,8,0,48-02101,52,0,2,481
2,4,2,1,3,0,48-02507,77,0,2,389
2,N,1,1,N,0,48-02516,1,0,5,259
2,4,1,1,1,0,48-02516,62,0,3,4
2,N,1,2,N,0,48-02516,5,2,5,422
1,1,1,1,3,0,48-02101,72,0,2,501
2,1,1,1,1,0,48-02516,35,1,3,501
2,N,1,1,N,0,48-02516,7,0,5,296
2,1,1,1,8,1,48-02102,27,2,4,501
2,6,9,1,3,0,48-02101,20,2,5,501
1,N,1,1,N,0,48-02102,14,3,5,327
2,4,1,1,4,0,48-02102,56,0,N,181
1,1,1,1,9,0,48-02510,48,1,3,501
1,N,2,1,N,0,48-02507,0,2,4,417
2,1,1,1,0,0,48-02515,53,0,7,488
2,1,1,1,7,0,48-02102,46,1,4,467
1,1,1,2,7,0,48-02515,26,0,2,501
1,1,1,1,4,1,48-02101,43,2,4,81
2,1,1,1,3,0,48-02101,66,0,2,303
2,N,2,2,N,0,48-02507,7,2,4,210
2,N,2,1,N,0,48-02102,10,3,5,315
1,N,1,1,N,0,48-02102,8,1,2,160
2,1,1,1,9,0,48-02515,62,0,2,501
1,N,1,1,N,1,48-02102,9,3,4,56
1,1,1,1,9,0,48-02101,78,0,2,501
1,6,1,2,1,0,48-02102,17,2,3,3
1,1,1,1,5,0,48-02507,68,0,2,501
1,N,1,1,N,0,48-02515,14,3,5,501
1,N,1,1,N,0,48-02102,12,3,5,252
1,N,1,1,N,2,48-02507,13,2,3,115
1,6,1,2,0,1,48-02507,16,0,4,148
2,1,2,1,6,0,48-02516,35,4,6,387
1,1,1,1,9,0,48-02515,66,0,2,501
2,1,1,1,4,0,48-02101,27,1,3,345
2,6,3,0,2,1,48-02101,20,N,N,N
1,1,8,2,7,1,48-02515,25,1,3,390
1,1,1,1,7,0,48-02507,56,0,2,501
2,1,1,1,0,0,48-02102,62,0,3,232
2,4,1,1,7,0,48-02101,58,0,N,455
1,6,1,1,0,0,48-02102,60,0,3,287
2,1,1,1,0,1,48-02515,63,0,2,501
1,N,1,1,N,0,48-02516,1,3,5,409
