,AGEP_x,HISP,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_DECILE_x,POVPIP_x,PUMA,RAC1P,SEX,AGEP_y,NOC_y,NPF_y,PINCP_DECILE_y,POVPIP_y,percent_match
0,54,3,4,0,4,1,1,0,32-00405,1,1,40,0,N,6,302,20.0
1,14,0,4,1,3,1,N,192,17-03531,9,2,53,0,N,9,501,0.0
2,55,4,3,4,5,1,6,501,06-08507,1,2,79,0,N,2,69,0.0
3,59,1,6,0,N,2,5,340,32-00405,9,2,15,1,2,0,72,0.0
4,72,1,4,0,N,1,0,501,40-00200,1,2,43,2,4,7,196,0.0
5,10,1,N,0,5,2,N,180,32-00405,3,1,3,1,2,N,69,20.0
6,50,1,4,0,N,1,9,501,19-01700,1,1,78,0,N,3,137,40.0
7,25,1,6,0,N,1,0,470,29-01901,1,2,38,0,N,7,379,40.0
8,64,0,4,N,N,2,6,369,17-03531,1,2,63,0,N,8,501,20.0
9,85,2,3,1,2,1,4,323,36-03710,8,2,81,0,3,1,233,0.0
10,18,2,6,0,N,2,3,42,19-01700,1,1,50,0,N,9,501,40.0
11,60,0,2,1,3,0,0,N,26-02702,2,1,34,N,N,9,N,20.0
12,63,2,4,0,N,1,6,329,19-01700,1,2,53,0,N,3,145,40.0
13,27,4,2,0,N,1,0,241,51-01301,1,2,16,1,4,1,501,0.0
14,38,0,2,2,3,2,3,193,36-04010,9,2,44,1,3,7,489,20.0
15,78,4,2,0,N,1,7,217,36-03710,8,2,60,0,N,4,180,40.0
16,40,0,4,0,N,0,N,N,06-07502,1,1,68,N,N,1,25,20.0
17,46,0,3,0,N,0,5,N,17-03529,2,1,84,N,N,1,N,40.0
18,95,0,3,0,N,0,5,N,17-03529,1,2,94,N,N,4,N,40.0
19,83,1,3,0,N,1,5,278,24-01004,1,2,68,0,N,9,501,40.0
20,89,0,3,0,N,2,3,206,38-00100,5,2,54,0,3,0,0,20.0
21,61,0,5,0,3,2,6,501,06-07502,1,1,48,0,N,8,501,40.0
22,79,3,1,1,4,2,7,501,06-07502,1,2,45,1,3,0,501,40.0
23,5,4,N,1,3,2,N,459,36-03710,9,2,14,0,5,N,501,20.0
24,27,0,3,0,2,1,4,8,36-04010,9,2,66,0,2,4,206,60.0
25,54,2,4,0,N,2,1,387,19-01700,1,2,70,0,N,5,247,40.0
26,37,4,6,0,N,2,8,501,51-51255,9,1,41,0,2,7,455,20.0
27,62,1,4,0,N,1,N,258,40-00200,1,1,37,0,3,5,377,20.0
28,11,0,N,2,4,1,4,501,36-04010,8,1,5,1,3,N,501,20.0
29,63,4,1,0,4,2,8,501,51-51255,8,1,51,2,4,3,60,20.0
30,19,4,6,0,N,0,N,N,36-03710,8,2,41,N,N,1,6,20.0
31,87,0,3,0,N,0,2,N,06-08507,6,2,75,N,N,3,N,40.0
32,6,0,N,1,5,1,N,371,32-00405,6,2,12,2,5,N,154,40.0
33,46,2,3,0,N,1,5,448,36-03710,9,2,62,0,2,6,501,20.0
34,13,1,5,0,10,2,N,148,19-01700,1,2,48,1,3,4,232,0.0
35,51,4,4,0,N,1,N,50,36-03710,1,1,64,0,3,8,501,20.0
36,49,0,4,N,N,2,7,307,38-00100,6,2,47,0,N,3,162,20.0
37,29,4,2,0,3,1,9,501,24-01004,1,1,50,0,N,3,155,20.0
38,67,1,1,0,2,1,6,501,38-00100,9,1,32,3,5,6,331,20.0
39,34,0,2,0,N,0,4,304,51-51255,1,2,73,N,N,1,25,20.0
40,24,2,6,0,N,2,2,501,51-01301,2,2,32,0,N,1,44,40.0
41,56,4,5,0,N,1,9,501,24-01004,1,2,66,0,2,2,501,40.0
42,38,1,6,0,N,1,9,501,32-00405,9,2,50,0,3,4,501,40.0
43,30,0,4,0,4,1,8,501,30-00600,9,1,73,1,4,4,108,20.0
44,51,2,1,1,3,2,N,445,36-03710,9,1,83,0,5,3,501,0.0
45,22,1,6,5,7,1,0,501,51-01301,8,2,25,2,4,1,37,0.0
46,57,0,1,0,3,2,4,77,32-00405,9,2,31,2,4,5,264,0.0
47,44,3,6,N,N,2,5,183,32-00405,2,1,15,0,2,0,2,0.0
48,50,0,2,0,3,2,2,3,06-08507,1,2,85,0,N,5,270,20.0
49,63,0,5,0,2,1,9,501,51-51255,2,1,85,1,4,0,473,0.0
50,95,0,3,0,N,1,4,192,17-03531,1,2,60,0,N,3,108,40.0
51,23,0,5,3,5,2,7,307,06-07502,1,2,58,0,N,4,152,0.0
52,84,4,3,0,2,1,8,501,51-51255,9,2,55,0,2,6,474,40.0
53,81,0,3,0,2,1,N,287,36-04010,1,1,91,0,N,6,353,20.0
54,4,4,N,0,6,2,3,501,32-00405,9,2,0,5,6,N,71,20.0
55,50,0,2,0,2,0,2,N,28-01100,2,1,76,N,N,2,74,20.0
56,54,1,2,1,9,1,0,501,06-08507,1,1,35,0,N,6,380,0.0
57,11,0,N,3,5,2,N,501,36-04010,6,2,14,1,2,N,130,20.0
58,60,0,4,0,3,2,4,501,26-02702,2,2,48,0,2,6,246,20.0
59,2,0,N,0,5,2,N,246,01-01301,9,2,2,2,4,N,19,40.0
60,65,2,2,0,2,2,0,501,36-03710,8,2,67,0,N,6,379,20.0
61,49,0,6,0,11,1,8,501,36-04010,5,1,35,0,5,1,227,20.0
62,39,0,1,0,2,1,9,501,24-01004,7,2,62,0,3,0,501,40.0
63,69,4,4,0,2,2,0,501,51-51255,1,1,49,2,3,6,234,0.0
64,16,0,6,2,8,1,1,147,28-01100,6,1,17,3,7,0,105,0.0
65,70,0,5,N,10,2,1,392,28-01100,1,2,33,1,2,5,114,0.0
66,5,4,N,3,7,1,N,28,08-00803,1,2,10,0,5,N,501,20.0
67,29,4,6,4,6,1,8,501,24-01004,2,2,72,0,2,2,64,0.0
68,3,0,N,2,4,2,N,239,19-01700,6,1,1,1,3,N,122,20.0
69,0,2,N,0,4,0,N,N,36-03710,2,2,2,N,N,N,N,40.0
70,48,1,2,0,N,2,9,501,38-00100,1,1,29,0,N,3,147,40.0
71,22,1,6,N,N,1,0,327,38-00100,9,1,16,1,2,0,501,20.0
72,26,4,6,0,N,2,2,139,32-00405,8,2,21,2,3,4,166,0.0
73,15,0,3,2,4,2,0,0,17-03529,1,1,67,0,N,7,501,0.0
74,48,0,1,0,2,1,2,245,13-04600,6,1,52,2,9,5,199,0.0
75,3,1,N,4,6,1,N,15,32-00405,9,1,3,0,7,N,197,40.0
76,10,0,N,1,4,0,N,N,36-03710,2,2,3,N,N,N,N,40.0
77,39,2,4,0,2,2,1,209,51-51255,1,1,55,0,N,9,501,20.0
78,73,1,3,3,5,1,9,501,38-00100,1,1,84,0,3,2,296,0.0
79,58,2,1,1,3,2,9,501,51-01301,1,2,31,0,2,9,501,40.0
80,28,0,4,0,N,2,4,1,26-02702,9,2,45,0,6,2,48,20.0
81,24,4,3,0,N,2,3,122,36-03710,2,2,62,0,2,1,94,20.0
82,20,1,6,1,3,0,0,N,38-00100,1,1,18,N,N,0,N,40.0
83,69,0,5,3,5,1,4,185,29-01901,1,1,63,0,N,8,443,0.0
84,29,0,4,0,3,1,4,37,36-04010,9,1,66,0,2,4,206,40.0
85,85,0,3,N,N,0,5,N,26-02702,1,1,72,N,N,2,90,40.0
86,4,0,N,0,6,1,N,187,13-04600,6,2,9,2,9,N,199,20.0
87,14,4,N,0,3,1,N,501,51-51255,9,2,1,1,4,N,501,40.0
88,63,0,5,N,N,1,2,277,26-02702,1,2,60,0,3,8,501,0.0
89,78,0,2,0,N,2,2,84,29-01901,1,2,26,0,N,1,22,40.0
90,55,0,4,0,N,0,0,73,17-03531,2,1,61,N,N,0,0,40.0
91,11,0,N,0,6,1,N,339,19-01700,3,1,5,1,3,N,501,20.0
92,29,0,1,0,2,1,9,501,51-51255,3,2,50,0,2,9,501,80.0
93,9,0,N,2,3,1,4,53,38-00100,7,2,2,1,3,N,343,20.0
94,16,4,6,0,N,0,0,461,26-02702,1,2,22,N,N,4,N,20.0
95,79,4,5,0,12,1,2,501,24-01004,1,1,73,0,4,8,501,40.0
96,57,4,4,0,N,1,8,501,08-00803,1,1,64,0,N,9,501,60.0
97,13,0,N,4,6,2,4,205,51-51255,6,1,11,1,3,N,252,0.0
98,28,3,5,N,N,2,4,255,32-00405,2,2,58,0,2,1,2,0.0
99,29,3,1,3,5,2,8,501,06-07502,1,1,54,3,5,7,371,40.0
100,17,0,6,0,2,2,0,265,51-51255,9,2,42,0,N,6,418,20.0
101,54,0,4,1,3,2,3,98,01-01301,1,1,62,0,N,6,303,0.0
102,31,0,6,0,9,1,5,20,40-00200,7,2,17,3,4,0,2,0.0
103,61,0,4,1,3,1,6,501,26-02702,2,2,72,0,N,5,279,0.0
104,67,0,4,0,N,1,6,465,19-01700,6,1,59,0,3,9,501,20.0
105,24,1,6,0,2,0,0,0,32-00405,2,1,33,N,N,1,0,20.0
106,13,1,N,2,8,1,N,308,01-01301,9,1,11,2,4,N,121,40.0
107,53,4,2,0,N,1,5,431,32-00405,1,2,27,0,8,5,239,40.0
108,83,0,3,0,N,0,2,83,29-01901,1,2,94,N,N,3,N,20.0
109,93,4,3,0,3,1,5,501,51-51255,1,2,84,0,N,6,393,20.0
110,36,0,5,1,3,0,0,N,08-00803,1,1,63,N,N,0,N,40.0
111,14,1,N,2,3,1,N,243,30-00600,3,1,9,0,6,N,199,20.0
112,43,0,4,0,N,1,7,501,17-03531,1,2,56,0,3,8,460,20.0
113,56,3,1,0,2,1,9,501,24-01004,1,1,61,0,2,9,501,80.0
114,16,4,6,1,3,1,N,501,38-00100,9,1,15,1,2,0,166,20.0
115,79,0,5,N,N,2,9,501,19-01700,2,1,39,1,3,5,229,0.0
116,9,4,N,0,3,1,N,292,19-01700,1,2,14,3,4,N,233,20.0
117,36,0,4,N,N,1,0,356,19-01700,2,2,64,0,N,8,501,20.0
118,30,0,4,0,3,1,8,278,08-00803,6,1,58,0,N,7,501,20.0
119,22,1,6,1,3,2,2,68,40-00200,1,1,26,0,N,6,285,0.0
120,85,0,3,0,N,2,1,221,24-01004,9,2,80,0,N,4,231,40.0
121,56,1,4,0,N,2,9,501,51-01301,1,1,42,0,N,8,501,60.0
122,69,4,4,0,3,1,0,297,32-00405,8,1,50,0,3,6,501,40.0
123,71,0,4,0,2,0,5,N,13-04600,1,2,87,N,N,3,N,20.0
124,61,1,4,0,2,1,3,291,08-00803,1,1,29,0,3,3,190,40.0
125,68,4,3,1,3,1,1,349,32-00405,1,2,88,0,N,5,257,0.0
126,12,2,4,0,2,1,N,215,51-01301,1,2,78,0,N,9,501,20.0
127,36,0,4,0,N,2,1,211,17-03531,9,2,35,0,N,9,501,40.0
128,46,0,5,0,4,2,0,0,32-00405,9,2,38,3,4,5,124,20.0
129,64,0,4,0,N,1,6,192,28-01100,9,2,68,0,3,4,116,20.0
130,10,2,3,0,N,2,N,501,36-03710,2,1,50,4,6,6,161,0.0
131,43,0,5,0,N,2,8,501,51-01301,1,2,32,0,N,1,38,40.0
132,57,2,4,0,N,1,4,88,36-03710,1,2,62,0,4,2,37,20.0
133,21,1,6,0,N,2,5,381,24-01004,1,1,31,0,N,5,359,60.0
134,9,0,N,1,4,1,5,224,32-00405,9,2,11,0,4,N,142,20.0
135,60,0,4,0,N,1,9,501,38-00100,9,2,36,0,N,0,0,40.0
136,6,1,N,0,2,1,N,78,36-03710,3,1,7,2,4,N,232,20.0
137,17,1,6,0,N,0,0,0,32-00405,8,2,19,N,N,0,N,40.0
138,28,0,5,N,N,2,7,447,19-01700,6,1,54,0,N,9,501,20.0
139,37,0,1,0,2,2,8,313,19-01700,8,1,67,0,2,2,217,40.0
140,85,0,5,0,6,2,5,347,17-03529,6,2,31,1,2,4,138,0.0
141,6,0,N,1,4,1,N,370,17-03531,1,2,14,1,3,N,372,40.0
142,36,0,4,0,N,1,9,501,51-01301,6,1,44,1,2,6,316,0.0
143,41,1,3,4,5,2,3,124,30-00600,1,2,66,0,N,2,99,0.0
144,53,4,4,0,N,2,4,135,32-00405,1,1,53,0,2,5,211,40.0
145,0,3,N,0,3,2,8,501,06-07502,1,1,12,3,5,N,371,0.0
146,79,0,5,0,N,2,4,351,40-00200,1,2,48,0,4,2,34,20.0
147,91,2,1,0,4,2,3,98,29-01901,1,1,32,0,2,7,501,20.0
148,34,1,2,N,N,2,4,249,36-03710,2,1,29,0,N,6,342,20.0
149,46,3,6,0,N,2,0,501,06-07502,1,1,16,3,5,1,371,0.0
150,67,0,4,N,N,1,4,202,32-00405,9,1,25,0,N,2,91,20.0
151,13,0,N,3,5,0,N,N,36-03710,1,1,11,N,N,N,N,40.0
152,7,1,N,0,5,1,N,501,51-01301,2,2,5,0,6,N,501,60.0
153,56,3,1,5,7,1,7,501,08-00803,1,2,39,0,2,8,501,20.0
154,36,4,6,0,N,2,6,310,06-08507,1,2,37,0,N,7,492,40.0
155,28,0,6,0,N,2,0,233,36-04010,9,1,15,1,2,0,171,20.0
