,AGEP_x,HISP,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_DECILE_x,POVPIP_x,PUMA,RAC1P,SEX,AGEP_y,NOC_y,NPF_y,PINCP_DECILE_y,POVPIP_y,percent_match
0,72,0,1,0,2,1,2,501,25-02800,9,1,72,0,2,2,501,100.0
1,29,0,6,N,N,0,3,141,25-01000,8,1,29,N,N,3,141,100.0
2,42,2,1,2,4,1,5,501,25-00703,1,2,42,2,4,5,501,100.0
3,35,2,1,0,2,1,8,501,25-00503,1,1,35,0,2,8,501,100.0
4,48,3,1,0,3,1,6,501,25-01300,1,2,48,0,3,6,501,100.0
5,55,2,4,0,N,2,5,305,25-00503,1,1,55,0,N,5,305,100.0
6,62,3,1,1,3,1,9,501,25-00503,1,2,62,1,3,9,501,100.0
7,38,0,6,0,4,1,5,501,25-01000,9,2,38,0,4,5,501,100.0
8,57,4,4,0,N,2,5,267,25-00703,2,1,57,0,N,5,267,100.0
9,49,2,1,2,4,1,9,501,25-00703,1,1,49,2,4,9,501,100.0
10,6,4,N,1,3,1,N,501,25-01300,8,1,6,1,3,N,501,100.0
11,54,0,1,0,2,2,5,501,25-00703,9,2,54,0,2,5,501,100.0
12,76,2,2,N,N,0,0,N,25-01300,8,1,76,N,N,0,N,100.0
13,44,2,1,2,4,2,9,501,25-00503,1,1,44,2,4,9,501,100.0
14,50,0,1,0,4,1,4,501,25-00703,2,1,50,0,4,4,501,100.0
15,69,2,4,0,N,2,4,256,25-02800,1,1,69,0,N,4,256,100.0
16,19,1,6,N,N,0,1,N,25-00703,1,2,19,N,N,1,N,100.0
17,36,4,1,2,5,2,2,369,25-01300,1,2,36,2,5,2,369,100.0
18,68,4,4,0,N,2,4,212,25-01000,1,1,68,0,N,4,212,100.0
19,16,4,6,N,N,0,0,N,25-00703,8,2,16,N,N,0,N,100.0
20,22,2,6,0,2,1,0,429,25-01300,1,2,22,0,2,0,429,100.0
21,17,4,6,1,4,1,0,230,25-00503,1,1,17,1,4,0,230,100.0
22,60,0,4,N,N,0,2,83,25-02800,2,1,60,N,N,2,83,100.0
23,21,4,6,N,N,0,1,N,25-00703,8,1,21,N,N,1,N,100.0
24,3,4,N,1,6,2,N,137,25-00503,2,1,3,1,6,N,137,100.0
25,31,0,6,N,N,0,3,137,25-02800,2,1,31,N,N,3,137,100.0
26,62,4,4,0,2,1,7,501,25-01300,1,2,62,0,2,7,501,100.0
27,46,0,5,2,3,2,9,501,25-00503,1,1,46,2,3,9,501,100.0
28,30,4,1,5,7,2,5,155,25-01000,1,1,30,5,7,5,155,100.0
29,46,4,1,1,3,1,6,501,25-01000,2,2,46,1,3,6,501,100.0
30,26,2,6,0,2,1,0,378,25-00703,2,1,26,0,2,0,378,100.0
31,38,4,1,2,4,2,8,501,25-00503,1,1,38,2,4,8,501,100.0
32,11,1,N,3,5,2,N,176,25-00703,1,1,11,3,5,N,176,100.0
33,25,0,2,0,N,2,1,37,25-01300,1,2,25,0,N,1,37,100.0
34,84,0,3,N,N,0,0,N,25-02800,2,2,84,N,N,0,N,100.0
35,6,4,N,2,4,1,N,195,25-00503,9,2,6,2,4,N,195,100.0
36,82,0,3,N,N,0,3,N,25-01000,1,1,82,N,N,3,N,100.0
37,44,0,5,2,3,1,1,29,25-02800,1,2,44,2,3,1,29,100.0
38,34,0,6,0,N,2,8,501,25-01000,6,2,34,0,N,8,501,100.0
39,4,1,N,2,4,1,N,501,25-01300,1,1,4,2,4,N,501,100.0
40,58,2,1,0,2,2,2,62,25-01000,1,2,58,0,2,2,62,100.0
41,17,0,6,1,2,2,1,344,25-01000,9,1,17,1,2,1,344,100.0
42,45,0,4,N,N,0,1,20,25-00703,1,1,45,N,N,1,20,100.0
43,45,0,6,N,N,0,2,95,25-02800,6,2,45,N,N,2,95,100.0
44,12,4,N,2,7,1,N,366,25-00703,8,1,12,2,7,N,366,100.0
45,40,4,1,2,4,2,2,93,25-00503,9,1,40,2,4,2,93,100.0
46,70,0,1,0,3,1,4,501,25-01300,7,2,70,0,3,4,501,100.0
47,0,4,N,1,3,1,N,501,25-01000,9,1,0,1,3,N,501,100.0
48,16,4,6,5,7,2,0,155,25-01000,1,1,16,5,7,0,155,100.0
49,81,0,3,0,3,1,2,501,25-01300,6,2,81,0,3,2,501,100.0
50,14,0,N,2,4,1,N,276,25-01000,8,1,14,2,4,N,276,100.0
51,37,3,1,2,4,1,9,501,25-01000,1,2,37,2,4,9,501,100.0
52,44,4,1,0,2,2,8,501,25-02800,1,1,44,0,2,8,501,100.0
53,49,2,1,1,3,1,3,431,25-02800,1,2,49,1,3,3,431,100.0
54,32,4,6,1,6,2,3,175,25-00503,1,1,32,1,6,3,175,100.0
55,58,4,4,0,2,2,4,474,25-02800,8,1,58,0,2,4,474,100.0
56,30,1,6,0,N,1,2,68,25-00703,1,1,30,0,N,2,68,100.0
