,AGEP_x,DVET_x,EDU,HOUSING_TYPE_x,MSP,OWN_RENT,PINCP_DECILE_x,RAC1P,SEX,AGEP_y,DVET_y,HOUSING_TYPE_y,PINCP_DECILE_y,percent_match
0,47,N,12,1,1,1,7,9,1,64,N,1,1,50.0
1,38,N,1,1,3,1,7,6,2,84,N,1,2,50.0
2,29,N,4,1,2,2,8,1,1,30,N,1,2,50.0
3,70,N,5,1,5,2,8,1,1,65,N,1,5,50.0
4,9,N,3,1,6,2,N,6,1,15,N,1,0,50.0
5,72,N,8,1,4,1,2,2,2,54,N,1,6,50.0
6,37,N,12,1,1,1,0,8,2,48,N,1,3,50.0
7,67,N,5,1,2,1,6,6,1,49,N,1,0,50.0
8,83,N,5,1,4,2,8,6,2,46,N,1,1,50.0
9,24,N,9,1,5,1,3,1,1,35,N,1,9,50.0
10,78,N,7,1,6,2,3,8,1,27,N,1,6,50.0
11,13,N,6,1,5,1,N,1,2,44,N,1,4,50.0
12,54,N,12,1,2,1,3,1,1,69,N,1,9,50.0
13,49,N,3,1,1,2,9,1,1,34,N,1,7,50.0
14,16,N,4,1,6,2,1,8,2,20,N,1,6,50.0
15,78,N,12,1,4,2,6,1,1,72,N,1,2,50.0
16,26,N,5,1,6,2,6,8,2,30,N,1,3,50.0
17,51,N,5,1,1,2,7,9,2,54,N,1,5,50.0
18,15,N,3,3,6,0,1,1,2,84,N,3,0,50.0
19,50,N,12,1,4,1,9,6,1,56,N,1,8,50.0
20,44,N,11,1,6,2,9,6,1,27,N,1,9,75.0
21,60,N,10,1,6,2,7,6,2,28,N,1,9,50.0
22,40,N,10,1,6,2,8,8,1,29,N,1,5,50.0
23,43,N,6,1,1,1,7,6,2,55,N,1,0,50.0
24,24,N,5,3,6,0,6,9,1,18,N,3,9,50.0
25,52,N,11,1,2,1,1,1,1,39,N,1,7,50.0
26,76,N,10,1,1,1,9,8,2,38,N,1,8,50.0
27,68,N,1,1,3,1,3,1,1,90,N,1,2,50.0
28,31,N,8,1,1,2,4,2,2,29,N,1,4,75.0
29,70,N,10,1,5,2,7,1,1,73,N,1,6,50.0
30,53,N,5,1,1,2,3,6,2,72,N,1,1,50.0
31,49,N,10,1,4,2,5,6,2,59,N,1,6,50.0
32,37,N,8,1,6,2,5,6,1,32,N,1,6,50.0
33,63,N,4,1,3,1,8,1,1,87,N,1,3,50.0
34,1,N,N,1,N,2,N,8,1,1,N,1,N,100.0
35,56,N,11,1,1,2,1,6,2,46,N,1,9,50.0
36,75,N,6,1,3,2,4,1,2,90,N,1,1,50.0
37,41,N,9,1,6,1,8,8,1,29,N,1,8,75.0
38,51,N,11,1,1,1,9,9,1,39,N,1,8,50.0
39,6,N,2,1,N,2,7,2,1,5,N,1,N,50.0
40,64,N,7,3,3,0,9,1,1,94,2,2,3,0.0
41,24,N,9,1,5,2,7,1,2,54,N,1,8,50.0
