,AGEP_x,HISP,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_DECILE_x,POVPIP_x,PUMA,RAC1P,SEX,AGEP_y,NOC_y,NPF_y,PINCP_DECILE_y,POVPIP_y,percent_match
0,65,1,6,4,8,1,0,495,48-02515,8,2,27,1,2,0,0,20.0
1,14,1,N,2,8,2,N,420,48-02507,8,2,2,1,3,N,162,20.0
2,57,0,3,5,7,0,7,338,48-02507,2,1,86,N,N,2,N,0.0
3,71,0,6,0,N,2,2,129,48-02515,6,1,29,0,N,8,501,40.0
4,73,1,1,4,7,1,2,10,48-02101,9,2,37,1,3,2,280,20.0
5,66,2,6,1,4,1,0,224,48-02101,1,2,15,1,5,0,501,40.0
6,18,1,6,2,11,1,2,451,48-02516,9,1,20,0,3,3,501,0.0
7,20,1,2,7,6,0,8,41,48-02101,1,1,48,N,N,3,N,0.0
8,44,1,N,2,4,2,N,332,48-02510,8,1,4,3,5,N,340,20.0
9,15,0,5,11,2,0,5,179,48-02515,9,2,29,N,N,0,N,0.0
10,35,4,3,0,2,1,9,270,48-02507,1,2,63,0,N,8,501,20.0
11,59,1,5,3,5,2,1,310,48-02510,1,2,49,0,4,4,292,0.0
12,46,1,4,0,2,1,8,53,48-02102,8,2,56,0,N,5,202,20.0
13,48,1,6,6,7,2,7,204,48-02101,9,1,15,1,2,1,56,0.0
14,9,1,N,1,4,2,N,466,48-02101,1,2,2,2,3,N,119,20.0
15,16,4,6,2,4,1,2,271,48-02507,1,1,37,0,N,9,501,0.0
16,75,4,N,2,6,2,N,413,48-02515,8,2,5,2,4,N,335,40.0
17,82,0,4,11,2,2,7,110,48-02515,2,1,57,0,N,1,0,0.0
18,41,1,1,N,8,2,1,390,48-02507,8,2,26,1,3,4,162,0.0
19,79,0,N,N,N,0,N,371,48-02101,1,2,9,N,N,N,N,60.0
20,83,0,4,7,8,0,7,278,48-02507,2,1,42,N,N,8,501,0.0
21,3,0,1,0,2,1,7,501,48-02515,9,1,69,0,2,3,162,40.0
22,42,0,5,0,N,2,2,153,48-02515,2,2,60,0,N,2,44,60.0
23,3,1,2,4,8,1,7,210,48-02507,8,1,30,0,2,5,226,0.0
24,62,0,N,11,4,2,N,453,48-02507,9,2,4,3,4,N,89,40.0
25,43,0,6,0,N,2,7,501,48-02101,9,2,25,2,3,0,0,0.0
26,35,0,3,7,N,1,N,52,48-02510,2,2,61,0,N,9,501,20.0
27,80,0,4,N,N,0,2,204,48-02516,2,1,40,N,N,4,150,40.0
28,65,0,6,3,4,0,2,287,48-02510,2,2,60,N,N,0,N,0.0
29,44,0,2,0,2,2,4,127,48-02510,6,2,52,0,N,2,45,20.0
30,84,0,2,N,2,1,5,332,48-02510,6,1,16,0,3,0,501,0.0
31,60,0,3,1,3,2,6,300,48-02510,9,2,79,0,N,6,356,20.0
32,80,0,4,5,11,2,3,49,48-02507,6,2,53,0,N,3,123,20.0
33,62,4,2,1,5,1,7,2,48-02101,1,2,27,0,6,8,501,0.0
34,59,0,6,5,2,1,2,494,48-02102,3,1,20,0,3,0,501,0.0
35,8,4,4,1,3,1,5,370,48-02507,1,2,49,0,3,0,412,20.0
36,17,0,2,N,6,1,0,465,48-02102,6,2,35,0,6,0,0,40.0
37,26,0,4,1,3,1,1,187,48-02507,9,2,66,0,N,6,398,0.0
38,16,0,6,1,3,2,8,331,48-02102,2,2,19,1,5,3,338,20.0
39,87,2,1,0,3,1,8,501,48-02101,1,1,59,0,2,7,501,40.0
40,3,1,N,4,5,1,N,387,48-02507,9,2,13,2,3,N,137,20.0
