,INDP,count_target,count_deidentified
1,4670,14,15.0
10,4680,1,4.0
4,4690,3,4.0
7,4770,7,4.0
30,4780,3,0.0
19,4795,9,12.0
8,4870,12,4.0
24,4880,3,8.0
25,4890,1,4.0
0,4971,22,35.0
32,4972,1,0.0
17,4980,6,4.0
5,4990,5,0.0
3,5070,13,8.0
21,5080,5,10.0
29,5090,2,11.0
18,5170,16,15.0
12,5180,3,4.0
14,5190,1,0.0
26,5275,3,0.0
22,5295,1,4.0
16,5381,5,0.0
2,5391,5,4.0
28,5470,2,0.0
13,5480,2,8.0
15,5490,1,4.0
9,5570,3,8.0
27,5580,4,8.0
20,5593,8,4.0
23,5670,1,4.0
31,5680,2,4.0
6,5690,1,8.0
11,5790,8,7.0
