,feature,divergence
23,WGTP,4.3744122257053295
11,INDP,1.8450598478956006
22,PWGTP,1.736064030131827
12,INDP_CAT,1.3466586725434275
1,AGEP,1.123719127693116
14,PINCP,1.0142053143929142
15,PINCP_DECILE,0.8157495542327924
10,DENSITY,0.49202684153700654
13,EDU,0.4403288055736554
16,POVPIP,0.27750523286237566
7,NPF,0.19002890896177818
3,MSP,0.08221795025832034
17,DVET,0.039940463944365276
5,RAC1P,0.027373990690567777
6,NOC,0.025434836255121395
0,PUMA,0.013532843945020745
4,HISP,0.011754647034252297
19,DPHY,0.00987210505563587
18,DREM,0.006830585832149745
2,SEX,0.006569785981550669
8,HOUSING_TYPE,0.004878485912968671
9,OWN_RENT,0.00443606942092363
21,DEAR,0.0033079142621599347
20,DEYE,0.0028460088372116304
