,INDP,count_target,count_deidentified
3,1070,10,1.0
51,1080,10,2.0
44,1090,9,2.0
59,1170,8,4.0
5,1180,24,1.0
36,1190,14,4.0
18,1270,20,5.0
9,1280,22,5.0
47,1290,3,3.0
39,1370,16,10.0
52,1390,1,9.0
71,1480,1,5.0
58,1590,2,2.0
65,1670,2,5.0
13,1691,14,5.0
56,1770,1,4.0
46,1790,6,2.0
45,1870,8,0.0
67,1880,4,2.0
37,1890,2,1.0
22,1990,29,1.0
50,2070,9,5.0
7,2090,2,1.0
62,2170,2,3.0
60,2180,3,1.0
29,2190,33,4.0
49,2270,1,3.0
23,2280,11,3.0
20,2290,17,5.0
12,2370,25,6.0
42,2380,10,4.0
19,2390,5,3.0
68,2480,4,7.0
41,2490,5,8.0
21,2570,4,2.0
15,2590,3,4.0
10,2670,16,1.0
61,2680,1,5.0
55,2690,3,1.0
1,2770,5,4.0
54,2780,1,0.0
4,2870,12,1.0
6,2880,14,0.0
64,2890,5,4.0
66,2970,3,3.0
16,2980,8,7.0
57,3070,11,2.0
53,3080,10,3.0
34,3095,6,3.0
31,3170,2,4.0
40,3180,5,2.0
0,3291,34,3.0
26,3365,44,10.0
17,3370,17,9.0
32,3380,26,10.0
24,3390,100,13.0
63,3470,3,13.0
30,3490,29,12.0
2,3570,69,15.0
14,3580,48,17.0
25,3590,7,18.0
48,3670,1,16.0
35,3680,6,10.0
27,3690,2,16.0
69,3770,6,6.0
70,3780,1,7.0
72,3790,1,7.0
43,3875,9,4.0
38,3895,20,3.0
8,3960,33,13.0
33,3970,10,4.0
28,3980,26,9.0
11,3990,30,11.0
