,feature,divergence
14,PINCP,4.710836310746619
16,POVPIP,4.0412960362730495
0,PUMA,3.602480173811695
13,EDU,3.5809301552334225
11,INDP,2.8216114416312053
12,INDP_CAT,2.2811043615938837
22,PWGTP,2.278664045489065
7,NPF,2.106288008424019
23,WGTP,1.634276039946715
15,PINCP_DECILE,1.2148261517934227
1,AGEP,0.6577951618274197
10,DENSITY,0.5004088736510871
5,RAC1P,0.01519433831670542
3,MSP,0.012495912824483035
6,NOC,0.010918487963895641
2,SEX,0.006210416906679339
9,OWN_RENT,0.0052664086353623185
18,DREM,0.002896322003259094
8,HOUSING_TYPE,0.002456639762482244
19,DPHY,0.0016898360095428666
4,HISP,0.0015601721872181796
17,DVET,0.0012673368652662029
21,DEAR,0.0004736713077772292
20,DEYE,0.00011602558116073983
