SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,AGEP,HOUSING_TYPE,DVET,DEYE,target
1,5,1,1,0,3,27,1,N,2,6224
2,6,1,1,1,3,41,1,N,2,1182
1,1,1,2,6,7,64,1,N,2,3442
1,6,1,2,2,2,30,1,N,2,809
2,1,1,1,8,10,68,1,N,2,4461
2,1,1,1,N,9,60,1,N,2,3615
2,1,1,1,2,9,64,1,N,2,5795
2,1,1,2,5,10,67,1,N,2,3944
2,N,1,0,N,2,41,1,N,2,3279
2,N,1,1,N,2,9,1,N,2,7633
2,1,1,2,N,9,63,1,N,2,3970
2,N,8,1,9,3,62,1,N,2,7416
2,1,1,2,9,9,45,1,N,2,3117
2,1,1,1,9,9,70,1,N,2,7633
2,1,1,2,8,10,63,1,N,2,3601
2,1,1,1,2,5,45,1,N,2,2697
2,1,1,2,5,7,61,1,N,2,2745
2,6,1,2,3,9,23,1,2,2,1281
2,6,1,2,0,5,23,1,N,2,4008
2,N,1,1,N,1,7,1,N,2,7633
2,1,1,1,5,9,62,1,N,2,2829
2,1,8,1,N,10,53,1,N,2,4932
2,N,1,1,N,3,11,1,N,2,7633
2,1,1,2,N,5,42,1,N,2,6364
2,1,1,1,8,9,63,1,N,2,4363
1,6,1,2,9,9,22,1,N,2,6476
2,N,1,1,1,2,60,1,N,2,1058
1,1,1,1,8,9,64,1,N,2,3532
2,1,1,2,5,5,58,1,N,2,1118
2,N,1,1,N,2,12,1,N,2,7633
2,1,1,1,5,3,63,1,N,2,2982
2,6,1,1,7,9,60,1,N,2,5760
2,3,1,2,N,3,8,1,N,2,7633
2,N,1,1,N,3,13,1,N,2,7633
2,N,1,1,N,3,8,1,N,2,7633
2,1,1,1,3,10,60,1,N,2,2675
2,N,1,1,9,3,11,1,N,2,7452
2,1,1,1,8,9,65,1,N,2,4281
2,1,1,2,6,7,61,1,N,2,2716
2,1,1,1,7,10,65,1,N,2,3181
2,1,1,1,8,10,62,1,N,2,3226
1,1,1,2,3,9,67,1,N,2,7386
1,1,1,2,0,5,45,1,N,2,2933
2,1,1,2,9,5,60,1,N,2,4240
2,N,1,1,N,2,10,1,N,2,7633
1,1,8,2,7,10,64,1,N,2,6662
1,6,1,2,1,9,24,1,N,2,3642
2,6,1,2,1,9,18,3,N,2,1227
2,1,1,2,5,10,65,1,N,2,1504
2,1,1,1,5,10,65,1,N,1,2976
2,1,1,1,8,3,58,1,N,2,7574
1,1,1,1,7,9,64,1,N,2,2674
2,N,1,2,N,3,13,1,N,2,7633
2,1,1,1,0,5,42,1,N,2,3048
2,1,1,2,9,9,60,1,N,2,3603
2,1,1,1,8,9,68,1,N,2,4610
2,1,1,2,5,10,69,1,N,2,1798
1,1,1,2,5,5,56,1,N,2,6726
1,6,1,0,1,9,36,1,N,2,853
2,1,1,1,7,10,67,1,N,2,3140
2,1,1,2,N,9,71,1,N,2,4420
2,2,1,2,N,9,25,1,N,2,4867
2,N,1,1,N,10,42,1,N,2,3057
2,1,1,2,9,9,65,1,N,2,3937
2,N,1,1,N,3,11,1,N,2,3129
2,1,1,2,8,9,66,1,N,2,4710
2,5,1,1,5,5,41,1,N,2,819
1,6,1,1,0,9,61,1,N,2,5837
2,1,1,1,N,3,8,1,N,2,7537
2,6,1,2,1,9,27,3,N,2,1369
2,1,1,2,7,9,58,1,N,2,6243
2,1,1,1,5,9,66,1,N,2,3150
2,6,2,1,1,9,25,3,N,2,738
2,1,1,2,0,9,78,1,N,2,981
1,6,1,2,9,9,22,1,N,2,6416
2,N,1,1,9,2,8,1,N,2,7633
1,6,1,2,1,9,23,1,N,2,3692
2,1,6,1,N,3,11,1,N,2,7458
2,6,1,1,9,10,58,1,N,2,4909
1,6,1,0,0,9,25,3,N,2,983
1,1,1,1,7,10,65,1,N,2,3833
2,1,1,2,5,9,63,1,N,2,3802
1,N,1,1,0,1,19,1,N,2,1845
2,1,1,1,7,5,60,1,N,2,1470
2,1,1,1,8,9,62,1,N,2,3063
2,1,1,2,N,3,9,1,N,2,3881
1,N,1,1,9,2,8,1,N,2,7539
2,N,1,1,N,3,9,1,N,2,7633
2,N,1,1,N,3,12,1,N,2,7633
2,1,1,2,8,9,61,1,N,2,4931
2,6,1,2,1,9,20,3,N,2,1095
2,1,1,1,8,9,71,1,N,2,3816
2,1,1,1,7,9,65,1,N,2,6542
2,1,1,1,2,9,60,1,N,2,3810
2,6,1,2,1,9,23,1,N,2,3817
2,1,1,1,8,10,65,1,N,2,4437
2,1,1,1,8,9,62,1,N,2,3905
2,1,1,1,8,9,51,1,N,2,3671
1,6,1,2,4,9,59,1,N,2,2544
1,1,1,2,5,9,53,1,N,1,2536
2,1,6,1,5,9,63,1,N,2,3056
2,1,1,1,9,9,61,1,N,2,4074
2,N,1,2,N,9,10,1,N,2,7633
2,1,1,2,9,9,57,1,N,2,2745
2,1,1,1,8,10,62,1,N,2,4045
1,3,1,2,N,3,30,1,N,2,3665
1,N,1,0,N,9,24,1,N,2,7351
1,6,1,2,1,5,25,1,N,2,1348
2,1,1,1,N,2,38,1,N,2,2830
1,1,1,2,7,5,61,1,N,2,3085
2,1,1,2,6,10,69,1,N,2,3947
2,1,1,1,2,9,67,1,N,2,3488
2,1,2,2,7,9,64,1,N,2,3264
1,6,9,1,N,5,65,1,N,2,3222
2,1,1,1,4,10,62,1,N,2,2633
1,6,1,2,5,9,46,3,N,2,3078
2,6,1,2,5,9,46,1,N,2,3672
2,1,1,2,9,9,64,1,N,2,4186
2,6,1,2,8,5,77,1,N,2,3010
1,6,1,2,5,9,23,3,N,2,7112
2,1,1,1,7,9,65,1,N,2,4273
2,1,1,2,N,10,63,1,N,2,4068
1,6,1,0,1,9,18,1,N,2,1108
2,6,1,1,5,3,85,1,N,2,4778
1,6,1,0,1,9,44,1,N,2,1515
2,1,1,1,3,9,56,1,N,2,2858
1,1,1,2,9,10,28,1,N,2,6377
2,N,1,2,9,3,10,1,N,2,7633
2,1,1,1,8,10,63,1,N,2,3995
2,1,1,1,8,3,45,1,N,2,6027
2,N,1,1,9,3,9,1,N,2,7578
2,1,1,1,9,5,65,1,N,2,3801
2,1,1,2,9,10,61,1,N,2,3359
2,6,1,2,2,9,27,1,N,2,4484
1,1,1,1,1,9,59,1,N,2,1226
2,3,1,1,9,3,6,1,N,2,7458
2,1,1,2,7,5,61,1,N,2,3780
2,1,1,1,5,5,57,1,N,2,7633
1,1,1,2,4,9,59,1,N,2,1279
1,6,1,2,3,9,49,1,N,2,7633
1,1,1,2,1,7,27,3,N,2,1545
2,1,1,2,5,5,46,1,N,2,1201
2,1,1,1,1,5,55,1,N,2,822
2,1,1,2,1,9,45,1,N,2,3131
2,4,1,2,7,7,45,1,N,2,2956
2,1,1,1,2,1,58,1,N,2,5768
2,1,1,1,8,9,66,1,N,2,3523
2,1,1,2,0,3,10,1,N,2,7633
2,1,1,1,2,3,57,1,N,2,2670
2,6,1,2,9,9,29,1,N,2,2524
2,6,1,2,1,7,24,1,N,2,1216
2,1,1,1,7,9,42,1,N,2,2977
