SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,HISP,PUMA,INDP_CAT,target
2,6,6,2,1,8,0,25-00703,7,4310
1,1,1,2,8,8,0,25-00503,10,3771
2,1,1,2,N,8,0,25-01000,9,926
1,1,9,1,9,6,0,25-01300,7,3573
2,6,1,2,9,6,0,25-01300,4,1574
1,1,1,2,5,8,0,25-01300,11,1201
1,6,3,2,8,1,0,25-01300,11,3039
2,1,1,2,3,1,0,25-00703,11,365
1,1,1,2,7,6,0,25-00703,11,2493
2,1,1,2,1,8,2,25-00503,5,4155
2,1,1,2,8,8,0,25-01000,7,2096
2,4,1,2,1,6,0,25-00703,14,5480
1,1,1,2,9,8,0,25-00503,12,2723
2,1,6,1,9,8,0,25-01300,11,3104
2,1,1,1,5,8,0,25-00703,10,2073
2,1,1,2,7,8,0,25-01300,11,1460
2,1,1,2,9,8,0,25-00503,11,2760
2,1,1,1,8,6,0,25-00503,5,6445
2,6,6,0,3,7,0,25-01300,11,3921
2,4,1,1,0,6,0,25-00703,14,1911
2,6,1,1,5,8,0,25-01300,11,3803
2,1,1,2,8,6,0,25-00503,14,3610
2,1,1,2,8,6,0,25-00503,7,3808
2,1,1,2,9,6,0,25-00503,11,1664
2,1,1,2,6,7,0,25-00503,10,3372
2,1,1,2,N,5,0,25-00703,12,2907
2,1,1,2,N,7,0,25-00503,12,1503
2,1,1,2,8,8,4,25-00703,11,1900
1,1,1,2,5,6,0,25-00503,11,1521
2,1,1,2,8,6,0,25-00503,11,3429
2,1,1,2,1,6,0,25-01300,11,3108
2,3,1,2,6,8,0,25-01300,10,3343
2,1,1,2,8,8,0,25-00503,14,3296
2,1,1,2,N,6,0,25-01300,11,3059
2,1,1,2,9,8,0,25-01000,11,2969
2,1,6,1,6,6,0,25-00503,11,3823
2,1,1,2,6,8,0,25-01000,10,1968
2,1,1,2,N,7,0,25-00503,12,2418
1,6,6,2,8,8,0,25-00503,11,3409
1,1,1,2,8,8,0,25-00503,9,3015
2,1,1,2,8,8,0,25-00503,11,2799
2,1,1,1,9,8,0,25-01300,10,3334
1,1,1,2,N,5,0,25-00503,12,2732
2,1,1,0,2,8,0,25-01300,10,2078
2,1,6,1,6,8,0,25-01300,11,4250
2,1,1,2,9,8,0,25-00503,8,3424
2,1,6,2,9,8,2,25-00503,11,3194
2,1,6,2,8,6,0,25-00503,11,3322
2,1,1,2,N,8,0,25-00703,11,3806
2,1,1,2,8,8,0,25-00503,11,3577
2,1,2,2,3,6,0,25-01000,15,4753
2,6,1,2,N,8,0,25-01300,12,2537
2,6,6,2,N,8,0,25-00503,10,2977
2,1,1,2,N,8,0,25-00503,12,2387
2,1,1,1,0,8,0,25-00503,11,3699
2,1,9,2,6,8,0,25-00503,11,2055
2,N,9,2,9,8,0,25-00503,8,741
2,1,1,2,8,8,0,25-00503,7,5456
2,4,1,2,0,9,0,25-00703,6,6670
2,1,1,2,N,8,0,25-01300,11,2480
2,1,1,2,9,8,0,25-01000,11,2543
2,1,9,2,8,6,0,25-00703,11,3547
2,1,1,1,6,8,0,25-01000,10,3847
2,2,1,1,1,6,0,25-00503,6,2478
1,1,1,2,1,4,0,25-00503,8,335
1,1,1,1,8,8,4,25-00503,11,3995
1,1,1,2,9,8,0,25-00503,11,1393
2,1,1,1,7,8,0,25-00503,7,3243
2,1,2,1,3,8,0,25-00703,7,5205
2,1,1,2,N,6,0,25-00503,10,3776
2,1,1,2,8,5,0,25-00503,10,1335
2,1,9,2,9,8,0,25-00503,6,3265
2,1,1,2,5,8,0,25-01000,11,3863
2,1,1,2,9,1,4,25-00503,10,1662
2,1,1,2,8,6,0,25-00503,11,3252
2,1,9,2,N,8,0,25-01300,11,3310
2,N,1,1,N,8,0,25-01000,7,3625
2,1,1,2,9,8,0,25-01000,7,3577
2,1,6,2,8,6,0,25-01300,12,3082
2,N,1,2,9,8,0,25-01000,1,2073
2,6,1,2,2,1,0,25-00703,14,3861
2,1,6,2,8,8,0,25-01300,14,3496
1,1,6,1,7,8,0,25-01000,11,1658
1,1,1,2,2,2,0,25-01000,10,1842
2,1,1,1,8,8,0,25-00503,11,3329
2,1,1,2,8,8,0,25-01300,3,4276
2,1,1,2,N,8,0,25-01300,10,3219
2,1,1,2,9,7,0,25-00503,12,2285
2,1,1,1,N,6,0,25-01000,7,3223
2,1,1,2,8,8,0,25-01300,10,3398
2,1,1,2,8,8,0,25-00503,10,3842
1,1,1,1,9,8,0,25-00503,12,4636
2,1,1,1,5,8,0,25-00703,1,4017
2,1,1,2,8,6,0,25-01300,11,3153
2,6,1,2,7,6,0,25-00503,11,3709
2,1,1,2,1,8,0,25-01000,7,1309
2,1,1,2,7,8,0,25-01300,11,1550
2,1,1,2,7,8,0,25-00503,7,1768
2,6,1,2,8,6,2,25-01300,1,4323
2,1,1,1,9,6,0,25-00503,7,4024
1,1,1,1,7,7,0,25-00503,8,3370
2,1,1,2,8,8,0,25-00503,11,1396
2,6,1,2,2,6,0,25-01300,14,625
2,1,1,2,N,8,0,25-01000,11,3701
2,1,1,2,2,8,0,25-00503,14,3664
2,1,1,2,9,8,0,25-00503,11,3483
1,1,1,1,2,6,0,25-00503,14,3715
2,1,1,1,3,7,0,25-01300,11,2233
2,1,9,2,9,7,0,25-00503,13,2181
2,1,1,2,5,8,0,25-00703,10,4082
2,1,1,2,3,8,0,25-01000,11,2846
2,1,1,1,3,8,0,25-01000,10,1990
1,1,1,0,3,6,0,25-00503,13,3670
2,1,1,2,9,6,0,25-00503,10,3502
1,1,1,2,8,8,2,25-00703,11,3643
1,6,1,1,6,6,0,25-00703,6,4336
2,1,1,2,7,5,0,25-00503,10,4995
2,1,1,2,2,8,0,25-00703,10,3963
1,1,1,1,2,6,0,25-00503,7,1676
2,1,1,2,8,8,0,25-01000,11,1625
2,1,1,2,6,8,0,25-00503,10,3618
2,1,1,2,8,8,0,25-00503,11,1511
2,1,1,1,3,4,0,25-00503,10,4094
2,6,1,2,8,6,0,25-01300,11,494
2,1,1,0,8,8,0,25-00703,15,3730
2,1,1,2,9,8,0,25-00503,11,2625
1,4,1,2,9,4,0,25-00503,10,1142
2,2,1,2,8,6,0,25-00503,7,3572
1,6,6,2,4,6,0,25-01300,10,1936
2,6,6,2,8,8,4,25-01300,9,2772
2,1,1,2,N,5,0,25-00503,11,3001
2,6,1,2,N,7,0,25-00503,12,2219
1,1,1,2,8,6,0,25-00703,7,3991
2,1,1,2,9,8,0,25-00503,11,4688
2,6,1,1,9,8,0,25-00503,11,2607
2,1,1,1,8,8,0,25-01300,11,2610
1,1,2,2,9,12,0,25-00503,10,3745
2,1,9,2,9,8,0,25-00503,11,3152
2,1,1,1,8,8,0,25-01300,11,3374
2,1,1,2,7,8,0,25-01300,12,3034
2,1,6,2,N,8,0,25-01000,15,869
2,1,1,2,9,5,0,25-01300,11,2564
2,1,1,1,7,8,0,25-00503,16,3259
2,1,1,2,7,8,0,25-01300,11,3225
2,1,1,1,9,8,0,25-01000,7,3459
2,1,1,2,8,8,0,25-01300,7,1940
2,6,1,2,8,8,4,25-00503,11,5294
2,1,1,2,7,8,0,25-01300,11,3447
2,4,1,2,2,6,0,25-00503,3,3526
2,1,1,1,3,8,0,25-01300,10,1581
2,1,1,2,8,6,0,25-00703,11,1475
2,6,6,2,9,8,0,25-01300,10,3251
2,1,1,2,N,8,0,25-01000,12,2611
1,1,1,1,6,8,3,25-01300,11,4187
1,1,1,2,7,8,0,25-01000,10,5725
2,1,1,2,8,8,0,25-00503,14,5169
2,1,1,2,9,8,0,25-00503,11,2893
2,1,1,2,5,6,0,25-00703,6,484
2,1,1,2,8,8,0,25-00503,14,1871
2,1,1,2,9,6,0,25-00503,11,3335
2,6,1,1,9,6,0,25-00703,6,3645
2,6,9,1,8,6,0,25-01300,10,368
2,1,1,2,1,8,0,25-01000,10,3362
2,1,1,2,8,8,0,25-00503,11,2790
2,6,1,2,7,9,0,25-00503,10,5372
2,6,1,2,7,9,0,25-00503,10,3799
2,5,1,1,8,6,0,25-00703,11,3051
2,1,1,2,7,8,0,25-01300,10,4602
1,N,6,2,8,8,0,25-01000,11,3111
2,1,2,0,5,6,0,25-02800,10,5493
2,1,1,2,N,7,0,25-00503,11,2721
1,3,1,1,8,8,0,25-01000,3,1709
1,1,1,1,8,8,0,25-01300,12,2868
2,1,1,2,4,6,0,25-00703,8,3430
2,1,6,1,8,1,4,25-00503,11,3348
2,1,1,2,8,6,0,25-00503,9,3100
2,1,1,1,8,6,0,25-00503,15,3445
2,1,1,1,5,8,0,25-02800,11,3719
2,2,1,2,9,8,0,25-00503,10,3976
2,1,1,1,9,6,0,25-01300,4,3361
2,4,1,1,7,7,0,25-00703,14,2192
1,1,1,1,N,8,0,25-00503,11,1356
1,6,1,2,9,8,0,25-00703,8,1508
2,1,1,2,5,8,0,25-00503,12,3062
2,6,1,2,3,6,4,25-00503,10,2104
2,1,1,2,9,8,0,25-01300,12,2386
2,1,1,1,N,8,0,25-01300,11,1373
1,1,1,1,4,7,0,25-00503,3,3456
2,1,6,1,0,8,2,25-01300,10,1842
1,6,1,2,8,8,0,25-01300,14,3422
1,1,1,1,0,8,0,25-00703,11,3844
2,1,1,1,2,6,0,25-01300,14,3590
1,1,1,2,8,12,0,25-00503,8,1384
2,1,1,2,9,8,0,25-01300,11,3557
2,1,1,2,9,6,0,25-00503,6,2112
2,1,1,2,8,6,0,25-00503,11,3506
2,1,1,2,8,8,0,25-00503,10,1815
2,4,9,2,9,8,0,25-00703,11,1476
1,4,6,2,3,6,0,25-00503,11,3343
2,1,1,1,9,8,0,25-00503,11,3256
2,6,5,2,8,5,0,25-01300,11,1059
2,1,1,1,9,4,0,25-00503,7,3645
2,1,1,2,3,8,4,25-00503,8,2638
1,1,1,1,9,8,0,25-01300,12,2839
2,1,6,2,8,8,0,25-00503,11,3184
2,1,6,1,8,1,0,25-00703,8,3424
2,1,1,2,8,8,1,25-00703,8,4214
2,1,1,2,9,8,0,25-00503,11,964
1,6,1,0,0,7,0,25-00503,13,4010
2,1,1,2,9,8,0,25-01300,11,2966
2,1,1,2,N,6,0,25-01300,11,3324
2,3,1,2,8,8,0,25-00703,4,3445
2,6,1,2,8,8,0,25-00503,11,3150
2,1,1,2,7,6,0,25-01300,10,1935
2,1,1,1,8,8,0,25-01300,11,3820
2,1,1,2,8,6,0,25-00703,3,3444
2,1,1,2,5,1,0,25-01000,10,3980
2,6,9,2,3,8,0,25-00503,15,3680
2,1,1,1,7,6,0,25-01000,8,1708
2,4,1,1,8,8,0,25-00503,10,3288
2,6,6,2,8,6,0,25-00503,10,3352
2,1,1,2,9,8,0,25-01300,10,3907
1,6,1,1,7,1,0,25-01300,15,5134
1,1,1,2,6,8,0,25-01300,9,4008
1,5,7,2,8,6,4,25-00503,7,3655
2,1,6,1,8,6,0,25-00503,11,3259
2,1,1,1,2,8,0,25-00703,10,3898
2,3,1,2,5,6,1,25-00503,10,1726
2,6,1,0,3,4,0,25-00503,10,1785
1,1,1,1,9,6,0,25-01300,N,2349
2,1,1,2,9,8,0,25-00503,8,3260
2,1,1,2,6,8,0,25-00503,10,3433
2,1,1,1,7,6,0,25-00503,11,3727
2,1,1,2,8,6,0,25-00503,10,3927
2,1,1,2,1,8,0,25-00503,11,1382
2,1,1,2,8,8,0,25-01000,11,2805
2,6,1,2,8,8,0,25-00503,10,3579
2,6,1,2,8,8,0,25-01000,9,1798
1,6,1,1,7,6,0,25-00703,11,4056
2,1,1,2,9,6,0,25-01300,11,1764
2,6,8,2,7,8,0,25-00503,3,3616
1,1,1,1,8,1,0,25-00503,3,3325
1,1,1,2,8,8,0,25-00703,3,3700
2,1,1,1,5,8,0,25-00503,9,5903
2,1,1,2,7,8,0,25-00503,7,3767
2,1,1,2,9,6,0,25-01300,15,2960
2,1,1,1,3,4,0,25-02800,10,3881
2,1,1,2,8,8,0,25-00703,12,551
2,1,1,2,5,8,0,25-00503,10,605
2,1,1,2,5,6,0,25-00703,6,1768
2,4,2,1,8,8,0,25-01300,11,3778
2,1,1,1,6,8,0,25-01000,10,755
1,6,1,2,9,8,0,25-00703,11,3132
2,1,1,2,9,8,0,25-00503,6,3435
1,1,1,2,9,8,0,25-00503,8,1936
1,N,1,1,N,8,0,25-01000,7,6326
1,1,1,2,8,6,0,25-00503,11,3131
2,1,1,2,4,6,0,25-00703,7,3441
2,1,1,2,3,8,0,25-01300,10,4098
2,4,1,2,8,4,0,25-01000,10,3226
1,1,6,1,4,1,0,25-01300,11,1684
1,1,3,1,9,8,0,25-00503,3,3322
1,1,1,1,N,8,0,25-00703,11,3368
2,1,6,2,8,6,0,25-00503,11,3044
2,1,1,1,8,8,0,25-01300,11,1704
1,1,9,1,N,8,0,25-01300,10,1441
2,5,1,2,7,8,0,25-00503,15,1683
1,1,1,2,N,8,0,25-00503,11,2903
2,1,6,2,7,1,0,25-00703,4,1525
1,3,1,2,9,6,0,25-00503,10,4040
2,6,9,2,7,6,0,25-00503,10,5057
2,6,1,1,7,8,0,25-00503,11,3432
2,1,1,2,0,8,0,25-00703,14,3317
2,1,1,2,N,8,0,25-00503,12,2534
2,6,8,1,6,6,0,25-00703,14,5912
2,1,1,2,9,8,0,25-00503,11,3125
2,1,1,2,5,8,0,25-00703,11,3834
1,1,1,2,5,4,0,25-00703,10,3662
2,3,1,1,7,8,0,25-02800,3,2378
2,1,1,2,7,9,0,25-00503,10,3639
2,1,1,2,9,4,4,25-00503,14,3648
1,1,6,2,0,6,0,25-00503,14,2345
2,6,1,2,N,6,0,25-01300,7,3308
2,1,1,2,8,8,0,25-00503,10,3531
2,1,1,2,1,8,0,25-01000,13,546
