PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP,target
25-00503,5,1,6,0,1,N,N,3,2,2872.7,8192,14,5,30010.0,8,86,N,2,2,2,2,30,48,1033
25-00703,0,1,N,0,1,3,3,1,1,2195.3,9690,9,N,N,9,341,N,2,N,2,2,118,168,7633
25-00703,65,2,4,0,1,0,2,1,1,2195.3,9780,9,5,50800.0,2,495,N,2,2,2,2,83,135,3635
25-00503,11,2,6,0,9,2,4,1,1,2872.7,7570,5,5,123220.0,0,90,N,2,2,2,2,65,49,901
25-00703,38,1,1,0,1,0,4,1,1,2195.3,4770,6,9,73800.0,8,499,N,2,2,2,2,110,141,6187
25-00703,0,1,N,0,1,2,5,1,2,3683.9,9690,9,7,N,N,496,N,N,N,2,2,148,176,7633
25-00703,70,1,1,0,1,0,N,1,2,2195.3,9920,9,8,23400.0,0,86,N,1,2,2,1,65,71,938
25-00503,55,2,1,3,1,0,N,1,1,2195.3,7680,10,3,95800.0,6,415,N,2,2,2,2,79,104,3846
25-00703,54,2,6,0,1,0,2,1,1,2195.3,7380,N,N,7000.0,7,257,N,2,2,2,2,68,99,3487
25-00703,47,1,1,0,1,1,6,1,2,2195.3,2280,3,7,144000.0,9,500,N,2,2,2,2,116,96,4117
25-02800,51,2,N,0,1,2,2,1,1,3683.9,9780,N,N,N,9,497,N,2,2,2,2,127,176,5933
25-00503,8,2,6,0,1,0,N,1,2,2872.7,7460,0,5,95000.0,0,500,N,2,2,2,2,94,79,974
25-02800,62,1,4,0,1,1,6,1,2,3683.9,170,9,9,N,9,499,N,2,2,2,2,116,109,2726
25-00703,66,2,6,0,1,N,2,1,2,2195.3,9780,9,5,11480.0,0,83,N,2,2,2,1,58,67,3007
25-01000,52,1,4,0,1,0,3,1,2,2872.7,7670,1,9,41000.0,5,311,N,2,2,2,2,95,100,2940
25-00703,28,2,4,0,1,2,N,2,2,2195.3,9780,9,9,61060.0,3,200,N,2,2,2,2,78,96,5375
