,INDP,count_target,count_deidentified
6,4670,75,62
34,4680,5,4
0,4690,36,29
2,4770,42,43
16,4780,5,5
17,4795,49,44
10,4870,59,55
8,4880,26,24
20,4890,28,16
7,4971,189,175
30,4972,31,33
26,4980,22,29
29,4990,9,13
5,5070,66,67
25,5080,38,38
31,5090,50,46
4,5170,124,121
27,5180,15,12
24,5190,16,15
18,5275,57,51
19,5280,5,3
23,5295,5,5
14,5370,17,19
12,5381,44,43
3,5391,154,154
28,5470,14,14
21,5480,14,11
13,5490,21,19
1,5570,15,11
15,5580,32,34
22,5593,52,56
32,5670,4,2
33,5680,8,9
9,5690,13,17
11,5790,41,35
