,Unnamed: 0,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP,PUMA
0,5759,24,2,6,0,1,2,4,3,1,N,N,10,-4600,0,434,N,2,2,2,2,83,64,25-00703
1,3039,16,2,1,0,1,0,4,1,2,8370,4,9,89860,4,277,N,2,2,2,2,111,160,25-00703
2,1846,12,1,1,0,1,1,4,1,2,770,10,5,98791,6,445,N,2,2,2,2,90,66,25-02800
3,154,59,2,6,4,1,2,N,3,1,N,5,3,180799,1,320,N,2,2,2,2,74,100,25-01300
4,7044,18,2,4,0,1,2,3,1,1,N,N,8,-4600,0,382,N,2,2,2,2,55,46,25-00503
5,5305,22,1,N,0,1,0,4,1,2,7860,11,10,N,N,281,N,2,2,1,2,60,101,25-02800
6,2460,89,2,6,0,6,0,2,1,2,7860,N,4,33821,N,336,N,2,2,2,2,86,90,25-02800
7,1158,53,1,6,0,1,2,4,1,1,6290,6,3,134035,8,423,N,2,2,2,2,86,34,25-02800
8,1476,58,1,6,0,6,1,4,1,2,7860,11,2,-782,2,297,N,2,1,2,2,20,90,25-00703
9,3042,65,1,1,0,1,2,N,1,1,N,10,7,81588,0,501,N,2,2,2,2,52,75,25-00503
10,6519,55,2,6,0,1,0,2,1,1,6890,12,9,211039,8,490,N,2,2,2,1,75,47,25-01300
11,409,46,2,1,0,1,0,3,1,2,9590,4,9,51061,4,501,N,1,2,2,2,110,130,25-00503
12,909,69,1,6,0,1,0,2,1,2,7270,N,5,206020,N,454,N,2,2,2,2,55,86,25-00703
13,7434,47,1,6,0,1,0,2,1,1,7270,9,10,52678,5,474,N,2,2,2,2,65,51,25-02800
14,6336,18,1,6,0,1,2,3,1,1,7870,N,5,171553,N,501,N,1,2,2,2,108,102,25-01000
15,1469,64,2,1,0,1,0,2,1,1,8370,6,5,-4600,5,469,N,2,2,2,2,48,83,25-02800
16,3492,45,2,6,0,1,0,4,1,1,3895,4,7,117363,1,307,N,2,2,2,2,160,120,25-00703
17,2982,61,2,4,0,1,0,2,1,1,7460,6,5,43371,1,501,N,2,2,2,2,94,68,25-00503
18,6785,70,2,6,0,1,0,2,1,1,7980,4,5,238608,8,461,N,2,2,2,2,111,83,25-00703
19,5786,60,2,1,0,1,0,N,1,1,7770,4,5,82211,7,436,N,2,2,2,2,78,84,25-02800
20,7316,70,1,6,0,1,1,5,1,1,7380,6,3,N,7,384,N,1,2,1,2,60,45,25-00503
21,5485,17,2,1,4,1,0,2,1,1,7380,12,9,145415,8,449,N,2,2,2,2,111,73,25-00503
