,Target samples,Deid. samples
0,4,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,3455,403
11,0,0
12,0,0
13,0,0
14,6,1
15,0,0
16,0,0
17,6328,1274
18,4299,939
19,4330,1024
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,1969,863
31,0,0
32,792,371
33,0,0
34,0,0
35,560,303
36,0,0
37,0,0
38,0,0
39,0,0
40,925,607
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,291,287
51,0,0
52,0,0
53,0,0
54,97,113
55,0,0
56,817,1079
57,0,0
58,0,0
59,0,0
60,29,44
61,0,0
62,79,128
63,904,1538
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,743,1635
70,0,0
71,0,0
72,0,0
73,0,0
74,13,37
75,323,982
76,0,0
77,0,0
78,0,0
79,23,86
80,49,191
81,0,0
82,876,3963
83,0,0
84,0,0
85,0,0
86,47,291
87,77,533
88,0,0
89,0,0
90,76,655
91,0,0
92,0,0
93,0,0
94,61,891
95,0,0
96,0,0
97,36,1213
98,36,1631
99,8,6171
