,HISP,PUMA,PINCP_DECILE,MSP,DENSITY,OWN_RENT,DREM,SEX,NPF,HOUSING_TYPE,RAC1P,INDP_CAT,DVET,NOC,EDU,DEYE,DEAR,DPHY,AGEP
HISP,2.942091015256665e-14,-0.08947748326263101,0.03693405315004883,-0.08575400499067207,-0.03216388628045465,0.034102434968642514,0.045705390745213875,0.07366024720107255,0.06571163726489126,-0.18171230139557373,-0.22883997311663337,-0.10757587401780697,-0.054650562470607594,-0.08972474590490484,0.1052582486160896,0.03960087471105271,0.011959982114430109,0.05889141221793411,0.027823917663620974
PUMA,-0.08947748326263101,1.2656542480726785e-14,-0.16792743751186928,0.02450499540256233,-0.2917724600863183,-0.10535838689433863,0.003140618813437338,-0.0773389933713329,0.1549682977973173,0.08787017138754812,0.017888486093465304,0.06229805005095784,0.017959108509098404,0.009547273855510179,-0.273939222987106,-0.044492430800345276,-0.033538709213768836,-0.03310202578136065,0.10230521930965561
PINCP_DECILE,0.03693405315004883,-0.16792743751186928,-1.687538997430238e-14,-0.21825490109017814,-0.1624884121343944,-0.02787240880702576,-0.368149662891671,0.0724283395129216,0.23293292389362502,0.11702128050432994,0.12561995909622078,-0.538128255281128,-0.12539568384107774,0.32750262772636185,-0.737773402572067,-0.022144504500101626,0.05420659649421973,-0.35884948008027284,-0.45991551040670037
MSP,-0.08575400499067207,0.02450499540256233,-0.21825490109017814,2.0650148258027912e-14,-0.2267261785067268,-0.1306869961354633,-0.32848339138873195,-0.03996375798260823,0.45587491294519633,-0.1342610098446292,0.022317599705630423,-0.24741847663370525,0.09181730216083941,0.4748229445093771,-0.36953400202619735,-0.007162243400664101,-0.014704982540593008,-0.3480126825630526,-0.07250734941798889
DENSITY,-0.03216388628045465,-0.2917724600863183,-0.1624884121343944,-0.2267261785067268,-4.9404924595819466e-14,-0.16122256320390793,0.0015368348368343387,0.025122207818304758,0.11518728533249714,-0.07041326931030907,-0.11982348408571969,-0.24078542057551244,-0.03847201648021502,-0.05632901457822688,-0.16526019890168714,-0.005179703727637389,-0.08384960291537183,-0.013206955780440476,-0.03102168626838825
OWN_RENT,0.034102434968642514,-0.10535838689433863,-0.02787240880702576,-0.1306869961354633,-0.16122256320390793,0.0,0.04842038927752344,0.08266792150848166,0.07152493121375283,0.29759035197648076,-0.1451630134229763,-0.24197687192169073,-0.03671827109984621,-0.1900847675823062,0.04344348160671648,0.024046909576496724,-0.020608763410916577,0.0638461362810879,0.1402985048061559
DREM,0.045705390745213875,0.003140618813437338,-0.368149662891671,-0.32848339138873195,0.0015368348368343387,0.04842038927752344,-4.651834473179406e-14,-0.003553975456385503,0.20395383237958867,-0.033807599355240525,0.06703022228041218,-0.30809996345153257,-0.043461488986253516,0.17071274636517092,-0.5067012820386885,0.014676623769585034,-0.024908386258365698,-0.8826857577734859,-0.38870833667965443
SEX,0.07366024720107255,-0.0773389933713329,0.0724283395129216,-0.03996375798260823,0.025122207818304758,0.08266792150848166,-0.003553975456385503,-1.3322676295501878e-14,0.0351381476068009,-0.0679879745791585,-0.04718516405458239,-0.19963990080120553,0.051548566952713995,-0.057925610136345014,-0.00026305975791064,0.012660233019457661,-0.048309550176202004,0.032481390118884006,-0.07624047236791232
NPF,0.06571163726489126,0.1549682977973173,0.23293292389362502,0.45587491294519633,0.11518728533249714,0.07152493121375283,0.20395383237958867,0.0351381476068009,0.0,0.20455157487229966,-0.1201205468458278,0.07164831606800443,0.004447599375515421,-0.710037395326412,0.3695120998868441,-0.005518840482872423,-0.07261241401213117,0.18375449547307202,0.28924282521527694
HOUSING_TYPE,-0.18171230139557373,0.08787017138754812,0.11702128050432994,-0.1342610098446292,-0.07041326931030907,0.29759035197648076,-0.033807599355240525,-0.0679879745791585,0.20455157487229966,1.8318679906315083e-14,0.043531708887495496,0.15566933898493293,0.06475999161516405,0.33164248380249306,-0.029289426350112245,0.026079066810777127,0.0035996179001890477,-0.056174192494487823,0.03405866179749047
RAC1P,-0.22883997311663337,0.017888486093465304,0.12561995909622078,0.022317599705630423,-0.11982348408571969,-0.1451630134229763,0.06703022228041218,-0.04718516405458239,-0.1201205468458278,0.043531708887495496,-2.3425705819590803e-14,0.07606144999433428,0.06589319156929829,0.01570518141155023,0.08098245651479004,-0.01689837922046775,0.010063791240602166,0.001578756073392619,0.18256968353981098
