,feature,divergence
13,PINCP,11.648038049940547
1,AGEP,5.2877286789820985
14,PINCP_DECILE,3.2718636892239745
10,DENSITY,2.9066380993358676
11,INDP_CAT,2.0494820868573593
12,EDU,1.3628976149621617
0,PUMA,0.9955424627951739
7,NPF,0.8929592639604346
3,MSP,0.6044550343950649
15,POVPIP,0.5634140113588882
6,NOC,0.4992004319518061
18,DPHY,0.08845621420505513
17,DREM,0.08405275698895862
9,OWN_RENT,0.0574222381246963
5,RAC1P,0.04070519839958761
2,SEX,0.040607980180511816
4,HISP,0.03988504446285934
20,DEAR,0.021049839931607396
8,HOUSING_TYPE,0.02042396763342775
16,DVET,0.009169424966640952
19,DEYE,0.006744697494209639
