PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP
25-00503,11,2,N,0,1,1,3,1,1,2872.7,N,N,3,N,N,501,N,2,2,2,2,60,66
25-00703,52,2,1,0,1,2,6,1,1,2195.3,N,N,9,250600,9,501,N,2,2,1,2,65,66
25-00503,32,1,6,0,1,0,N,1,2,2872.7,6992,9,10,90000,8,501,N,2,2,2,2,55,53
25-01300,47,1,1,0,6,1,3,1,1,1457.2,3380,4,10,150000,9,501,N,2,2,2,2,74,73
25-00703,32,1,6,3,1,0,N,1,1,2195.3,1880,4,9,70000,7,454,N,2,2,2,2,200,109
25-00703,43,1,1,0,1,2,4,1,1,2195.3,6170,7,9,97000,8,487,N,2,2,2,2,107,106
25-00503,31,2,1,0,1,2,5,1,2,2872.7,N,N,5,0,0,501,N,2,2,2,2,63,66
25-00503,40,2,1,0,6,2,4,1,2,2872.7,N,N,7,0,0,456,N,2,2,2,2,135,124
25-01000,29,1,4,0,1,0,2,1,1,2447.1,2390,4,7,60000,6,484,N,2,2,2,2,59,35
25-00503,48,2,4,0,1,0,N,1,1,2872.7,6870,9,10,90250,8,501,N,2,2,2,2,76,76
25-00503,66,2,4,0,1,0,2,1,1,2872.7,7890,11,9,8300,2,195,N,2,2,2,2,53,52
25-01300,15,1,6,0,1,2,4,1,1,1457.2,N,N,4,0,0,501,N,2,2,2,2,72,76
25-01300,61,1,3,0,1,0,2,1,1,1457.2,3180,4,5,59400,6,501,N,2,2,2,1,74,74
25-00503,66,2,4,0,1,N,N,2,0,2872.7,N,N,9,0,0,N,N,2,2,2,2,56,0
25-00703,70,1,1,0,1,0,3,1,1,2195.3,6480,8,10,128000,8,501,N,2,2,2,2,53,62
25-00503,34,2,1,0,1,0,2,1,2,2872.7,9290,15,8,25000,4,190,N,2,2,2,2,66,69
25-01300,65,2,1,0,1,0,2,1,1,1457.2,6970,9,9,53000,6,501,N,2,2,2,2,57,71
25-00703,13,2,N,0,1,4,6,1,1,2195.3,N,N,3,N,N,501,N,2,2,2,2,112,111
25-01300,6,2,N,0,1,3,5,1,2,1457.2,N,N,2,N,N,304,N,2,2,2,2,152,169
25-01300,42,2,1,0,1,2,4,1,1,1457.2,N,N,9,0,0,402,N,2,2,2,2,62,73
25-01300,16,1,6,0,2,4,7,1,1,1457.2,N,N,4,0,0,501,N,2,2,2,2,54,156
25-00703,44,2,1,0,1,2,4,1,1,2195.3,7860,11,10,0,0,501,N,2,2,2,2,50,58
25-01300,45,2,1,0,1,1,4,1,1,1457.2,N,N,9,0,0,494,N,2,2,2,2,52,62
25-02800,14,2,N,0,9,1,4,1,1,3683.9,N,N,3,N,N,501,N,2,2,2,2,52,63
25-01300,54,1,1,0,1,0,2,1,1,1457.2,2990,4,9,100000,8,501,N,2,2,2,2,123,114
25-01000,70,2,1,0,1,0,2,1,1,2447.1,7980,12,12,19700,3,414,N,2,2,2,2,105,94
25-00503,26,2,6,0,1,0,N,1,2,2872.7,8590,14,9,47000,5,346,N,2,2,2,2,60,65
