,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,OWN_RENT,PINCP_DECILE,DEYE
PUMA,1.7763568394002505e-15,0.03937068663359521,0.008035452253018865,0.07466839116078997,-0.08214992935111852,0.007712582559680541,-0.06403546054614075,-0.08090838923012493,0.050422168736305964,0.0013122947369146208,-0.00930750690131371
AGEP,0.03937068663359521,4.440892098500626e-16,-0.05336037650152284,-0.010145181841224607,0.0798406750830708,0.11974117113512471,0.25032689498557875,0.13886059660557384,0.15499582412332313,-0.4409396516336146,0.1417457711301141
SEX,0.008035452253018865,-0.05336037650152284,-6.106226635438361e-15,-0.003914427065998646,-0.0010614082757952458,-0.008879302059686543,-0.008843303120752051,-0.008092294374504259,-0.009147636741083758,0.07840285364414537,-0.009653789821728008
MSP,0.07466839116078997,-0.010145181841224607,-0.003914427065998646,-4.9960036108132044e-15,-0.01973979591383447,0.003904208117563202,0.1264486372430123,0.0029519812427621916,-0.08532426531945311,-0.19209556702777958,0.03433196471401095
HISP,-0.08214992935111852,0.0798406750830708,-0.0010614082757952458,-0.01973979591383447,7.771561172376096e-16,-0.1910019441100865,-0.03665728475002321,-0.04937722920961566,-0.073118942833269,0.03323089181570103,-0.012943030035194824
RAC1P,0.007712582559680541,0.11974117113512471,-0.008879302059686543,0.003904208117563202,-0.1910019441100865,-3.3306690738754696e-16,-0.0689023629588497,-0.09946051767474884,-0.10485396713642944,0.12169170839151958,-0.015509419845584158
NOC,-0.06403546054614075,0.25032689498557875,-0.008843303120752051,0.1264486372430123,-0.03665728475002321,-0.0689023629588497,0.0,-0.022549032313391226,-0.18314371991830364,0.2651967954938935,-0.05381116545200657
NPF,-0.08090838923012493,0.13886059660557384,-0.008092294374504259,0.0029519812427621916,-0.04937722920961566,-0.09946051767474884,-0.022549032313391226,-8.881784197001252e-16,-0.02852232905965213,0.25612794555881674,-0.0608182329676822
OWN_RENT,0.050422168736305964,0.15499582412332313,-0.009147636741083758,-0.08532426531945311,-0.073118942833269,-0.10485396713642944,-0.18314371991830364,-0.02852232905965213,-1.9984014443252818e-15,-0.0038408961409785343,0.0025842715770252513
PINCP_DECILE,0.0013122947369146208,-0.4409396516336146,0.07840285364414537,-0.19209556702777958,0.03323089181570103,0.12169170839151958,0.2651967954938935,0.25612794555881674,-0.0038408961409785343,0.0,0.001570788257802519
DEYE,-0.00930750690131371,0.1417457711301141,-0.009653789821728008,0.03433196471401095,-0.012943030035194824,-0.015509419845584158,-0.05381116545200657,-0.0608182329676822,0.0025842715770252513,0.001570788257802519,2.55351295663786e-15
