,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,OWN_RENT,PINCP_DECILE
PUMA,1.1102230246251565e-16,-0.0035634052761342547,-0.0037331529040298267,-0.009975884914441902,-0.0038169183662225756,-0.006755846236327381,0.0021956316578999255,0.013617521055914933,-0.006158827575271562,-0.0010143060913229973
AGEP,-0.003563405276134253,0.0,0.0,0.004326178872084918,0.027975082352051234,0.0192780410007502,0.04003997203736853,0.0286889979320879,0.007006734488058955,-0.032700818192946346
SEX,-0.0037331529040298267,0.0,0.0,0.0032312501724812252,0.0018585942238538919,-0.009920540773569103,0.0034070576753495556,-0.0020623976773426686,0.0033609584322123135,0.018442248138379774
MSP,-0.009975884914441902,0.00432617887208489,0.0032312501724812252,0.0,0.009144390917548496,-0.004430910879312097,0.040447673008179696,0.0345747262157059,-0.00037704868219188073,-0.0027133583824502927
HISP,-0.0038169183662225773,0.027975082352051234,0.0018585942238538919,0.009144390917548498,0.0,-0.04108578518807556,-0.03767211166153431,-0.028513156488628344,-0.02128265660234362,0.023922996476054142
RAC1P,-0.006755846236327381,0.019278041000750187,-0.009920540773569105,-0.004430910879312092,-0.04108578518807556,0.0,-0.0062822515312845675,-0.014405452706667245,-0.010747374318376503,0.026551560481417824
NOC,0.0021956316578999255,0.040039972037368476,0.0034070576753495556,0.040447673008179696,-0.037672111661534335,-0.0062822515312845745,2.220446049250313e-16,-0.12079903513763324,-0.025204986907797183,0.04149720869960763
NPF,0.013617521055914933,0.0286889979320879,-0.0020623976773426617,0.0345747262157059,-0.028513156488628358,-0.014405452706667238,-0.12079903513763324,0.0,-0.002159115952749687,0.0366878727101595
OWN_RENT,-0.006158827575271565,0.007006734488058941,0.00336095843221231,-0.00037704868219188246,-0.02128265660234362,-0.010747374318376496,-0.02520498690779721,-0.002159115952749686,-1.1102230246251565e-16,0.000703175319688408
PINCP_DECILE,-0.0010143060913230008,-0.03270081819294629,0.018442248138379774,-0.0027133583824503205,0.023922996476054142,0.026551560481417845,0.0414972086996076,0.036687872710159525,0.000703175319688415,0.0
