,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,OWN_RENT,PINCP_DECILE,DEYE
PUMA,1.0103029524088925e-14,0.020193651276849706,-0.017683482199186355,-0.021404315319466984,-0.026375873971313288,-0.007971787654874642,-0.005540529570232739,0.033024356574082994,-0.05248592235429328,-0.0037629226393013776,-0.012721218155595501
AGEP,0.020193651276849706,5.551115123125783e-16,-0.04940623856643894,-0.024073275665005833,0.15327623408036553,0.12269753716662465,0.09014467599150505,0.1800018126865956,0.14478812301938612,-0.08184507631307969,0.11248371530351309
SEX,-0.017683482199186355,-0.04940623856643894,0.0,0.01791520521570155,0.0347195300288741,0.01025066750132329,0.004006559324164299,0.032839548947227515,0.0036902463002346907,0.003066340161215292,0.029746173828400044
MSP,-0.021404315319466984,-0.024073275665005833,0.01791520521570155,-1.199040866595169e-14,-0.0051969172764979275,0.0016004777970348568,0.15667193189733716,0.23077530017192416,-0.015499325729453036,0.02771132430399753,0.022077727646203246
HISP,-0.026375873971313288,0.15327623408036553,0.0347195300288741,-0.0051969172764979275,-9.769962616701378e-15,-0.15483351453487487,-0.13424322447779924,-0.11408606691286514,-0.036061054810898316,0.06422470365499583,-0.0075934752092472815
RAC1P,-0.007971787654874642,0.12269753716662465,0.01025066750132329,0.0016004777970348568,-0.15483351453487487,0.0,-0.05294318165823367,-0.053268630533820284,0.017780925430542296,0.05516886554330073,-0.044446552449013146
NOC,-0.005540529570232739,0.09014467599150505,0.004006559324164299,0.15667193189733716,-0.13424322447779924,-0.05294318165823367,-1.3988810110276972e-14,-0.045201928363818644,-0.14021672198332044,0.09889583051137382,-0.07319929842924307
NPF,0.033024356574082994,0.1800018126865956,0.032839548947227515,0.23077530017192416,-0.11408606691286514,-0.053268630533820284,-0.045201928363818644,0.0,-0.019469978432586608,0.1501216395083391,-0.06309509550851118
OWN_RENT,-0.05248592235429328,0.14478812301938612,0.0036902463002346907,-0.015499325729453036,-0.036061054810898316,0.017780925430542296,-0.14021672198332044,-0.019469978432586608,0.0,0.011419089611545578,-0.014399968844081136
PINCP_DECILE,-0.0037629226393013776,-0.08184507631307969,0.003066340161215292,0.02771132430399753,0.06422470365499583,0.05516886554330073,0.09889583051137382,0.1501216395083391,0.011419089611545578,0.0,-0.001941212981585696
DEYE,-0.012721218155595501,0.11248371530351309,0.029746173828400044,0.022077727646203246,-0.0075934752092472815,-0.044446552449013146,-0.07319929842924307,-0.06309509550851118,-0.014399968844081136,-0.001941212981585696,-1.3100631690576847e-14
