,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,OWN_RENT,PINCP_DECILE,DEYE
PUMA,0.0,-0.029176637041124893,0.016058981224819538,0.01783921000276745,0.03928318407727597,0.07652020936617529,-0.009215360486315417,-0.0675450486604217,0.03011728201708011,-0.016268300610138547,0.01359952982967709
AGEP,-0.029176637041124893,0.0,-0.043062729790303185,-0.0965042163944892,0.0996477371796563,0.11749417483740028,0.3762323702531734,0.31391016704726893,0.020396896014612337,-0.35320113575904105,0.10299520882938056
SEX,0.016058981224819538,-0.043062729790303185,1.1102230246251565e-16,-0.04162040211148067,0.007353269951916526,-0.0026158206180779053,0.025060461942137534,0.047380699450329494,0.015489142743711659,0.11876237981394233,0.017571735390798135
MSP,0.01783921000276746,-0.0965042163944892,-0.041620402111480666,-2.220446049250313e-16,-0.02885533517044723,0.008840133328075164,0.43685349577131166,0.40508025208356896,0.0364116402611398,-0.10796778964547575,0.04268573639946366
HISP,0.039283184077275976,0.0996477371796563,0.007353269951916529,-0.02885533517044723,-1.1102230246251565e-16,-0.1143124392355873,-0.042364690348836935,-0.012709287200138496,-0.06363767642962295,0.055052008976445445,0.022898181798688008
RAC1P,0.07652020936617529,0.11749417483740028,-0.002615820618077906,0.008840133328075164,-0.1143124392355873,0.0,-0.07474124998163996,-0.05178061763898672,-0.008757219627737556,0.07193149315699929,-0.05487907872404411
NOC,-0.009215360486315414,0.3762323702531734,0.025060461942137537,0.43685349577131166,-0.04236469034883693,-0.07474124998163996,0.0,-0.6851438664890556,-0.16587252728611995,0.15147898254510508,-0.08875355848897312
NPF,-0.06754504866042169,0.31391016704726893,0.047380699450329494,0.405080252083569,-0.012709287200138496,-0.051780617638986705,-0.6851438664890557,-2.220446049250313e-16,0.017342396694578155,0.1444811352000314,-0.06954503006700646
OWN_RENT,0.03011728201708011,0.020396896014612333,0.015489142743711656,0.0364116402611398,-0.06363767642962294,-0.008757219627737556,-0.16587252728611998,0.01734239669457816,-1.1102230246251565e-16,-0.03900219748102177,-0.00919002610996579
PINCP_DECILE,-0.016268300610138547,-0.3532011357590411,0.11876237981394233,-0.10796778964547574,0.055052008976445445,0.07193149315699929,0.15147898254510506,0.1444811352000314,-0.03900219748102177,2.220446049250313e-16,-0.03153426890372632
DEYE,0.01359952982967709,0.10299520882938056,0.017571735390798135,0.042685736399463665,0.022898181798688008,-0.054879078724044114,-0.08875355848897312,-0.06954503006700646,-0.00919002610996579,-0.03153426890372633,-2.220446049250313e-16
