,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,OWN_RENT,PINCP_DECILE
PUMA,-4.6629367034256575e-15,-0.01746101739302254,-0.023364436195989796,-0.09190440455276166,-0.04173838582605113,0.0016152357387842421,0.009702449477836758,0.07206134312042436,-0.05279492283100604,-0.08089692007591805
AGEP,-0.01746101739302254,3.1086244689504383e-15,0.141272907459724,-0.12460836095607755,0.1219848317155903,0.12286425718154813,-0.014199720191974241,-0.11809964138920842,0.027991212744103183,0.07962538706071232
SEX,-0.023364436195989796,0.141272907459724,0.0,0.21636251397621972,-0.04095694994057252,0.004420851061141099,-0.1035046181918887,-0.23419274804608797,0.005895280557618591,0.10483893968273095
MSP,-0.09190440455276166,-0.12460836095607755,0.21636251397621972,4.218847493575595e-15,-0.019691591208403258,0.012208892970431458,-0.0015594266437579662,0.029020024838401937,-0.04605714670530073,-0.18917003204732333
HISP,-0.04173838582605113,0.1219848317155903,-0.04095694994057252,-0.019691591208403258,-5.440092820663267e-15,0.18634418014767237,-0.05386208517459673,-0.043791490403839034,-0.0349507169985946,0.07910076397020244
RAC1P,0.0016152357387842421,0.12286425718154813,0.004420851061141099,0.012208892970431458,0.18634418014767237,4.9960036108132044e-15,-0.005217511612973305,-0.016778903876655808,-0.0011142326659623575,0.0881179466969319
NOC,0.009702449477836758,-0.014199720191974241,-0.1035046181918887,-0.0015594266437579662,-0.05386208517459673,-0.005217511612973305,0.0,0.025094938653896448,0.03292299146119439,0.03703224206237693
NPF,0.07206134312042436,-0.11809964138920842,-0.23419274804608797,0.029020024838401937,-0.043791490403839034,-0.016778903876655808,0.025094938653896448,0.0,0.05905089990869815,-0.014488905720585588
OWN_RENT,-0.05279492283100604,0.027991212744103183,0.005895280557618591,-0.04605714670530073,-0.0349507169985946,-0.0011142326659623575,0.03292299146119439,0.05905089990869815,3.885780586188048e-15,0.008606854206878449
PINCP_DECILE,-0.08089692007591805,0.07962538706071232,0.10483893968273095,-0.18917003204732333,0.07910076397020244,0.0881179466969319,0.03703224206237693,-0.014488905720585588,0.008606854206878449,0.0
