,Target samples,Deid. samples
0,61,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,13,1
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,36,7
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,73,21
23,0,0
24,0,0
25,772,257
26,119,41
27,449,166
28,4784,1909
29,0,0
30,631,274
31,0,0
32,50,23
33,111,55
34,435,220
35,0,0
36,0,0
37,0,0
38,5,3
39,0,0
40,31,21
41,0,0
42,0,0
43,0,0
44,18,14
45,0,0
46,25,21
47,0,0
48,0,0
49,0,0
50,21,21
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
