,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,OWN_RENT,PINCP_DECILE
PUMA,1.1102230246251565e-16,-0.03584175921023121,-0.01890468059825991,-0.0031273068691136004,-0.017445980227653465,0.00939718498414775,0.00033756153806926807,0.02719994034527494,-0.0011570696426731614,0.0038450521040186494
AGEP,-0.035841759210231194,0.0,0.040511692458150436,-0.2530412041190419,0.09152243746366853,0.01572717082351928,0.28586255103655056,0.2687401253543387,0.050674561359528636,-0.4541679480173838
SEX,-0.01890468059825991,0.04051169245815044,-2.220446049250313e-16,0.027148163323711647,-0.003928110228626618,0.00742104934335563,-0.02216638129978426,0.0058772583366072315,-0.03194815752960141,-0.02505532172620395
MSP,-0.0031273068691135995,-0.25304120411904196,0.02714816332371164,0.0,0.1400665037222727,0.06529307484347656,0.3580258033339741,0.2932733385840376,0.1166927198838239,-0.3867450832938427
HISP,-0.01744598022765347,0.09152243746366853,-0.003928110228626618,0.14006650372227272,1.1102230246251565e-16,-0.0038948771888926426,-0.008120747173696596,-0.003600044417234438,0.0025333399254950095,0.04970321978663467
RAC1P,0.009397184984147747,0.01572717082351928,0.007421049343355631,0.06529307484347656,-0.0038948771888926426,0.0,0.03767643329478844,0.03655286426020909,-0.007554170516337187,0.027662970900550157
NOC,0.00033756153806926807,0.28586255103655056,-0.02216638129978426,0.3580258033339741,-0.008120747173696624,0.037676433294788446,0.0,-0.3550870093941367,-0.13663411515633925,0.219564753034427
NPF,0.02719994034527494,0.26874012535433867,0.0058772583366072315,0.29327333858403754,-0.003600044417234438,0.036552864260209095,-0.3550870093941367,1.1102230246251565e-16,-0.030845309865471307,0.20019885640681812
OWN_RENT,-0.0011570696426731648,0.05067456135952862,-0.03194815752960141,0.1166927198838239,0.0025333399254950165,-0.007554170516337173,-0.13663411515633925,-0.030845309865471304,0.0,0.017537639381920225
PINCP_DECILE,0.0038450521040186494,-0.4541679480173838,-0.02505532172620395,-0.3867450832938428,0.04970321978663467,0.027662970900550178,0.219564753034427,0.20019885640681812,0.017537639381920232,-1.1102230246251565e-16
