,AGEP_x,DVET_x,EDU,HISP,HOUSING_TYPE_x,MSP,NOC_x,OWN_RENT,PINCP_DECILE_x,PUMA,RAC1P,SEX,AGEP_y,DVET_y,HOUSING_TYPE_y,NOC_y,PINCP_DECILE_y,percent_match
0,28,N,8,0,1,5,0,1,8,08-00803,1,2,55,N,1,1,9,40.0
1,24,N,9,0,1,3,2,1,2,29-01901,1,2,68,N,1,0,9,40.0
2,42,N,10,0,1,6,0,2,N,26-02702,2,2,26,N,1,0,2,60.0
3,57,N,4,0,1,1,0,2,N,40-00200,3,1,58,N,1,0,0,60.0
4,69,N,8,0,1,6,0,2,N,13-04600,1,2,26,N,1,0,8,60.0
5,44,N,12,0,1,6,2,1,8,01-01301,2,1,62,N,1,0,0,40.0
6,14,N,9,0,1,6,0,2,7,17-03529,9,2,23,N,1,0,5,60.0
7,20,N,3,4,1,6,1,2,3,28-01100,1,1,19,N,1,0,4,40.0
8,43,N,9,1,1,1,1,2,0,19-01700,1,2,33,N,1,0,8,40.0
9,6,N,9,0,1,6,1,2,0,51-01301,9,1,29,N,1,0,3,40.0
10,71,N,7,0,1,3,0,1,9,17-03529,2,1,76,N,1,0,3,60.0
11,10,N,1,0,1,N,0,1,9,51-01301,6,2,4,N,1,2,N,40.0
12,87,N,6,0,1,1,0,1,1,28-01100,1,1,86,2,1,0,8,40.0
13,61,N,N,0,1,N,0,2,8,06-08507,6,2,0,N,1,2,N,40.0
14,17,N,7,0,1,3,N,1,6,32-00405,2,2,83,N,1,0,6,60.0
15,58,N,10,0,1,6,0,1,5,36-03710,2,2,65,N,1,0,6,60.0
16,71,N,1,0,1,N,0,2,0,06-07502,1,2,3,N,1,1,N,40.0
17,63,N,6,0,1,1,0,1,N,01-01301,1,2,60,N,1,0,0,60.0
18,3,N,7,0,1,6,0,1,6,32-00405,6,1,62,N,1,0,0,60.0
19,58,N,5,0,1,1,0,1,9,38-00100,5,2,58,N,1,0,6,80.0
20,41,N,4,0,1,N,0,1,9,24-01004,6,2,14,N,1,1,N,40.0
21,64,N,10,0,1,1,0,2,4,26-02702,2,1,39,N,1,0,9,60.0
22,22,N,4,0,1,1,1,1,N,38-00100,9,2,46,N,1,0,0,40.0
23,9,N,12,0,1,6,0,2,8,26-02702,1,2,63,N,1,0,9,60.0
24,72,N,9,0,1,3,0,1,9,30-00600,1,1,56,2,1,0,4,40.0
25,60,N,7,0,1,3,1,2,6,26-02702,1,2,74,N,1,0,6,60.0
26,15,N,4,0,1,1,1,1,7,32-00405,1,1,42,N,1,0,6,40.0
