,feature,divergence
13,PINCP,0.33958146349864565
1,AGEP,0.16525238102964324
11,INDP_CAT,0.12885730318535107
0,PUMA,0.06641375596603233
14,PINCP_DECILE,0.05436345594170017
15,POVPIP,0.047241782579784425
6,NOC,0.037215933883608346
12,EDU,0.029759311494374246
9,OWN_RENT,0.028850630087339277
7,NPF,0.019995427443142484
8,HOUSING_TYPE,0.014560190581389205
10,DENSITY,0.009342230504691657
3,MSP,0.008660426469441401
5,RAC1P,0.007691396647973893
16,DVET,0.003475292800483306
4,HISP,0.002241948837381488
17,DREM,0.0016072170608146252
18,DPHY,0.001206517521143688
20,DEAR,0.001066369332486862
19,DEYE,0.0008129139886709248
2,SEX,0.00041526695627691623
