,AGEP,SEX,MSP,RAC1P,HOUSING_TYPE,OWN_RENT,EDU,PINCP_DECILE,DVET,DEYE
AGEP,5.551115123125783e-16,-0.056517089540638894,-0.14167685221279186,0.12174985327715496,-0.061345730472299326,0.14618160322074072,-0.5454064676477902,-0.5673522140105157,-0.06339448007058722,0.13121754448514558
SEX,-0.056517089540638894,0.0,-0.025031328666854313,0.025760492068516605,-0.014905977446222306,-0.041372484389035714,-0.028206529625772137,0.11733951032674696,0.10085947452145025,0.03351556123302416
MSP,-0.14167685221279186,-0.025031328666854313,-7.438494264988549e-15,0.015796557174066788,-0.13382714979483626,0.01509876843038327,-0.2858340443086381,-0.19291972880708447,0.030114828195451807,0.029133824943456912
RAC1P,0.12174985327715496,0.025760492068516605,0.015796557174066788,-1.1213252548714081e-14,-0.004203707604801969,0.0009635020982789316,0.07108554869163677,0.0821360288811844,0.005584823519935991,-0.026057193920369103
HOUSING_TYPE,-0.061345730472299326,-0.014905977446222306,-0.13382714979483626,-0.004203707604801969,3.5416114485542494e-14,0.39795122027160373,0.0036470231029165938,0.061939959761955904,0.014544559904512247,0.10140864940861209
OWN_RENT,0.14618160322074072,-0.041372484389035714,0.01509876843038327,0.0009635020982789316,0.39795122027160373,-1.2212453270876722e-14,0.04781482000286065,0.03447336737023024,0.021506183391957902,-0.03644683542214514
EDU,-0.5454064676477902,-0.028206529625772137,-0.2858340443086381,0.07108554869163677,0.0036470231029165938,0.04781482000286065,4.107825191113079e-15,-0.6586878436702192,-0.09917207021460706,0.01708401516634035
PINCP_DECILE,-0.5673522140105157,0.11733951032674696,-0.19291972880708447,0.0821360288811844,0.061939959761955904,0.03447336737023024,-0.6586878436702192,0.0,-0.0935851379894505,-0.017955569499837534
DVET,-0.06339448007058722,0.10085947452145025,0.030114828195451807,0.005584823519935991,0.014544559904512247,0.021506183391957902,-0.09917207021460706,-0.0935851379894505,-1.3766765505351941e-14,0.022207245005761874
DEYE,0.13121754448514558,0.03351556123302416,0.029133824943456912,-0.026057193920369103,0.10140864940861209,-0.03644683542214514,0.01708401516634035,-0.017955569499837534,0.022207245005761874,-1.1324274851176597e-14
