,Target samples,Deid. samples
0,3,0
1,0,0
2,0,0
3,32,1
4,0,0
5,0,0
6,0,0
7,14,1
8,0,0
9,0,0
10,0,0
11,33,4
12,0,0
13,0,0
14,0,0
15,74,13
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,74,20
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,816,314
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,39,23
38,5,3
39,0,0
40,0,0
41,17,12
42,0,0
43,2357,1775
44,5577,4349
45,2494,2063
46,0,0
47,0,0
48,0,0
49,2404,2283
50,11,11
51,9381,9908
52,0,0
53,0,0
54,2170,2593
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,1487,2385
63,0,0
64,8,14
65,0,0
66,0,0
67,1,2
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,104,314
76,129,405
77,0,0
78,0,0
79,5,19
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,7,41
86,3,19
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,6,265
99,2,416
