,INDP,count_target,count_deidentified
0,-1,10929,10878.0
1,7860,866,813.0
2,8680,826,833.0
3,7870,809,822.0
4,770,774,763.0
5,8191,597,573.0
6,7380,545,545.0
7,7390,374,364.0
8,7270,323,291.0
9,8590,261,241.0
10,9590,250,212.0
11,9470,247,281.0
12,8660,229,193.0
13,7290,204,204.0
14,7460,204,183.0
15,7071,204,221.0
16,8370,201,195.0
17,8170,198,172.0
18,180,193,222.0
19,4971,189,158.0
20,9370,188,199.0
21,9170,182,174.0
22,170,182,152.0
23,6870,181,173.0
24,8270,176,181.0
25,8470,176,182.0
26,9480,170,162.0
27,8090,169,157.0
28,7690,161,181.0
29,7970,154,157.0
30,5391,154,163.0
31,9920,152,167.0
32,6970,150,112.0
33,7280,144,169.0
34,6991,139,135.0
35,7580,137,120.0
36,6170,131,103.0
37,7890,130,132.0
38,5170,124,126.0
39,9160,118,110.0
40,9570,116,105.0
41,3390,100,119.0
42,490,99,115.0
43,8770,97,80.0
44,8180,94,76.0
45,6890,93,93.0
46,8290,92,105.0
47,7680,92,83.0
48,6180,92,82.0
49,7470,90,90.0
50,6190,90,81.0
51,9290,89,110.0
52,7490,87,78.0
53,6370,84,95.0
54,8980,84,57.0
55,7770,77,83.0
56,4670,75,88.0
57,8570,74,75.0
58,6380,73,73.0
59,7072,71,82.0
60,6290,69,66.0
61,7980,69,73.0
62,3570,69,68.0
63,5070,66,48.0
64,6570,65,75.0
65,6992,62,53.0
66,9490,61,53.0
67,9190,60,48.0
68,4870,59,55.0
69,5275,57,17.0
70,6672,55,49.0
71,6680,55,51.0
72,570,55,69.0
73,7590,54,48.0
74,9380,54,48.0
75,5593,52,42.0
76,9090,52,92.0
77,6670,51,50.0
78,8564,51,21.0
79,8080,50,29.0
80,5090,50,35.0
81,4795,49,69.0
82,3580,48,56.0
83,3365,44,50.0
84,5381,44,36.0
85,9680,43,70.0
86,7780,42,43.0
87,4770,42,30.0
88,5790,41,28.0
89,6070,39,43.0
90,6770,38,50.0
91,5080,38,29.0
92,7790,37,39.0
93,7370,37,22.0
94,6480,37,37.0
95,6390,37,47.0
96,4690,36,50.0
97,6490,36,40.0
98,6470,35,33.0
99,3291,34,46.0
100,7670,34,54.0
101,3960,33,33.0
102,2190,33,23.0
103,4470,32,22.0
104,8380,32,29.0
105,5580,32,50.0
106,4972,31,19.0
107,8990,30,20.0
108,3990,30,19.0
109,370,30,28.0
110,8670,29,34.0
111,3490,29,41.0
112,1990,29,17.0
113,6080,29,49.0
114,8690,28,6.0
115,4890,28,34.0
116,4270,28,50.0
117,8561,28,25.0
118,9390,27,30.0
119,3380,26,24.0
120,3980,26,23.0
121,4880,26,33.0
122,4170,26,21.0
123,2370,25,34.0
124,1180,24,27.0
125,6690,24,25.0
126,380,24,16.0
127,9670,23,29.0
128,9070,22,32.0
129,1280,22,20.0
130,8563,22,21.0
131,4980,22,16.0
132,5490,21,28.0
133,670,21,17.0
134,7190,21,17.0
135,6880,20,5.0
136,1270,20,7.0
137,3895,20,25.0
138,4380,19,13.0
139,7570,18,12.0
140,7480,18,27.0
141,8870,18,15.0
142,8780,18,35.0
143,5370,17,11.0
144,3370,17,23.0
145,2290,17,9.0
146,9690,17,16.0
147,8562,16,15.0
148,1370,16,8.0
149,4480,16,11.0
150,5190,16,9.0
151,2670,16,7.0
152,5570,15,15.0
153,5180,15,21.0
154,7080,14,5.0
155,2880,14,4.0
156,8390,14,18.0
157,4090,14,24.0
158,9180,14,22.0
159,1190,14,21.0
160,7990,14,5.0
161,1691,14,18.0
162,5480,14,21.0
163,5470,14,12.0
164,8891,14,2.0
165,5690,13,10.0
166,6695,13,9.0
167,4195,13,6.0
168,9080,13,2.0
169,8192,13,12.0
170,7880,13,22.0
171,4580,12,8.0
172,2870,12,14.0
173,3070,11,30.0
174,2280,11,2.0
175,1070,10,24.0
176,1080,10,20.0
177,4070,10,6.0
178,3080,10,21.0
179,4490,10,12.0
180,2380,10,6.0
181,3970,10,2.0
182,4590,10,26.0
183,4990,9,0.0
184,1090,9,23.0
185,3875,9,9.0
186,2070,9,15.0
187,5680,8,13.0
188,1870,8,1.0
189,8580,8,13.0
190,4280,8,1.0
191,6270,8,16.0
192,8970,8,7.0
193,2980,8,25.0
194,1170,8,14.0
195,9780,7,3.0
196,3590,7,0.0
197,590,7,13.0
198,4560,7,2.0
