PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP,target
25-00703,52,1,6,0,1,2,3,1,1,2195.3,8790,14,9,85500.0,7,501,N,2,2,2,2,111,109,4591
25-02800,32,2,1,0,1,2,5,1,1,3683.9,770,3,7,255000.0,4,33,N,2,2,2,2,130,132,5517
25-00703,83,2,1,0,1,0,2,1,1,2195.3,9920,9,4,26500.0,3,500,N,2,2,2,2,46,49,4327
25-01300,45,2,1,0,6,0,4,1,1,1457.2,6490,7,4,24100.0,3,481,N,2,2,2,2,45,41,4335
25-00703,71,2,1,0,1,0,2,1,1,2195.3,7880,10,1,150500.0,8,500,N,2,2,2,2,64,65,3183
25-01300,20,1,2,0,1,0,3,1,1,1457.2,8660,13,5,75400.0,1,51,N,2,2,2,2,77,81,5474
25-00703,68,2,1,0,1,0,3,1,1,2195.3,N,16,11,115400.0,8,51,N,2,1,2,2,125,117,4020
25-00703,8,2,N,4,1,2,3,1,2,2195.3,9920,9,2,99300.0,9,57,N,2,2,2,2,402,516,6762
25-00703,4,2,N,0,1,4,6,1,2,2195.3,N,N,1,N,N,31,N,N,N,2,2,431,454,7407
25-02800,41,2,6,0,1,1,2,1,1,3683.9,6992,9,7,9200.0,8,51,N,2,2,2,2,109,107,3457
25-00703,60,2,1,0,1,0,2,1,1,2195.3,7470,10,7,20600.0,3,501,N,2,2,2,2,70,67,6136
25-00703,61,2,1,0,1,0,2,1,1,2195.3,9920,9,8,-800.0,0,500,N,2,2,2,2,68,67,4019
25-02800,26,2,6,0,1,0,N,1,1,3683.9,7190,1,1,51900.0,5,399,N,2,2,2,2,69,69,4288
25-01300,7,1,N,0,1,2,4,1,1,1457.2,9920,9,2,97030.0,9,499,N,2,2,2,2,67,55,6857
25-00703,71,2,6,0,1,0,2,1,2,2195.3,9920,9,1,35000.0,4,500,N,1,1,2,1,51,51,488
25-01000,46,1,1,0,1,0,2,1,1,2447.1,7780,10,4,49800.0,5,499,N,2,2,2,2,106,109,451
25-00703,19,2,6,0,1,N,N,3,0,2195.3,9080,14,6,59250.0,0,99,N,2,2,2,2,89,0,142
25-02800,64,2,1,0,1,0,2,1,1,3683.9,7190,1,4,18400.0,0,218,N,2,2,2,2,67,67,6304
25-00703,34,2,6,0,1,0,N,1,2,2195.3,8070,11,8,22700.0,3,173,N,2,2,2,2,78,80,5607
25-01300,1,1,N,0,1,2,5,1,1,1457.2,N,N,N,N,N,326,N,N,N,2,2,70,75,6712
25-00503,8,2,N,0,1,1,3,1,1,2872.7,9920,9,2,98800.0,9,500,N,2,2,2,2,81,79,7367
25-00703,68,1,4,0,1,0,N,1,2,2195.3,9380,15,9,195200.0,9,501,N,2,2,2,2,53,54,6268
25-00703,67,2,5,0,1,0,2,1,1,2195.3,7860,11,10,88800.0,8,501,N,2,2,2,2,66,65,3687
25-01300,47,2,6,0,2,0,N,1,1,1457.2,6992,9,9,165000.0,9,501,N,2,2,2,2,109,108,6178
