,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP
0,38-00100,4,2,4.0,0,1,0.0,5.0,1,2,6393.494832289976,7615.424765267402,10.02228473695172,3.0,26194.95917306499,5.0,117.99083383513596,4.0,2.0,2.0,2,2,262,131
1,29-01901,41,2,4.0,0,9,1.0,3.0,1,1,5862.65266763213,7576.679852749446,2.0479710969144143,1.0,4504.451758013944,0.0,497.69597189048176,2.0,2.0,2.0,2,2,53,43
2,29-01901,2,2,4.0,0,6,7.0,3.0,1,1,16.3,7571.651684708441,13.234123963598504,7.0,21139.803141081975,1.0,390.2190303922128,4.0,2.0,2.0,2,2,181,199
3,17-03529,21,1,1.0,0,2,0.0,2.0,1,2,2256.137885476745,685.0737754699645,9.955280242182408,7.0,3919.2179016782748,0.0,48.720436652092516,4.0,2.0,2.0,2,2,49,22
4,36-03710,36,1,6.0,4,1,1.0,5.0,2,2,3612.625784547651,979.1085134879204,9.977014257588918,10.0,22798.215288480504,0.0,56.31124363340898,4.0,2.0,2.0,2,2,270,89
5,36-04010,45,2,6.0,0,1,0.0,3.0,1,2,5346.553100496745,9920.0,11.265798789510715,12.0,509221.4133442237,9.0,154.2008750061552,4.0,2.0,2.0,2,2,135,187
6,24-01004,60,2,6.0,0,2,0.0,2.0,1,1,9453.839689122029,7586.415528016088,10.010489333593386,8.0,6352.052626075756,2.0,50.77563799086212,4.0,2.0,1.0,2,2,51,3
7,29-01901,47,2,4.0,0,2,0.0,5.0,1,2,5019.043370719521,7551.219502376777,9.968567602663525,4.0,24797.143743613087,2.0,129.05720386993224,4.0,2.0,2.0,2,2,82,253
8,28-01100,1,2,1.0,0,2,5.0,4.0,1,0,16.3,7544.614258685821,9.911909667769985,1.0,13373.08526614587,3.0,199.68662416104544,4.0,2.0,2.0,2,2,44,0
9,06-08507,89,2,1.0,0,2,0.0,5.0,1,1,4764.530107773016,7599.361984681107,10.023861120354189,3.0,29961.883350121723,5.0,150.74651115886655,4.0,2.0,2.0,2,2,83,223
10,06-08507,21,2,4.0,0,2,0.0,2.0,3,0,52864.7,7569.928579841257,5.905994605874605,3.0,3841.64491622551,0.0,27.664013918858938,4.0,2.0,2.0,2,2,118,126
11,40-00200,72,1,1.0,0,6,0.0,2.0,1,1,8933.016922945395,9016.87211072272,10.01133857995619,8.0,44880.63977481604,8.0,0.0,4.0,2.0,2.0,2,2,117,228
12,13-04600,65,1,1.0,0,1,2.0,4.0,1,2,1977.2092647394643,7536.827480773377,9.94394809154013,1.0,19823.267639549777,4.0,499.57580379332103,4.0,2.0,2.0,2,2,349,105
13,51-01301,51,2,1.0,0,1,2.0,5.0,1,1,16312.7420475112,9217.11479543859,13.011750692030583,2.0,186059.54266004864,8.0,284.87384420806865,4.0,2.0,2.0,2,2,99,153
14,06-08507,1,2,6.0,0,1,1.0,2.0,1,1,6264.644340745408,7464.302652770129,9.996085058300666,9.0,5863.21990865851,0.0,345.2217041465492,4.0,2.0,2.0,2,2,81,138
15,24-01004,3,2,1.0,0,1,1.0,3.0,1,1,16.3,7623.878311101449,9.967084597195175,9.0,31809.04769347596,4.0,500.07183035107704,4.0,2.0,2.0,2,2,71,125
16,29-01901,24,2,4.0,0,2,3.0,2.0,1,1,4686.105408155747,7725.107987524429,9.942619652040868,5.0,27663.41925558616,5.0,501.0,4.0,2.0,2.0,2,2,22,15
17,36-04010,74,1,6.0,0,1,0.0,2.0,1,2,3425.152487117354,5978.556596981218,2.8952404301732027,9.0,199641.33265954105,8.0,435.70441933094946,4.0,2.0,2.0,2,2,20,51
18,26-02702,76,2,1.0,0,1,0.0,3.0,1,1,5441.55251235471,7583.499315406169,11.009963517428696,7.0,3523.581685914587,6.0,0.0,4.0,2.0,2.0,2,2,18,0
19,17-03531,51,2,1.0,0,1,0.0,2.0,1,1,11347.588709504933,8154.1576116033,14.110317434413597,11.0,101073.89078909108,9.0,501.0,4.0,2.0,2.0,2,2,27,73
20,36-03710,42,2,6.0,0,2,0.0,3.0,1,2,15657.87928574927,8229.572631464098,14.082525519395118,3.0,8264.336743040782,5.0,158.22890166651473,4.0,2.0,2.0,2,2,134,143
21,24-01004,53,2,4.0,0,1,0.0,2.0,1,2,5492.39818924399,7554.94277645651,9.950505813086671,6.0,20340.08373249531,4.0,338.1972143463888,4.0,2.0,2.0,2,1,1,0
22,36-04010,13,2,3.0,0,2,0.0,2.0,1,1,16.3,170.0,5.073086218593335,3.0,3581.066896896765,0.0,172.24031523472092,4.0,2.0,2.0,2,1,99,73
23,28-01100,66,1,6.0,0,1,0.0,3.0,1,2,6744.231619738672,7589.658877632854,16.515672577613813,10.0,4169.857052197578,8.0,48.939966586701885,4.0,2.0,2.0,2,2,36,49
