,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,OWN_RENT,PINCP_DECILE
PUMA,2.3314683517128287e-15,0.008453306608641842,0.00018671416315252896,-0.005486184993155785,-0.010582784648087235,0.001219165756622398,-0.009013776967024684,-0.019047816604318507,-0.0073761376584389506,0.00874348675725995
AGEP,0.008453306608641842,-1.1102230246251565e-16,0.0002102587573276915,0.009863582700419413,0.0024679989524102885,0.0018053401568266375,0.0010048038763727507,0.005727022970524798,-0.001306603646363036,-0.006427045368137152
SEX,0.00018671416315252896,0.0002102587573276915,0.0,-0.005682763577702088,-0.0007963565022289579,0.005955319605770601,-0.0013475582930029002,-0.006073456987308712,0.0014974421771876759,0.0011325340029641334
MSP,-0.005486184993155785,0.009863582700419413,-0.005682763577702088,0.0,0.001560506348284297,-0.002105170632131506,0.0009621626387013582,0.006778151177164959,0.0014508689582106646,0.012118895684356534
HISP,-0.010582784648087235,0.0024679989524102885,-0.0007963565022289579,0.001560506348284297,3.6637359812630166e-15,0.015727603479855107,-0.001044519411920658,-0.006501906303035862,-0.0066003535314054645,0.008983495292553878
RAC1P,0.001219165756622398,0.0018053401568266375,0.005955319605770601,-0.002105170632131506,0.015727603479855107,0.0,0.00012678495823405245,0.005033991070121882,0.005096726860361431,0.009975649877230555
NOC,-0.009013776967024684,0.0010048038763727507,-0.0013475582930029002,0.0009621626387013582,-0.001044519411920658,0.00012678495823405245,0.0,-0.005210001640725048,0.002604411217138558,0.007292849338115026
NPF,-0.019047816604318507,0.005727022970524798,-0.006073456987308712,0.006778151177164959,-0.006501906303035862,0.005033991070121882,-0.005210001640725048,-3.9968028886505635e-15,0.01715383681354539,0.020170006636530763
OWN_RENT,-0.0073761376584389506,-0.001306603646363036,0.0014974421771876759,0.0014508689582106646,-0.0066003535314054645,0.005096726860361431,0.002604411217138558,0.01715383681354539,3.774758283725532e-15,0.011376061520738428
PINCP_DECILE,0.00874348675725995,-0.006427045368137152,0.0011325340029641334,0.012118895684356534,0.008983495292553878,0.009975649877230555,0.007292849338115026,0.020170006636530763,0.011376061520738428,-1.4432899320127035e-15
