,AGEP_x,DEAR_x,DENSITY_x,DEYE_x,DPHY_x,DREM_x,DVET_x,EDU,HISP_x,HOUSING_TYPE_x,INDP_x,INDP_CAT,MSP_x,NOC_x,NPF_x,OWN_RENT_x,PINCP_x,PINCP_DECILE_x,POVPIP_x,PUMA_x,PWGTP_x,RAC1P,SEX,WGTP_x,AGEP_y,DEAR_y,DENSITY_y,DEYE_y,DPHY_y,DREM_y,DVET_y,HISP_y,HOUSING_TYPE_y,INDP_y,MSP_y,NOC_y,NPF_y,OWN_RENT_y,PINCP_y,PINCP_DECILE_y,POVPIP_y,PUMA_y,PWGTP_y,WGTP_y,percent_match
0,10,2,10,2,2,2,4,8,0,1,170,14,4,0,4,2,-9000.0,7,118,28-01100,391,6,2,0,51,2,11,2,2,2,N,0,1,8660,1,0,2,1,42200.0,6,501,17-03529,126,126,36.84210526315789
1,80,2,12,2,2,2,4,6,0,1,170,10,1,0,7,2,-9000.0,9,22,30-00600,1636,5,2,0,28,2,0,2,2,2,N,0,1,7270,6,1,3,1,0.0,0,385,38-00100,79,27,31.57894736842105
2,0,2,11,2,2,2,4,6,0,1,7491,14,4,0,4,2,342376.271210428,4,0,30-00600,215,4,2,1533,26,2,0,2,2,2,N,0,1,8660,1,1,3,1,31100.0,4,501,38-00100,36,41,36.84210526315789
3,80,2,11,2,2,2,4,6,0,1,2102,9,4,0,4,1,-9000.0,9,501,51-51255,1,8,2,0,57,2,8,2,2,2,N,2,1,7071,1,0,2,1,533000.0,9,501,24-01004,67,79,47.368421052631575
4,22,2,12,2,2,2,4,6,0,1,170,11,1,0,2,2,342376.271210428,4,92,30-00600,1,2,1,376,25,2,8,2,2,1,N,0,1,7860,6,1,5,1,12000.0,3,126,29-01901,270,154,26.31578947368421
5,21,2,10,2,2,2,4,6,0,1,170,2,4,0,2,2,342376.271210428,4,0,30-00600,1,1,2,213,65,2,0,2,1,2,N,0,1,670,3,0,N,1,8940.0,2,73,30-00600,12,13,31.57894736842105
6,93,2,11,2,2,2,4,6,0,1,4617,5,4,0,4,2,51085.02433532944,7,501,28-01100,702,1,2,376,60,2,7,2,1,2,N,0,1,4590,1,0,2,1,0.0,0,49,01-01301,205,209,31.57894736842105
7,0,2,10,2,2,2,4,1,0,1,2102,16,4,0,2,1,-9000.0,1,501,51-51255,1,2,2,0,70,2,10,2,2,2,N,0,1,9380,3,0,2,1,57000.0,7,443,17-03531,70,70,52.63157894736842
8,80,2,12,2,2,2,4,12,0,1,9920,10,4,0,2,2,342376.271210428,9,0,30-00600,391,9,1,213,49,2,12,2,2,2,N,4,1,7380,6,0,N,2,144600.0,9,501,06-07502,117,117,47.368421052631575
9,0,2,11,2,2,2,4,8,0,1,170,9,6,0,3,1,-9000.0,0,92,08-00803,1,9,2,0,39,2,7,2,2,2,N,0,1,6991,1,3,5,1,40000.0,6,266,01-01301,56,70,36.84210526315789
10,0,2,10,2,2,2,4,12,0,1,4617,3,6,0,3,2,-9000.0,1,501,28-01100,1,1,1,0,79,2,8,2,1,2,N,0,1,770,1,0,2,1,564000.0,9,501,24-01004,72,72,36.84210526315789
11,93,2,13,2,2,2,4,11,0,1,626,9,4,0,7,1,-9000.0,0,391,08-00803,215,9,2,0,59,2,7,2,2,2,N,0,1,6870,6,0,N,1,93000.0,8,501,13-04600,57,56,42.10526315789473
12,43,2,10,2,2,2,4,11,0,1,4617,2,4,0,3,2,1098834.8309876064,9,501,38-00100,1636,2,2,0,58,2,11,2,2,2,N,0,1,590,1,0,2,1,219000.0,9,501,17-03529,112,111,47.368421052631575
13,43,2,10,2,2,2,4,12,0,1,4617,14,1,0,3,1,342376.271210428,9,489,30-00600,1,6,1,0,29,2,8,2,2,2,N,0,1,8570,6,0,N,2,44900.0,5,343,24-01004,48,48,36.84210526315789
14,0,2,10,2,2,2,4,3,0,1,7491,9,4,0,3,2,-9000.0,0,501,01-01301,1,1,2,0,35,2,0,2,2,2,N,4,1,7072,1,1,7,1,493300.0,9,501,38-00100,44,56,31.57894736842105
15,80,2,10,2,2,2,4,1,0,1,9920,15,4,0,2,2,-9000.0,7,259,30-00600,1,1,1,376,40,2,0,2,2,2,N,0,1,8770,6,1,2,1,85000.0,8,501,38-00100,163,137,36.84210526315789
16,93,2,10,2,2,2,4,6,0,1,7491,14,4,0,2,2,1785.3096261373976,2,501,30-00600,215,6,1,376,21,2,7,2,2,2,N,0,1,8680,6,0,2,1,0.0,0,501,06-08507,108,133,47.368421052631575
17,80,2,10,2,2,2,4,11,0,1,9920,1,4,0,2,1,-9000.0,0,118,51-51255,215,1,1,0,55,2,8,2,2,2,N,0,1,490,1,0,3,1,552000.0,9,501,24-01004,73,71,42.10526315789473
18,0,2,11,2,2,2,4,6,0,1,2102,10,6,0,2,2,51085.02433532944,2,489,28-01100,702,6,1,0,64,2,9,2,1,2,N,0,1,7380,4,0,N,2,30000.0,5,227,32-00405,33,33,36.84210526315789
19,80,2,13,2,2,2,4,6,0,1,4617,3,1,0,2,1,-9000.0,9,501,01-01301,1636,2,2,213,42,2,11,2,2,2,N,0,1,770,6,0,N,2,15000.0,3,113,17-03529,153,152,36.84210526315789
