,AGEP_x,DEAR_x,DENSITY_x,DEYE_x,DPHY_x,DREM_x,DVET_x,EDU,HISP,HOUSING_TYPE_x,INDP_CAT,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_x,PINCP_DECILE_x,POVPIP_x,PUMA,RAC1P,SEX,AGEP_y,DEAR_y,DENSITY_y,DEYE_y,DPHY_y,DREM_y,DVET_y,HOUSING_TYPE_y,NOC_y,NPF_y,PINCP_y,PINCP_DECILE_y,POVPIP_y,percent_match
0,74,2,5,2,2,2,N,7,0,1,N,1,2,4,2,0.0,0,179,25-01300,6,2,41,2,5,2,2,2,N,1,2,4,0.0,0,273,84.61538461538461
1,69,2,5,2,2,2,N,7,0,1,8,6,0,N,1,0.0,0,501,25-01300,1,2,26,2,5,2,2,2,N,1,0,2,40000.0,5,501,69.23076923076923
2,15,2,7,2,2,2,N,5,0,1,4,1,0,2,1,57300.0,3,501,25-00503,1,2,58,2,7,2,2,2,N,1,0,2,0.0,0,501,76.92307692307693
3,64,2,6,2,2,2,N,10,0,1,14,1,2,4,1,16400.0,8,501,25-00703,1,1,76,1,6,2,2,2,N,1,0,2,171600.0,9,501,53.84615384615385
4,39,2,6,2,2,2,N,5,0,1,4,4,1,N,1,68600.0,3,501,25-00703,1,2,61,2,6,2,2,2,N,1,0,N,35000.0,5,267,61.53846153846154
5,40,2,6,2,2,2,N,7,0,2,N,3,0,N,0,0.0,0,216,25-00703,1,1,94,1,6,1,1,2,2,2,N,N,21300.0,3,N,30.76923076923077
6,65,2,6,2,2,2,N,7,0,1,0,6,2,4,1,140000.0,5,191,25-00703,1,2,30,2,6,2,2,2,N,1,0,3,35000.0,5,501,61.53846153846154
7,46,2,6,2,1,2,N,4,0,1,N,6,1,3,1,56400.0,1,501,25-00703,6,1,16,2,6,2,2,2,N,1,1,3,-1600.0,0,501,69.23076923076923
8,28,2,6,2,2,2,N,7,0,1,13,4,0,N,2,124900.0,6,285,25-00703,1,2,35,2,6,2,2,2,N,1,3,4,4000.0,1,15,53.84615384615385
9,56,2,6,1,2,1,N,3,0,1,N,6,0,N,1,346500.0,5,501,25-00703,1,1,15,2,6,2,2,2,N,1,2,3,0.0,0,379,38.46153846153847
10,17,2,6,2,2,2,N,7,0,1,11,1,0,4,1,61400.0,6,418,25-00703,1,1,63,2,6,2,2,2,N,1,0,2,52000.0,6,424,69.23076923076923
11,16,2,7,2,2,2,N,5,0,1,N,6,0,N,1,0.0,0,501,25-00503,6,2,19,2,7,2,2,2,N,1,1,6,0.0,0,501,76.92307692307693
12,65,2,7,2,2,2,1,5,0,2,16,1,0,2,1,41100.0,9,501,25-00503,1,1,54,2,7,2,2,2,N,1,2,5,64000.0,7,425,38.46153846153847
13,61,2,6,2,2,2,N,10,0,1,6,6,0,3,1,7800.0,3,45,25-01000,1,1,37,2,6,2,2,2,N,1,0,N,0.0,0,0,61.53846153846154
14,35,2,7,2,2,2,N,5,0,1,4,1,0,2,1,332500.0,5,487,25-02800,1,2,58,2,7,2,2,2,N,1,0,3,70000.0,7,501,61.53846153846154
15,78,2,6,2,2,2,N,9,0,1,7,1,3,6,1,11900.0,9,501,25-01000,1,2,54,2,6,2,2,2,N,1,0,2,70500.0,7,501,61.53846153846154
16,94,2,5,2,2,1,N,4,0,1,N,2,N,N,1,0.0,0,501,25-01300,6,2,17,2,5,2,2,2,N,1,1,3,0.0,0,493,61.53846153846154
17,52,2,7,2,2,2,N,10,0,1,10,6,N,N,1,342900.0,5,501,25-00503,1,1,46,2,7,2,2,2,N,1,0,N,276200.0,9,501,69.23076923076923
18,2,2,6,2,2,2,N,5,0,1,11,6,0,N,2,15600.0,3,11,25-00703,1,1,27,2,6,2,2,2,N,1,0,N,35000.0,5,264,69.23076923076923
19,33,2,6,2,2,2,N,11,0,1,12,4,0,N,1,38580.0,9,501,25-00703,1,2,50,2,6,2,2,2,N,1,0,2,423000.0,9,501,76.92307692307693
20,8,2,7,2,2,2,N,7,0,1,10,1,0,3,2,84400.0,5,18,25-00503,1,1,33,2,7,2,2,2,N,1,0,2,71000.0,7,501,61.53846153846154
21,12,2,7,2,1,2,N,10,0,1,9,1,0,2,2,123400.0,4,396,25-02800,1,1,33,2,7,2,2,2,N,1,1,3,55000.0,6,501,46.15384615384615
22,17,2,7,2,2,2,N,10,0,1,12,1,0,2,2,51300.0,9,501,25-02800,1,2,48,2,7,2,2,2,N,1,0,6,70000.0,7,435,61.53846153846154
23,51,2,6,2,2,2,N,9,0,3,N,2,0,N,0,5200.0,2,N,25-00703,1,2,67,1,6,1,1,1,N,2,N,N,8400.0,2,N,38.46153846153847
24,30,2,7,2,2,2,N,9,0,1,4,4,2,3,2,8250.0,3,501,25-00503,1,2,59,2,7,2,2,2,N,1,0,N,88000.0,8,501,61.53846153846154
25,11,2,6,2,2,1,N,10,0,1,3,1,1,6,1,155250.0,3,422,25-01000,1,1,36,2,6,2,2,2,N,1,0,2,122000.0,8,501,46.15384615384615
26,65,2,6,2,2,2,N,9,0,1,6,4,0,N,1,42600.0,3,386,25-02800,1,2,47,2,7,2,2,2,N,1,0,N,95000.0,8,501,61.53846153846154
27,48,2,6,2,2,2,N,10,0,1,14,6,N,N,1,76800.0,7,501,25-01000,1,2,56,2,6,2,2,2,N,1,0,N,35000.0,5,263,61.53846153846154
28,17,2,7,2,2,2,N,9,0,1,12,3,N,N,1,22500.0,7,501,25-00503,1,2,65,2,7,2,2,2,N,1,0,N,28500.0,4,236,61.53846153846154
29,9,2,7,2,2,2,N,5,0,1,N,6,0,2,2,0.0,0,254,25-02800,1,1,46,2,7,2,2,1,N,1,0,N,0.0,0,0,69.23076923076923
30,66,2,6,2,2,2,N,5,0,1,N,2,0,2,1,207200.0,2,501,25-01000,1,2,65,2,6,2,1,2,N,1,0,3,22000.0,3,409,53.84615384615385
31,17,2,7,2,2,2,N,12,0,1,11,1,0,2,2,439200.0,8,501,25-00503,1,2,34,2,7,2,2,2,N,1,0,2,25000.0,4,501,76.92307692307693
32,49,2,7,1,2,2,N,5,0,1,14,1,2,4,1,469000.0,6,501,25-00503,6,1,32,2,7,2,2,2,N,1,2,5,20000.0,3,501,61.53846153846154
33,52,2,6,2,2,2,N,10,0,1,10,1,0,2,1,38920.0,6,47,25-00703,6,2,47,2,6,2,2,2,N,1,2,4,300000.0,9,501,53.84615384615385
34,10,2,7,2,2,2,N,8,0,1,N,1,0,3,2,142500.0,6,501,25-02800,1,2,66,2,7,2,2,2,N,1,0,2,10000.0,2,501,69.23076923076923
35,51,2,6,2,2,1,N,5,0,1,3,4,0,2,1,12100.0,6,501,25-00703,1,1,42,2,6,2,2,2,N,1,0,3,38000.0,5,501,61.53846153846154
36,53,2,6,2,2,2,N,10,0,1,N,6,1,3,1,0.0,0,299,25-01000,1,2,75,2,6,2,2,2,N,1,0,N,81700.0,7,501,53.84615384615385
37,78,2,7,2,2,2,N,9,0,1,12,1,1,3,2,27400.0,9,501,25-02800,1,2,38,2,7,2,2,2,N,1,0,2,15000.0,3,501,61.53846153846154
38,23,1,7,2,2,2,N,8,0,1,N,6,2,4,2,291000.0,2,241,25-02800,1,2,69,2,7,2,2,2,N,1,0,N,8560.0,2,70,53.84615384615385
39,63,2,6,2,2,2,N,8,0,1,12,6,0,N,1,28600.0,4,493,25-00703,1,1,33,2,6,2,2,2,N,1,0,4,30000.0,4,501,69.23076923076923
40,40,2,5,2,2,2,N,7,0,2,15,6,0,3,0,0.0,0,216,25-01300,1,2,18,2,5,2,2,2,N,3,N,N,7000.0,2,N,46.15384615384615
41,16,2,7,2,2,2,N,8,0,1,14,1,0,3,1,44200.0,4,501,25-02800,1,1,37,2,7,2,2,2,N,1,1,3,80000.0,7,423,61.53846153846154
