,AGEP_x,DEAR_x,DENSITY_x,DEYE_x,DPHY_x,DREM_x,DVET_x,EDU,HISP,HOUSING_TYPE_x,INDP_CAT,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_x,PINCP_DECILE_x,POVPIP_x,PUMA,RAC1P,SEX,AGEP_y,DEAR_y,DENSITY_y,DEYE_y,DPHY_y,DREM_y,DVET_y,HOUSING_TYPE_y,NOC_y,NPF_y,PINCP_y,PINCP_DECILE_y,POVPIP_y,percent_match
0,29,2,6,2,2,2,N,7,0,1,12,6,0,2,1,100136.242704,8,501,25-01000,1,1,40,2,6,2,2,2,N,1,0,3,80800.0,7,501,69.23076923076923
1,39,2,5,2,2,2,N,5,0,1,10,1,2,4,1,11416.8813312,3,20,25-01300,1,2,49,2,5,2,2,2,N,1,4,9,98000.0,8,501,53.84615384615385
2,33,2,5,2,2,2,N,5,0,1,9,6,0,N,1,82451.52784960001,8,501,25-01300,1,1,25,2,5,2,2,2,N,1,0,2,70000.0,7,501,69.23076923076923
3,63,2,5,2,2,2,N,7,0,1,6,4,0,N,1,70000.2362368,5,305,25-01300,1,2,50,2,5,2,2,2,N,1,0,N,420.0,1,3,69.23076923076923
4,24,2,7,2,2,2,N,7,0,1,14,6,0,N,2,12053.2236448,3,501,25-00503,1,2,19,2,7,2,2,2,N,1,0,2,21800.0,3,165,69.23076923076923
5,68,1,5,2,2,2,N,10,0,1,8,1,0,2,1,0.066814400000112,0,501,25-01300,1,1,37,2,5,2,2,2,N,1,1,3,90000.0,8,501,53.84615384615385
6,23,2,7,2,2,2,N,5,0,1,15,6,0,2,2,33210.4086608,3,143,25-00503,1,1,25,2,7,2,2,2,N,1,0,3,12000.0,2,120,61.53846153846154
7,42,2,7,2,2,2,N,9,0,1,4,1,0,2,1,171099.257552,9,501,25-00503,6,2,46,2,7,2,2,2,N,1,2,4,5000.0,1,501,61.53846153846154
8,29,2,7,2,2,2,N,7,0,1,10,6,0,N,2,12008.7253256,4,203,25-02800,1,1,48,2,7,1,2,1,N,1,0,N,18000.0,3,136,53.84615384615385
9,94,2,6,2,1,1,N,10,0,1,N,6,0,N,2,10873.1526288,3,501,25-00703,1,2,73,1,6,2,1,1,N,1,0,2,36200.0,5,501,61.53846153846154
10,27,2,7,2,2,2,N,4,0,1,14,6,0,N,2,51592.175264000005,1,111,25-02800,1,2,29,2,7,2,2,1,N,1,3,4,4800.0,1,18,53.84615384615385
11,4,2,5,2,N,N,N,1,0,1,N,N,3,5,1,N,N,441,25-01300,2,1,3,2,5,2,N,N,N,1,4,7,N,N,501,69.23076923076923
12,43,2,6,2,2,2,N,8,0,1,6,1,1,3,2,40095.98784,6,341,25-00703,1,2,33,2,6,2,2,2,N,1,1,3,60000.0,6,382,76.92307692307693
13,74,1,6,2,2,2,N,5,0,1,3,1,0,2,1,28296.556000000004,2,232,25-00703,1,2,58,2,6,2,2,2,N,1,0,2,31400.0,4,501,61.53846153846154
14,28,2,7,2,2,2,N,5,0,1,4,6,0,3,2,70035.9874832,6,501,25-00503,1,1,24,2,7,2,2,1,N,1,0,3,29000.0,4,443,61.53846153846154
15,8,2,7,2,2,2,N,3,4,1,N,N,0,2,1,N,N,185,25-00503,1,1,14,2,7,2,2,2,N,1,2,4,N,N,501,69.23076923076923
16,50,2,7,2,2,2,N,9,0,1,N,4,0,N,1,0.0116447999998854,6,380,25-02800,1,2,70,2,7,2,2,2,N,1,0,N,35800.0,5,292,69.23076923076923
17,43,2,7,2,2,2,N,10,0,1,8,1,4,6,1,220218.394064,6,501,25-02800,6,2,40,2,7,2,2,2,N,1,1,3,105490.0,8,501,61.53846153846154
18,42,2,6,2,2,2,N,10,0,1,4,1,2,4,1,219745.29456,9,501,25-01000,6,1,42,2,6,2,2,2,N,1,3,5,250000.0,9,501,76.92307692307693
19,50,2,6,2,2,2,N,4,0,1,11,2,0,N,1,11998.8183456,1,222,25-00703,1,2,16,2,6,1,2,2,N,1,1,4,80.0,0,501,46.15384615384615
20,41,2,7,2,2,2,N,9,0,1,14,4,0,2,1,54681.6917024,9,284,25-02800,1,1,55,2,7,2,2,2,N,1,1,2,-4600.0,0,0,61.53846153846154
21,26,2,7,2,2,2,N,7,0,1,13,6,0,N,2,78520.860704,5,345,25-00503,1,1,60,2,7,2,2,2,N,1,0,N,41500.0,5,314,76.92307692307693
22,75,2,7,2,2,2,N,12,0,1,11,1,1,2,1,47849.2220096,6,501,25-02800,6,2,55,2,7,2,2,2,N,1,0,2,10000.0,2,501,69.23076923076923
23,74,2,6,2,2,1,N,8,0,1,7,1,0,6,1,11181.4914864,2,424,25-01000,1,2,54,2,6,2,2,2,N,1,0,5,58000.0,6,501,53.84615384615385
24,49,2,6,2,2,2,N,10,0,1,6,1,2,4,1,385079.328032,9,501,25-01000,1,1,49,2,6,2,2,2,N,1,3,5,627000.0,9,501,76.92307692307693
25,47,2,6,2,2,2,N,7,0,1,12,6,0,N,2,80768.443296,6,418,25-00703,1,1,27,2,6,2,2,2,N,1,0,N,32000.0,4,244,69.23076923076923
26,68,2,6,2,2,2,N,9,4,1,11,1,0,2,1,20012.423424,2,408,25-00703,1,1,53,2,6,2,2,2,N,1,1,4,34240.0,4,269,53.84615384615385
27,71,2,7,2,2,2,N,8,0,1,14,1,0,2,1,145438.181136,8,501,25-02800,1,1,37,2,7,2,2,2,N,1,1,3,80000.0,7,423,53.84615384615385
28,26,2,6,2,2,2,N,5,0,1,13,3,0,3,2,29943.718416000003,3,149,25-01000,1,2,69,2,6,2,2,2,N,1,0,N,34000.0,4,279,61.53846153846154
29,52,2,7,2,2,2,N,1,0,1,3,6,0,N,1,29986.3954656,6,387,25-02800,1,1,24,2,7,2,2,2,N,1,0,6,50000.0,6,501,69.23076923076923
30,43,2,6,2,2,2,N,9,0,1,6,1,3,4,2,126242.4355264,9,501,25-00703,1,2,76,2,6,2,2,2,N,1,0,2,74700.0,7,501,61.53846153846154
31,31,2,6,2,2,2,N,8,0,1,N,1,0,4,1,3428.1752352000003,3,164,25-00703,6,2,68,2,6,2,2,2,N,1,2,7,2400.0,1,501,53.84615384615385
