SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,HISP,PUMA,INDP_CAT,target
2,N,1,1,4,7,0,25-00703,N,6643
2,3,1,1,0,7,0,25-01000,13,6908
1,4,1,2,0,1,0,25-01000,14,4009
2,4,1,1,6,4,0,25-00703,5,6157
2,1,6,1,2,10,0,25-01000,13,4801
1,6,9,1,6,4,0,25-00703,13,5224
1,4,1,1,0,1,0,25-01300,2,5130
1,5,6,1,7,1,0,25-00503,13,6158
1,1,1,1,0,6,1,25-00703,1,1019
2,4,1,1,0,6,2,25-01300,N,1175
1,1,1,1,0,1,1,25-01000,13,7633
1,4,1,1,8,1,0,25-00703,1,7148
1,3,1,1,9,9,0,25-00703,1,2899
2,3,1,1,1,4,0,25-00703,4,4099
2,1,1,1,5,5,0,25-01000,9,5430
2,1,1,2,0,1,0,25-01000,4,4789
1,6,1,1,2,6,0,25-02800,1,1455
1,6,1,0,1,5,0,25-01000,3,7633
1,4,3,1,0,7,0,25-02800,13,7633
2,6,1,1,0,5,0,25-00703,11,7633
2,1,1,1,3,9,0,25-00703,13,5355
2,4,1,1,0,2,0,25-01300,10,6718
2,3,1,2,4,1,0,25-02800,11,7633
2,4,1,1,0,7,0,25-01000,N,6908
2,1,1,1,7,10,0,25-00503,10,631
1,6,6,0,0,8,0,25-02800,12,5173
1,3,1,1,0,6,0,25-02800,11,2440
1,6,2,2,0,4,0,25-01300,14,6908
2,6,1,1,0,4,0,25-01000,N,7633
1,4,1,1,0,7,0,25-01300,14,2338
1,1,8,1,8,7,0,25-00503,10,6908
2,4,1,2,7,1,0,25-00503,13,7106
2,2,1,1,4,5,0,25-00703,0,6908
1,1,1,1,7,8,0,25-00703,0,6908
2,1,1,1,6,6,0,25-01000,12,6626
1,6,6,1,0,6,0,25-00503,N,5719
2,1,1,1,0,5,0,25-01300,7,2169
2,5,1,1,1,8,0,25-00703,4,7077
2,4,1,1,7,4,0,25-00703,6,1662
2,6,1,1,0,4,0,25-00503,0,2338
2,1,1,1,7,1,0,25-02800,0,7633
2,1,1,1,7,9,0,25-02800,5,3556
2,1,1,1,0,4,0,25-00703,N,2338
2,4,1,1,7,1,0,25-00503,12,5224
2,1,1,1,5,7,0,25-01300,12,5587
1,6,8,2,1,5,0,25-00703,13,5809
