SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP
1,1,9,1,2,0,25-02800,72,0,2,501
1,6,1,1,1,0,25-00503,16,1,4,501
1,4,1,2,9,0,25-01000,52,0,N,501
2,6,6,2,5,0,25-02800,29,0,N,311
2,3,1,2,4,0,25-00703,82,0,N,277
2,6,1,1,1,0,25-00703,18,2,5,501
2,1,1,1,6,0,25-00703,48,0,2,501
1,2,1,1,1,0,25-01300,17,0,3,501
2,1,1,1,6,0,25-02800,58,0,2,501
1,6,8,0,3,0,25-01000,29,N,N,141
2,1,1,1,5,2,25-00703,42,2,4,501
1,1,1,1,6,0,25-02800,51,0,2,501
2,N,9,1,N,0,25-00503,7,2,5,501
1,2,1,1,0,0,25-02800,54,0,7,365
2,1,1,1,5,0,25-02800,37,2,5,397
2,3,1,0,2,0,25-00703,94,N,N,N
1,6,1,1,1,0,25-01300,20,0,N,32
2,6,1,1,1,0,25-01000,18,0,7,422
2,6,1,2,5,0,25-00703,73,0,2,501
2,1,1,1,0,0,25-00503,46,2,4,501
2,3,6,0,0,0,25-01300,84,N,N,N
1,6,9,1,2,0,25-01300,23,0,3,501
2,1,1,1,0,0,25-01300,46,4,6,501
2,N,1,2,N,0,25-00703,3,2,4,408
2,1,1,1,7,0,25-01300,27,0,2,501
1,1,1,1,4,0,25-01000,68,0,2,248
1,6,1,0,3,0,25-00503,20,N,N,N
1,1,1,1,8,0,25-02800,52,0,3,501
1,1,1,1,1,0,25-02800,66,0,2,25
1,1,1,1,4,0,25-02800,65,0,2,223
2,1,6,1,6,0,25-02800,57,0,4,501
1,1,1,1,7,0,25-00503,74,0,2,501
2,6,1,1,6,0,25-00703,24,0,3,501
2,N,1,1,N,0,25-01300,7,4,6,501
2,4,1,2,5,0,25-01000,49,2,3,212
2,3,1,2,3,0,25-02800,85,0,N,127
1,6,1,1,6,0,25-00703,69,0,N,417
1,1,1,1,9,0,25-02800,65,0,3,501
2,3,1,2,3,0,25-02800,74,0,N,158
2,1,1,1,0,0,25-02800,66,0,2,501
1,N,1,1,N,0,25-01300,14,3,5,441
1,1,1,1,9,0,25-00503,50,0,4,501
2,1,6,1,9,0,25-01000,39,2,4,501
1,1,1,1,9,0,25-00703,49,2,4,501
2,1,1,1,5,0,25-00703,28,1,3,501
1,1,1,1,4,0,25-01300,78,0,2,240
2,3,1,2,2,0,25-00703,88,0,N,63
2,4,1,1,6,0,25-00503,47,1,2,332
1,1,1,1,8,2,25-00503,35,0,2,501
2,6,1,2,6,0,25-00503,27,0,2,501
1,N,6,2,N,0,25-01300,1,1,3,501
2,1,6,1,7,0,25-01300,52,0,2,501
2,6,1,1,5,0,25-01000,56,0,N,263
2,1,6,1,5,0,25-02800,50,0,2,501
1,1,1,1,9,0,25-00703,67,0,2,501
2,3,1,2,7,0,25-00503,90,0,N,501
1,6,1,0,0,0,25-00503,19,N,N,N
1,N,9,1,N,0,25-00503,14,3,5,501
1,1,1,1,3,0,25-00703,35,0,6,271
2,1,1,1,6,0,25-01300,28,0,2,501
1,1,1,1,5,0,25-00703,71,0,2,360
2,1,1,1,9,0,25-02800,45,2,4,501
1,N,1,1,N,0,25-00703,1,1,3,244
1,N,1,1,N,0,25-00703,2,1,3,501
1,N,1,1,N,0,25-00703,0,0,N,N
1,6,1,1,0,0,25-01300,16,4,9,501
1,1,1,1,6,0,25-00703,66,0,2,501
2,6,1,0,1,0,25-00503,21,N,N,N
1,1,1,1,5,0,25-00703,69,0,3,501
2,N,1,1,N,2,25-02800,14,2,4,501
1,6,1,0,4,0,25-01300,68,N,N,203
2,1,1,1,5,0,25-01000,70,0,2,501
2,6,1,1,0,0,25-01000,16,0,6,501
2,6,1,1,0,0,25-01000,16,3,4,501
1,2,1,1,8,0,25-00703,52,0,5,501
1,6,1,1,3,0,25-00703,19,0,4,501
1,1,1,1,9,0,25-01300,66,0,2,501
2,1,1,1,6,0,25-02800,52,0,3,471
2,1,1,2,1,0,25-01000,28,1,3,485
1,N,1,1,N,0,25-02800,4,1,3,501
2,1,1,1,6,0,25-00703,49,3,5,501
1,1,1,2,8,0,25-00503,45,1,3,501
2,1,1,1,6,3,25-01300,48,0,3,501
2,6,2,0,2,0,25-00703,63,N,N,55
2,1,1,1,3,0,25-00703,21,0,5,174
2,1,1,1,5,0,25-01000,48,3,5,501
1,N,1,1,N,0,25-00703,8,2,4,501
2,N,2,1,N,0,25-01300,14,3,6,330
2,1,1,1,8,0,25-00703,32,0,2,501
2,1,6,1,7,0,25-00503,42,2,5,501
2,1,1,1,7,0,25-00503,55,1,4,501
2,N,1,1,N,0,25-01000,14,2,4,326
1,6,1,0,0,0,25-00503,18,N,N,N
2,N,1,1,N,0,25-01300,14,2,5,501
1,4,1,2,5,2,25-00503,55,0,N,305
2,1,1,1,3,0,25-00503,78,0,2,501
1,6,1,0,2,0,25-00703,19,N,N,N
1,1,1,1,8,0,25-02800,37,0,2,501
2,1,1,1,5,0,25-01000,72,0,2,501
2,6,1,1,1,0,25-00703,54,0,N,41
1,1,1,1,9,0,25-00503,30,0,2,501
1,1,1,1,5,0,25-01300,79,0,2,289
1,1,1,1,4,0,25-00703,53,2,4,131
1,6,1,2,1,0,25-00703,26,0,N,16
2,1,1,2,4,0,25-01000,85,0,2,299
2,N,1,1,N,0,25-02800,11,2,4,501
1,1,1,1,9,0,25-00503,55,1,3,501
1,N,1,1,N,2,25-00703,14,2,4,501
2,1,1,1,2,0,25-02800,31,1,4,501
1,6,1,0,3,0,25-01000,64,N,N,176
1,4,1,2,3,0,25-02800,50,0,4,218
1,1,1,1,3,0,25-02800,84,0,2,455
1,N,9,1,N,0,25-00703,0,0,5,501
1,6,1,1,9,0,25-00503,39,0,N,501
1,1,6,1,6,0,25-01300,48,0,4,476
