PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP,target
25-01300,57,2,1,0,1,0,3,1,1,1457.2,4195,5,5,45000.0,5,501,N,2,2,2,2,56,56,2700
25-00503,55,2,1,0,6,0,2,1,1,2872.7,9490,16,10,60000.0,6,501,N,2,2,2,2,51,68,1273
25-00703,14,1,N,0,1,2,4,1,1,2195.3,N,N,3,N,N,345,N,2,2,2,2,56,56,7080
25-00703,11,2,N,0,1,2,4,1,1,2195.3,N,N,3,N,N,501,N,2,2,2,2,75,69,7264
25-02800,53,1,1,0,1,0,2,1,1,3683.9,7860,11,10,97000.0,8,501,N,2,2,2,2,66,66,5825
25-02800,26,1,6,0,1,0,N,1,2,3683.9,770,3,10,103000.0,8,501,N,2,2,2,2,66,73,4679
25-01300,50,1,1,0,1,0,2,1,1,1457.2,4795,6,9,67000.0,7,501,N,2,2,2,2,77,78,2938
25-00703,21,2,1,0,1,0,5,1,1,2195.3,4795,6,7,15000.0,3,174,N,2,2,2,2,143,101,2830
25-01000,75,1,1,0,1,0,3,1,1,2447.1,N,N,6,77400.0,7,501,N,2,2,2,2,45,46,5922
25-01000,12,2,N,0,1,0,6,1,1,2447.1,N,N,3,N,N,271,N,2,2,2,2,66,45,7443
25-01000,75,1,1,0,1,0,2,1,1,2447.1,7190,9,7,35600.0,5,314,N,2,2,2,2,88,87,935
25-00703,11,1,N,0,1,2,4,1,1,2195.3,N,N,3,N,N,501,N,2,2,2,2,121,125,7430
25-00703,56,1,1,0,1,0,2,1,2,2195.3,4670,6,5,25900.0,4,251,N,2,2,2,2,215,218,808
25-00703,19,2,6,0,1,N,N,3,0,2195.3,7072,9,7,4000.0,1,N,N,2,2,2,2,138,0,281
25-02800,23,1,6,0,1,0,3,1,1,3683.9,7380,10,9,0.0,0,501,N,2,2,2,2,88,99,2010
25-00703,62,1,2,0,1,0,N,1,1,2195.3,570,2,9,82500.0,7,501,N,2,2,2,2,141,141,5004
25-02800,50,2,1,0,6,0,2,1,1,3683.9,7380,10,8,45000.0,5,501,N,2,2,2,2,64,120,2335
25-01300,19,2,6,0,1,0,4,1,1,1457.2,4971,6,5,8500.0,2,501,N,2,2,2,2,97,62,5740
25-00703,31,2,1,0,1,1,3,1,1,2195.3,7870,11,10,0.0,0,501,N,2,2,2,2,116,117,3424
25-00703,55,1,6,0,1,N,N,3,0,2195.3,N,N,4,10100.0,2,76,N,1,1,2,2,14,0,198
25-02800,60,1,1,0,1,0,5,1,1,3683.9,580,2,5,177000.0,9,501,N,2,2,2,2,61,61,4498
25-01000,94,2,4,0,1,0,N,1,2,2447.1,N,N,12,24000.0,4,197,N,2,2,1,1,78,66,2198
25-00703,21,1,1,0,1,0,5,1,1,2195.3,6290,7,4,16000.0,3,174,N,2,2,2,2,148,101,2832
25-00503,76,2,1,0,6,0,2,1,1,2872.7,8564,14,3,33000.0,4,501,N,2,2,2,2,84,92,6372
25-00703,4,2,N,0,1,4,6,1,2,2195.3,N,N,1,N,N,302,N,N,N,2,2,418,441,7356
25-00503,56,2,1,0,1,0,6,1,1,2872.7,N,N,6,0.0,0,365,N,2,2,2,2,89,114,4799
25-01000,57,2,2,0,1,N,N,2,0,2447.1,N,N,6,17200.0,3,N,N,2,1,2,2,69,0,8
25-00503,20,2,6,2,1,N,N,3,0,2872.7,N,N,7,0.0,0,N,N,2,2,2,2,67,0,37
25-00703,57,1,1,0,1,2,4,1,1,2195.3,7870,11,9,73000.0,7,476,N,2,2,2,2,95,94,4693
25-00703,30,2,6,0,1,0,N,1,1,2195.3,7890,11,7,5500.0,1,41,N,2,2,2,2,73,73,1116
25-01300,51,1,1,0,6,2,4,1,2,1457.2,8191,12,11,242000.0,9,501,N,2,2,2,2,21,30,3440
25-02800,87,1,1,0,1,0,2,1,1,3683.9,N,N,7,25280.0,4,237,2,2,2,2,2,102,101,590
25-00503,7,1,N,0,1,2,4,1,1,2872.7,N,N,2,N,N,501,N,2,2,2,2,183,172,6886
25-01300,19,1,6,0,1,0,4,1,1,1457.2,8470,13,5,1600.0,1,501,N,2,2,2,2,93,86,6288
25-02800,58,1,1,0,1,0,2,1,1,3683.9,6970,9,9,19320.0,3,238,N,2,2,2,2,71,75,1285
25-01300,40,1,1,0,1,0,2,1,1,1457.2,770,3,9,15180.0,3,249,N,2,2,2,2,368,368,5790
25-01000,22,1,6,2,8,0,N,1,2,2447.1,8680,14,5,3600.0,1,27,N,1,2,2,2,195,113,1025
25-01000,29,2,6,0,1,0,2,1,1,2447.1,7470,10,9,90000.0,8,501,N,2,2,2,2,130,103,790
25-01000,24,1,6,0,1,0,4,1,1,2447.1,6970,9,9,65000.0,7,501,N,2,2,2,2,97,90,1799
25-02800,48,2,1,0,1,0,3,1,2,3683.9,2190,4,10,175000.0,9,501,N,2,2,2,2,106,120,1681
25-01300,62,1,1,0,1,0,3,1,1,1457.2,6170,7,8,120000.0,8,501,N,2,2,2,2,90,84,2131
25-02800,62,2,2,0,1,2,6,1,1,3683.9,N,N,5,0.0,0,501,N,2,2,2,2,71,87,3111
25-00503,1,1,N,0,1,2,4,1,1,2872.7,N,N,N,N,N,481,N,N,N,2,2,94,69,6744
25-01300,17,1,6,0,1,1,2,1,1,1457.2,4971,6,4,5000.0,1,398,N,2,2,2,2,139,115,5007
25-01000,72,1,1,0,1,0,2,1,1,2447.1,N,N,8,46400.0,5,491,N,2,2,2,2,50,57,4232
25-01000,18,2,6,0,6,0,3,1,1,2447.1,4670,6,4,2000.0,1,501,N,2,2,2,2,481,367,4226
25-01000,16,1,6,0,1,3,5,1,1,2447.1,N,N,4,0.0,0,501,N,2,2,2,2,98,100,1057
25-01000,89,1,4,0,1,0,N,1,2,2447.1,N,N,5,3500.0,1,28,N,2,1,2,2,80,66,2204
25-00503,71,1,1,0,1,0,2,1,1,2872.7,7460,10,12,300500.0,9,501,N,2,2,2,2,44,46,1924
25-02800,34,2,1,0,1,0,2,1,1,3683.9,7380,10,10,95000.0,8,501,N,2,2,2,2,88,99,2514
25-00703,55,2,6,0,1,0,N,1,2,2195.3,6992,9,9,87820.0,8,501,N,2,2,2,2,75,74,3889
25-02800,65,1,1,0,1,0,6,1,1,3683.9,770,3,5,24000.0,4,501,N,2,2,2,2,122,114,1627
25-00503,34,2,1,0,1,0,2,1,2,2872.7,4380,5,7,52000.0,6,501,N,2,2,2,2,69,73,907
25-00703,49,1,6,0,1,0,N,1,1,2195.3,7460,10,10,360000.0,9,501,N,2,2,2,2,50,50,3972
25-00503,61,1,1,0,1,0,2,1,1,2872.7,5570,6,10,79000.0,7,501,N,2,2,2,2,52,52,2582
25-00703,2,2,N,0,9,1,3,1,1,2195.3,N,N,N,N,N,501,N,N,N,2,2,145,307,7429
25-00503,55,2,1,0,1,0,2,1,1,2872.7,7970,12,9,54000.0,6,501,N,2,2,2,2,52,54,4210
25-00503,94,2,3,0,1,0,N,1,1,2872.7,9170,15,10,23600.0,4,195,N,2,2,2,2,102,103,1007
25-00703,10,1,N,0,1,4,6,1,1,2195.3,N,N,3,N,N,501,N,2,2,2,2,79,75,7334
25-01000,16,1,6,1,1,2,4,1,1,2447.1,N,N,4,0.0,0,416,N,2,2,2,2,93,127,4842
25-00503,41,2,6,0,1,0,2,1,2,2872.7,6870,9,7,80000.0,7,471,N,2,2,2,2,114,76,6344
25-01300,35,2,1,0,1,2,4,1,1,1457.2,7860,11,9,63000.0,6,501,N,2,2,2,2,166,166,3151
25-00703,0,2,N,0,2,5,6,1,2,2195.3,N,N,N,N,N,66,N,N,N,2,2,394,485,6790
25-02800,56,1,1,0,1,0,4,1,1,3683.9,8680,14,10,171000.0,9,501,N,2,2,2,2,93,94,3813
25-02800,6,2,N,0,1,2,4,1,1,3683.9,N,N,2,N,N,501,N,2,2,2,2,88,77,7222
25-01000,1,2,N,0,1,2,4,1,1,2447.1,N,N,N,N,N,501,N,N,N,2,2,113,126,7571
