SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP,DEYE
1.0,1,1.0,1.0,4,0.0,25-00703,72.0,0,2,501,2.0
1.0,1,1.0,1.0,4,0.0,25-00703,72.0,0,2,501,2.0
1.0,1,1.0,1.0,4,0.0,25-00703,72.0,0,2,501,2.0
1.0,1,1.0,1.0,4,0.0,25-00703,72.0,0,2,501,2.0
1.0,1,1.0,1.0,4,0.0,25-00703,72.0,0,2,501,2.0
1.0,1,1.0,1.0,4,0.0,25-00703,72.0,0,2,501,2.0
1.0,1,1.0,1.0,4,0.0,25-00703,72.0,0,2,501,2.0
1.0,1,1.0,1.0,4,0.0,25-00703,72.0,0,2,501,2.0
1.0,1,1.0,1.0,4,0.0,25-00703,72.0,0,2,501,2.0
1.0,1,1.0,1.0,4,0.0,25-00703,72.0,0,2,501,2.0
1.0,1,1.0,1.0,4,0.0,25-00703,72.0,0,2,501,2.0
1.0,1,1.0,1.0,4,0.0,25-00703,72.0,0,2,501,2.0
1.0,1,1.0,1.0,4,0.0,25-00703,72.0,0,2,501,2.0
1.0,1,1.0,1.0,4,0.0,25-00703,72.0,0,2,501,2.0
1.0,1,1.0,1.0,4,0.0,25-00703,72.0,0,2,501,2.0
1.0,1,1.0,1.0,4,0.0,25-00703,72.0,0,2,501,2.0
1.0,1,1.0,1.0,4,0.0,25-00703,72.0,0,2,501,2.0
1.0,1,1.0,1.0,4,0.0,25-00703,72.0,0,2,501,2.0
1.0,1,1.0,1.0,4,0.0,25-00703,72.0,0,2,501,2.0
1.0,1,1.0,1.0,4,0.0,25-00703,72.0,0,2,501,2.0
1.0,1,1.0,1.0,4,0.0,25-00703,72.0,0,2,501,2.0
1.0,1,1.0,1.0,4,0.0,25-00703,72.0,0,2,501,2.0
1.0,1,1.0,1.0,4,0.0,25-00703,72.0,0,2,501,2.0
1.0,1,1.0,1.0,7,0.0,25-00503,58.0,0,2,501,2.0
1.0,1,1.0,1.0,7,0.0,25-00503,58.0,0,2,501,2.0
1.0,1,1.0,1.0,7,0.0,25-00503,58.0,0,2,501,2.0
1.0,1,1.0,1.0,7,0.0,25-00503,58.0,0,2,501,2.0
1.0,1,1.0,1.0,7,0.0,25-00503,58.0,0,2,501,2.0
1.0,1,1.0,1.0,7,0.0,25-00503,58.0,0,2,501,2.0
1.0,1,1.0,1.0,7,0.0,25-00503,58.0,0,2,501,2.0
1.0,1,1.0,1.0,7,0.0,25-00503,58.0,0,2,501,2.0
1.0,1,1.0,1.0,7,0.0,25-00503,58.0,0,2,501,2.0
1.0,1,1.0,1.0,7,0.0,25-00503,58.0,0,2,501,2.0
1.0,1,1.0,1.0,7,0.0,25-00503,58.0,0,2,501,2.0
1.0,1,1.0,1.0,7,0.0,25-00703,62.0,0,2,501,2.0
1.0,1,1.0,1.0,7,0.0,25-00703,62.0,0,2,501,2.0
1.0,1,1.0,1.0,7,0.0,25-00703,62.0,0,2,501,2.0
1.0,1,1.0,1.0,7,0.0,25-00703,62.0,0,2,501,2.0
1.0,1,1.0,1.0,7,0.0,25-00703,62.0,0,2,501,2.0
1.0,1,1.0,1.0,7,0.0,25-00703,62.0,0,2,501,2.0
1.0,1,1.0,1.0,7,0.0,25-00703,62.0,0,2,501,2.0
1.0,1,1.0,1.0,7,0.0,25-00703,62.0,0,2,501,2.0
1.0,1,1.0,1.0,7,0.0,25-00703,62.0,0,2,501,2.0
1.0,1,1.0,1.0,7,0.0,25-00703,62.0,0,2,501,2.0
1.0,1,1.0,1.0,7,0.0,25-00703,62.0,0,2,501,2.0
1.0,1,1.0,1.0,7,0.0,25-00703,62.0,0,2,501,2.0
1.0,1,1.0,1.0,7,0.0,25-00703,62.0,0,2,501,2.0
1.0,1,1.0,1.0,7,0.0,25-00703,62.0,0,2,501,2.0
1.0,1,1.0,1.0,7,0.0,25-00703,62.0,0,2,501,2.0
1.0,1,1.0,1.0,7,0.0,25-00703,62.0,0,2,501,2.0
1.0,1,1.0,1.0,7,0.0,25-00703,62.0,0,2,501,2.0
