,INDP,count_target,count_deidentified
19,1070,2,0.0
29,1090,2,0.0
3,1170,3,0.0
22,1180,3,0.0
28,1190,2,0.0
20,1280,1,0.0
30,1370,3,0.0
9,1880,2,0.0
4,1990,7,0.0
25,2070,2,0.0
23,2170,1,0.0
2,2190,3,0.0
27,2290,3,0.0
0,2370,5,0.0
10,2670,4,0.0
13,2870,2,0.0
1,2980,5,0.0
5,3080,2,0.0
26,3170,2,0.0
24,3180,4,0.0
7,3291,9,0.0
31,3365,1,0.0
34,3380,2,0.0
17,3390,1,0.0
16,3490,2,0.0
8,3570,6,0.0
12,3580,38,0.0
15,3590,1,0.0
33,3670,1,0.0
21,3875,1,0.0
11,3895,4,0.0
18,3960,2,0.0
14,3970,1,0.0
32,3980,1,0.0
6,3990,2,0.0
