SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP,DEYE
2,1,1,2,2,0,48-02102,6,4,4,331,2
1,4,1,1,3,0,48-02515,73,0,4,395,2
2,1,1,2,8,1,48-02101,88,0,3,165,2
2,4,1,1,1,0,48-02510,51,0,6,211,2
1,6,1,1,3,1,48-02507,17,0,2,378,2
1,2,1,1,0,0,48-02101,32,0,4,253,2
1,3,1,1,5,0,48-02102,36,0,5,448,2
2,6,1,1,4,0,48-02101,36,0,4,331,2
2,1,3,1,3,0,48-02101,33,0,4,222,2
2,6,1,1,7,1,48-02507,39,0,3,172,2
1,3,1,1,5,0,48-02507,64,1,6,234,2
1,1,1,2,3,0,48-02102,26,2,4,450,2
2,1,1,1,0,0,48-02101,60,0,N,253,2
2,6,1,1,5,0,48-02101,55,2,2,490,2
2,1,1,1,5,0,48-02507,71,0,2,158,1
2,1,1,1,3,0,48-02101,49,1,5,501,2
1,4,1,1,5,1,48-02510,44,0,2,147,2
2,6,2,1,4,0,48-02102,30,1,2,307,2
1,1,1,1,2,0,48-02101,52,0,2,290,2
1,N,1,2,6,0,48-02102,37,0,2,429,2
2,6,3,1,2,0,48-02510,55,1,8,190,2
2,2,1,1,N,4,48-02515,47,0,3,169,2
1,1,1,1,8,0,48-02102,26,1,2,210,2
2,6,1,2,1,0,48-02102,7,3,5,501,2
1,1,1,1,8,0,48-02507,21,0,N,415,2
1,1,1,1,4,0,48-02516,24,0,6,409,2
1,4,1,1,1,4,48-02510,81,1,4,5,2
2,1,1,1,6,0,48-02102,50,3,5,420,2
2,4,1,1,7,0,48-02101,17,0,2,131,2
2,4,1,1,2,0,48-02515,24,0,8,279,2
2,N,8,1,5,1,48-02101,27,0,3,193,2
1,4,1,1,4,0,48-02101,86,2,8,384,2
2,4,1,1,5,0,48-02507,20,0,2,140,2
1,6,1,1,0,1,48-02515,83,0,7,131,2
2,4,1,1,6,0,48-02102,58,1,3,63,2
1,6,1,1,N,0,48-02515,15,0,3,233,2
2,4,1,1,3,0,48-02516,14,2,N,109,2
2,1,1,1,0,0,48-02101,67,0,4,323,2
1,3,1,2,5,0,48-02515,54,5,4,304,2
1,5,1,1,6,0,48-02101,64,0,3,176,1
2,1,1,2,4,0,48-02516,19,2,3,183,2
1,1,1,1,7,0,48-02101,76,1,3,226,2
2,4,1,1,5,0,48-02507,16,3,4,473,2
1,6,1,1,5,0,48-02510,68,0,2,475,2
2,1,1,1,2,4,48-02102,60,0,4,359,1
1,1,1,1,3,0,48-02515,32,0,7,21,2
2,6,1,1,4,0,48-02510,47,0,5,445,2
1,4,1,2,9,0,48-02507,63,0,3,179,2
1,6,2,1,7,0,48-02516,23,0,3,45,2
1,6,1,1,0,0,48-02101,81,0,N,19,2
2,4,2,2,6,0,48-02515,49,0,2,209,2
2,4,1,1,0,0,48-02516,48,0,6,246,2
2,1,1,1,5,0,48-02507,19,0,3,57,1
2,1,8,1,6,0,48-02102,20,0,4,501,2
1,1,1,1,2,0,48-02507,24,0,6,476,2
2,5,1,1,9,1,48-02101,23,2,6,264,2
2,1,1,2,6,0,48-02515,46,0,2,295,2
1,1,1,0,4,0,48-02516,41,0,N,19,2
2,1,1,1,4,0,48-02101,86,1,2,138,2
2,1,1,2,5,0,48-02515,83,2,6,355,2
1,1,1,1,3,0,48-02102,63,0,5,184,2
2,4,1,1,2,1,48-02101,28,0,N,417,2
2,4,8,1,0,0,48-02101,51,N,5,490,2
2,1,1,1,8,0,48-02516,63,0,3,330,2
2,4,1,2,2,0,48-02510,59,0,N,75,2
1,1,1,1,6,0,48-02507,52,1,2,105,2
1,1,1,1,0,0,48-02507,29,1,4,197,2
1,1,6,1,2,3,48-02102,53,0,5,501,2
2,4,1,2,8,0,48-02516,37,0,N,409,2
2,1,1,1,9,1,48-02102,77,0,3,397,2
1,4,1,1,1,0,48-02515,42,0,4,75,2
2,6,1,1,1,0,48-02507,23,0,2,496,2
1,1,2,1,7,0,48-02101,37,0,4,298,2
2,3,1,1,3,0,48-02507,63,7,2,60,2
2,6,1,2,5,0,48-02507,40,0,2,225,2
2,6,1,1,6,0,48-02510,14,0,5,406,2
1,1,2,2,5,0,48-02515,46,0,8,197,2
1,1,1,1,3,0,48-02515,66,1,2,501,2
1,6,1,1,5,0,48-02102,50,0,N,501,2
2,N,1,1,N,0,48-02507,83,0,2,128,2
2,5,1,1,6,0,48-02102,60,0,2,297,2
2,1,6,2,6,0,48-02102,75,0,3,363,2
1,1,1,2,0,0,48-02102,56,1,4,171,2
1,1,1,2,5,0,48-02507,62,0,4,N,2
2,2,1,1,0,4,48-02102,18,7,8,242,2
2,1,1,2,8,0,48-02510,63,1,2,237,2
1,1,1,2,0,0,48-02516,24,0,4,182,2
1,1,1,2,0,1,48-02507,61,0,6,59,2
2,2,1,1,5,0,48-02507,53,0,5,19,2
2,1,1,2,2,0,48-02102,50,2,4,355,1
2,1,1,1,4,0,48-02102,61,1,3,325,2
1,1,1,1,3,0,48-02515,56,0,6,459,2
2,4,1,1,4,0,48-02515,47,0,11,429,2
1,1,1,1,6,0,48-02101,76,0,2,441,2
1,6,1,2,2,0,48-02101,27,0,3,349,2
1,1,2,1,6,0,48-02101,20,0,7,389,2
2,4,1,1,6,1,48-02102,67,0,2,501,2
1,4,3,1,2,3,48-02101,69,2,2,442,2
2,6,1,1,2,0,48-02101,59,0,N,258,2
1,1,1,2,0,0,48-02101,69,0,8,125,2
1,6,1,2,6,0,48-02101,22,0,2,360,2
1,1,1,2,5,4,48-02101,70,1,3,355,1
1,1,9,1,5,1,48-02516,45,0,6,321,2
1,6,1,2,8,0,48-02510,24,2,2,428,2
1,1,1,2,5,0,48-02101,15,1,6,237,2
1,1,1,1,7,1,48-02510,78,0,4,313,2
1,1,1,1,6,0,48-02102,85,0,2,381,2
2,6,1,1,0,0,48-02510,39,0,N,345,2
2,1,9,1,1,0,48-02102,50,3,6,449,2
1,6,9,1,6,1,48-02510,79,0,3,157,2
2,6,1,1,3,0,48-02507,22,0,7,406,2
1,4,1,1,0,1,48-02101,84,1,2,64,2
2,1,1,1,3,0,48-02510,16,0,2,129,2
2,2,1,1,7,0,48-02101,62,0,3,459,2
2,4,1,1,3,0,48-02515,39,1,2,271,2
2,6,1,2,7,0,48-02102,21,0,2,197,2
2,6,1,1,6,1,48-02101,27,11,3,245,2
2,1,2,1,8,0,48-02102,40,0,6,85,2
2,1,1,1,0,0,48-02510,17,1,6,156,2
2,4,1,1,3,0,48-02102,74,0,N,501,2
2,1,1,1,0,1,48-02510,41,0,3,159,2
2,6,1,1,2,0,48-02516,18,0,4,156,2
2,1,1,1,6,0,48-02516,44,0,3,473,2
2,3,1,1,N,0,48-02101,30,0,3,208,2
2,6,1,2,1,0,48-02101,18,2,2,389,2
2,2,1,1,9,1,48-02507,10,0,2,412,2
2,1,1,1,5,0,48-02507,21,0,2,501,2
1,1,1,1,5,0,48-02516,48,1,3,381,2
2,6,1,1,7,0,48-02507,55,3,2,116,2
1,1,1,1,5,0,48-02101,20,0,2,468,2
2,1,1,1,3,0,48-02510,18,0,2,271,1
1,6,1,1,7,0,48-02507,16,0,6,346,2
1,1,1,2,1,0,48-02507,45,0,2,307,2
1,1,1,2,2,0,48-02515,4,0,5,228,2
1,1,1,1,4,0,48-02515,64,0,5,413,2
1,4,1,2,8,0,48-02507,76,2,2,373,2
1,1,1,2,6,0,48-02102,49,0,3,61,2
2,6,1,1,4,0,48-02516,62,0,3,384,2
