,AGEP,RAC1P,MSP,SEX,HOUSING_TYPE,OWN_RENT,DVET,DEYE,PINCP_DECILE,EDU
0,49,2,N,2,1,2,5,1,3,12
1,15,9,5,2,1,1,3,1,0,12
2,23,7,5,2,1,0,2,1,9,2
3,54,5,1,2,1,2,5,2,5,6
4,14,3,3,1,1,2,3,2,9,5
5,67,1,3,2,1,1,3,2,5,10
6,50,5,2,1,1,2,2,2,8,3
7,85,2,5,2,1,2,6,1,8,6
8,18,4,2,2,3,1,3,1,2,6
9,48,1,5,1,3,2,6,2,6,12
10,50,5,6,1,2,2,3,1,2,10
11,5,8,1,1,1,1,2,1,9,11
12,88,2,5,1,1,2,3,2,2,9
13,6,5,N,2,3,0,5,2,6,6
14,13,1,6,2,1,1,6,2,1,6
15,44,1,5,2,1,1,6,2,9,9
16,79,2,N,1,3,1,4,2,6,9
17,12,5,N,1,2,2,4,2,3,6
18,38,2,6,2,1,0,1,1,2,11
19,63,2,6,2,2,1,3,1,6,5
20,7,4,5,2,2,2,5,1,N,8
21,62,3,6,2,1,2,5,2,7,5
22,8,2,5,1,1,2,4,1,0,4
23,64,9,1,2,3,1,N,2,1,6
24,22,3,4,2,2,2,N,1,2,7
25,77,3,5,1,3,0,1,2,7,8
26,58,5,5,2,3,2,2,2,2,4
27,56,5,6,2,1,1,3,1,9,2
28,17,8,1,2,3,2,N,1,0,9
29,36,2,2,1,1,0,1,1,1,12
30,50,9,6,1,2,1,3,2,5,7
31,2,9,5,1,3,1,2,2,6,3
32,0,5,1,1,3,1,3,1,0,5
33,35,3,2,1,2,0,N,1,9,7
34,24,1,4,1,3,1,N,1,0,5
35,3,1,4,2,1,1,5,1,2,9
36,66,2,2,2,3,1,4,2,6,6
37,34,1,2,1,3,2,1,1,8,8
38,45,6,2,2,1,2,6,1,2,9
39,12,4,2,1,2,1,4,1,9,10
40,53,5,1,1,2,1,5,2,0,5
41,57,7,2,1,1,2,2,1,1,10
42,64,4,N,1,1,1,1,2,9,2
43,17,2,4,2,2,2,N,1,3,2
