,HISP,PUMA,PINCP_DECILE,MSP,DENSITY,OWN_RENT,DREM,SEX,NPF,HOUSING_TYPE,RAC1P,INDP_CAT,DVET,NOC,EDU,DEYE,DEAR,DPHY,AGEP
HISP,6.572520305780927e-14,-0.017611470021636697,0.0055728696517800685,-0.0015320349125590889,0.002350302391636555,-0.03166660960326935,0.028791801230007893,0.009587323449972901,-0.009313056951840912,0.008055053419990934,-0.04215105323678944,-0.028107582386865303,0.007700458215885362,0.0038608685114234972,0.0025760193351678923,0.04489855710134808,0.006375674037735181,0.023135788159184628,-0.011981954780631701
PUMA,-0.017611470021636697,-9.880984919163893e-15,0.00015264952024150562,-0.0074090001460388605,0.05723758726173925,-0.009968868435737806,0.00829714747525457,-0.01090477791651157,0.022462107586889934,0.00929503317167836,-0.02389120602504776,-0.016131977266559273,-0.013157815460477288,-0.011356892061193169,0.004956289124063998,-0.019725736370157905,-0.012382985448330726,0.017964753468408458,0.0077001697064377
PINCP_DECILE,0.0055728696517800685,0.00015264952024150562,-2.9976021664879227e-15,-0.005745306194854777,0.01347532547358727,-0.015870467996890226,-0.009447721712614099,0.008253544260570483,0.027864336584963456,0.0029751876094724627,0.011955625788395985,-0.0862790988253358,-0.005135821743728161,-0.00406582398222799,-0.0437142346794781,0.006287706659008418,0.023913866153897387,-0.019758268358221698,-0.060491451753758196
MSP,-0.0015320349125590889,-0.0074090001460388605,-0.005745306194854777,4.829470157119431e-14,-0.0072794512408888845,0.01308023577046697,-0.012034275386225646,-0.00855050674624669,0.056573997032143,-0.006353226168100579,0.032086115979241894,-0.06204636718256046,0.018149779502266008,0.04633830470361894,-0.010827834430411798,-0.00672776588262116,-0.0047304930997771,0.0028186495123443955,-0.025066069959131437
DENSITY,0.002350302391636555,0.05723758726173925,0.01347532547358727,-0.0072794512408888845,7.061018436615996e-14,0.018851395771540824,0.010926588934755885,-0.00513737382403193,0.006570227782345964,-0.02079016044972594,-0.0351946159454536,0.020270276581912938,0.004793802131554413,0.00023052909524316767,-0.01467851447812249,0.052842120339536225,0.022426355915976554,0.008194748487926149,-0.004250171038778221
OWN_RENT,-0.03166660960326935,-0.009968868435737806,-0.015870467996890226,0.01308023577046697,0.018851395771540824,-5.939693181744587e-14,-8.415462242033003e-05,-0.003643467609988446,-0.025939393481219222,0.0720396732448147,-0.005838487570889478,-0.02930883482438936,-0.0062532002087113455,-0.09045574159214058,-0.005209026234726265,0.017075002959240356,0.036310367374208855,0.0149652724658783,0.002035612459859351
DREM,0.028791801230007893,0.00829714747525457,-0.009447721712614099,-0.012034275386225646,0.010926588934755885,-8.415462242033003e-05,2.1094237467877974e-15,-0.01403522294592761,0.013867449773971696,0.0009250602585641164,0.016852062471024335,-0.04706976727982057,0.013336032693830692,-0.014786178227003594,-0.0388839746852771,0.0109777337571128,-0.0077279932172006245,-0.08758244486354261,-0.018035863117260853
SEX,0.009587323449972901,-0.01090477791651157,0.008253544260570483,-0.00855050674624669,-0.00513737382403193,-0.003643467609988446,-0.01403522294592761,0.0,0.006240693255885221,0.00614398544509271,-0.02037952730311269,0.0334284735872336,0.04336710753347817,0.0018074089279380683,0.007954051517316443,-0.012317140010050829,-0.004495730178798611,0.006340664033394969,-0.0027723962051355577
NPF,-0.009313056951840912,0.022462107586889934,0.027864336584963456,0.056573997032143,0.006570227782345964,-0.025939393481219222,0.013867449773971696,0.006240693255885221,6.472600233564663e-14,0.04196646087800687,-0.03145474867034413,0.021876342394920006,-0.028217635641911494,-0.14644553047630438,0.02333216449370773,-0.044857971577827095,-0.02524355964031115,0.01716277004007072,0.050305816728789754
HOUSING_TYPE,0.008055053419990934,0.00929503317167836,0.0029751876094724627,-0.006353226168100579,-0.02079016044972594,0.0720396732448147,0.0009250602585641164,0.00614398544509271,0.04196646087800687,1.2945200467129325e-13,0.042266581844074835,0.01986151205528485,0.007214726210414139,0.10407755907653646,0.007845894037400125,-0.0038527042654260026,-0.013083045050492941,0.002269065482491738,-0.0018420464169609518
