,AGEP_x,DEAR_x,DENSITY_x,DEYE_x,DPHY_x,DREM_x,DVET_x,EDU,HISP,HOUSING_TYPE_x,INDP_x,INDP_CAT,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_x,PINCP_DECILE_x,POVPIP_x,PUMA,PWGTP_x,RAC1P,SEX,WGTP_x,AGEP_y,DEAR_y,DENSITY_y,DEYE_y,DPHY_y,DREM_y,DVET_y,HOUSING_TYPE_y,INDP_y,NOC_y,NPF_y,PINCP_y,PINCP_DECILE_y,POVPIP_y,PWGTP_y,WGTP_y,percent_match
0,37,2,0,2,2,1,N,10,0,1,9170,15,6,0,N,1,7000.0,1,52,38-00100,198,1,1,198,37,2,0,2,2,1,N,1,9170,0,N,7000.0,1,52,198,198,100.0
1,42,2,10,2,2,2,N,7,0,1,8990,15,6,0,N,2,55000.0,6,418,51-51255,104,9,2,105,42,2,10,2,2,2,N,1,8990,0,N,55000.0,6,418,104,105,100.0
2,10,2,11,2,2,2,N,3,0,1,N,N,N,1,4,1,N,N,501,17-03529,39,6,1,49,10,2,11,2,2,2,N,1,N,1,4,N,N,501,39,49,100.0
3,69,1,7,2,2,2,N,10,0,1,9170,15,4,0,N,1,79100.0,8,501,19-01700,101,1,2,101,69,1,7,2,2,2,N,1,9170,0,N,79100.0,8,501,101,101,100.0
4,71,2,0,2,2,2,N,4,0,1,N,N,3,0,N,2,15000.0,3,123,40-00200,51,1,1,51,71,2,0,2,2,2,N,1,N,0,N,15000.0,3,123,51,51,100.0
5,55,2,7,2,2,2,N,7,0,1,7870,11,6,0,N,2,42000.0,6,317,19-01700,248,2,1,248,55,2,7,2,2,2,N,1,7870,0,N,42000.0,6,317,248,248,100.0
6,95,2,13,2,1,2,N,4,2,1,N,N,5,0,N,2,10500.0,2,87,36-03710,75,1,2,75,95,2,13,2,1,2,N,1,N,0,N,10500.0,2,87,75,75,100.0
7,33,2,0,2,2,2,N,5,1,1,8590,14,4,0,5,2,16800.0,4,56,40-00200,296,1,2,296,33,2,0,2,2,2,N,1,8590,0,5,16800.0,4,56,296,296,100.0
8,23,2,12,2,2,2,N,9,4,1,7890,11,6,0,N,2,50650.0,6,383,06-07502,42,8,2,42,23,2,12,2,2,2,N,1,7890,0,N,50650.0,6,383,42,42,100.0
9,39,2,10,2,2,2,N,9,0,1,8470,13,1,2,5,2,12800.0,2,296,51-51255,36,2,2,57,39,2,10,2,2,2,N,1,8470,2,5,12800.0,2,296,36,57,100.0
10,33,2,8,2,2,2,N,9,0,1,9470,16,6,0,N,2,47000.0,7,356,29-01901,60,2,2,61,33,2,8,2,2,2,N,1,9470,0,N,47000.0,7,356,60,61,100.0
