PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP
01-01301,45,1,6,0,6,0,2,1,1,2731.2,7870,11,12,10400,2,328,N,2,2,2,2,38,51
01-01301,60,2,4,2,2,0,N,1,1,2731.2,7690,10,8,14000,3,116,N,2,2,2,2,54,73
01-01301,66,2,1,0,8,0,3,1,1,2731.2,N,N,6,1200,1,142,N,1,1,2,2,46,46
01-01301,20,2,6,0,2,N,N,3,0,2731.2,7860,11,7,0,0,N,N,2,2,2,2,70,0
01-01301,19,2,6,1,8,1,6,1,1,2731.2,4971,6,5,34000,6,204,N,2,2,2,2,341,306
01-01301,54,1,4,0,2,0,N,1,1,2731.2,1370,4,5,53000,7,306,N,2,2,2,2,173,144
01-01301,55,1,2,0,1,N,N,2,0,2731.2,N,N,7,56100,8,N,N,1,1,2,2,23,0
01-01301,62,2,6,0,2,N,N,2,0,2731.2,N,N,7,16000,3,N,N,2,2,2,2,19,0
01-01301,70,2,4,0,2,2,5,1,1,2731.2,8191,12,8,30000,5,244,N,1,1,2,2,134,135
01-01301,36,2,6,2,1,0,N,1,1,2731.2,6991,9,5,30000,6,239,N,2,2,2,2,67,66
01-01301,54,1,4,0,2,0,N,1,2,2731.2,6870,9,5,47000,7,368,N,2,2,2,2,252,252
01-01301,33,1,6,0,2,0,4,1,2,2731.2,770,3,5,9000,2,100,N,2,2,2,2,288,82
01-01301,22,2,1,0,2,2,5,1,1,2731.2,7860,11,7,9600,2,44,N,2,2,2,2,220,230
01-01301,9,1,N,0,2,2,3,1,2,2731.2,N,N,3,N,N,53,N,2,2,2,2,84,104
01-01301,39,1,6,1,1,N,N,3,0,2731.2,3980,4,7,0,0,0,N,2,2,2,2,13,0
01-01301,58,1,4,0,2,0,2,1,1,2731.2,6290,7,5,250,1,119,N,2,2,2,2,74,53
01-01301,19,2,6,0,2,0,2,1,1,2731.2,N,N,7,0,0,62,N,2,2,2,2,166,122
01-01301,1,2,N,0,2,4,5,1,2,2731.2,N,N,N,N,N,144,N,N,N,2,2,338,204
01-01301,0,2,N,0,2,0,3,1,1,2731.2,N,N,N,N,N,11,N,N,N,2,2,121,121
01-01301,33,1,6,0,2,0,2,1,2,2731.2,770,3,9,60400,8,457,N,2,2,2,2,71,70
01-01301,74,1,3,0,2,0,N,1,2,2731.2,N,N,5,15500,3,140,5,2,1,2,2,132,133
01-01301,76,2,4,0,2,0,3,1,2,2731.2,N,N,7,10800,3,293,N,2,1,2,2,35,34
01-01301,74,2,3,0,2,0,2,1,1,2731.2,N,N,3,10200,3,84,N,2,2,2,2,85,46
01-01301,9,2,N,0,2,3,6,1,1,2731.2,N,N,3,N,N,269,N,2,2,2,2,154,152
01-01301,68,1,1,0,2,0,2,1,2,2731.2,N,N,7,11100,3,227,N,1,1,1,1,244,170
01-01301,63,1,1,0,2,0,2,1,1,2731.2,8191,12,7,80000,8,501,N,2,2,2,2,86,61
01-01301,57,2,1,0,2,0,2,1,1,2731.2,N,N,7,33000,6,501,N,2,2,2,2,75,75
01-01301,3,2,N,0,1,2,6,1,1,2731.2,N,N,2,N,N,501,N,N,N,2,2,70,65
01-01301,57,1,6,0,9,0,N,1,1,2731.2,7860,11,7,12500,3,147,N,2,1,2,2,35,34
01-01301,31,2,1,0,2,2,3,1,2,2731.2,8270,12,8,5000,1,15,N,1,1,2,2,207,218
01-01301,20,1,6,0,1,N,N,3,0,2731.2,7270,10,7,0,1,N,N,2,2,2,2,15,0
01-01301,63,2,1,0,2,0,2,1,1,2731.2,N,N,5,24000,5,377,N,2,2,2,2,165,162
01-01301,4,1,N,0,2,3,5,1,2,2731.2,N,N,1,N,N,115,N,N,N,2,2,161,97
01-01301,63,2,1,0,2,0,2,1,2,2731.2,770,3,7,21000,4,419,N,2,2,1,2,34,30
01-01301,28,1,6,0,8,0,2,1,1,2731.2,3680,4,5,4400,1,501,N,2,2,2,2,241,122
01-01301,62,2,3,0,2,0,3,1,1,2731.2,N,N,6,16300,4,403,N,2,1,2,2,57,57
01-01301,39,2,6,0,2,N,N,3,0,2731.2,6370,7,6,0,0,0,N,1,2,2,2,26,0
01-01301,20,1,6,0,1,0,3,1,1,2731.2,7380,10,5,11000,3,371,N,2,2,2,2,269,184
01-01301,73,2,4,0,2,0,N,1,1,2731.2,N,N,10,27600,5,245,N,2,2,2,2,270,279
01-01301,62,2,3,0,2,0,3,1,1,2731.2,8470,13,12,1000,1,25,N,2,2,2,2,48,57
01-01301,14,1,N,0,2,4,6,1,1,2731.2,N,N,3,N,N,110,N,2,2,2,2,260,258
01-01301,93,1,6,0,2,0,N,1,2,2731.2,7860,11,10,34000,5,283,N,2,2,2,2,79,79
01-01301,38,2,6,0,1,0,3,1,2,2731.2,N,N,3,0,0,385,N,1,2,1,2,306,204
01-01301,41,1,5,0,2,0,3,1,1,2731.2,N,N,7,12000,3,90,N,2,1,2,2,149,140
01-01301,82,1,3,0,2,N,N,2,0,2731.2,N,N,3,13000,2,N,N,2,1,2,2,17,0
01-01301,34,2,6,4,1,N,N,3,0,2731.2,N,N,5,300,1,0,N,1,2,2,2,58,0
01-01301,5,1,N,0,2,3,4,1,2,2731.2,N,N,2,N,N,59,N,2,2,2,2,65,28
01-01301,41,1,1,0,2,3,5,1,2,2731.2,5391,6,4,52000,7,384,N,2,2,2,2,65,60
01-01301,60,1,4,0,2,0,2,1,2,2731.2,N,N,4,0,0,168,N,2,2,1,2,120,108
01-01301,1,1,N,0,2,9,8,1,1,2731.2,N,N,N,N,N,137,N,N,N,2,2,93,116
01-01301,36,1,1,0,6,1,3,1,2,2731.2,8191,12,11,0,0,58,N,2,2,2,2,86,86
01-01301,93,2,1,0,1,0,2,1,1,2731.2,N,N,5,13000,3,118,N,1,2,2,1,64,64
01-01301,21,2,6,0,2,0,2,1,1,2731.2,570,2,7,9000,2,146,N,2,2,2,2,336,363
01-01301,75,1,1,0,1,0,2,1,1,2731.2,N,N,3,10000,3,194,N,2,1,2,2,191,198
01-01301,59,1,5,0,2,0,N,1,1,2731.2,7580,10,4,64200,8,501,N,2,2,2,2,275,265
01-01301,60,2,6,0,2,0,2,1,1,2731.2,770,3,4,64000,8,403,N,2,2,2,2,52,62
01-01301,19,2,6,0,2,0,5,1,2,2731.2,N,N,6,0,0,25,N,2,2,2,2,214,181
01-01301,43,2,6,0,2,0,6,1,1,2731.2,4971,6,4,0,0,130,N,2,2,2,2,163,126
01-01301,59,1,1,0,2,0,4,1,1,2731.2,9470,16,10,150000,9,501,N,2,2,2,2,206,157
01-01301,66,2,3,0,2,0,N,1,1,2731.2,N,N,10,18000,4,129,N,2,2,2,2,74,74
01-01301,34,1,6,0,2,0,N,1,2,2731.2,9670,18,5,8600,2,65,N,2,2,2,2,78,78
01-01301,13,2,N,0,2,0,4,1,1,2731.2,N,N,3,N,N,92,N,2,2,2,2,205,227
01-01301,7,2,N,0,2,0,5,1,1,2731.2,N,N,3,N,N,384,N,2,2,2,2,183,168
01-01301,60,1,4,0,2,0,2,1,1,2731.2,570,2,7,36000,6,251,N,2,2,2,2,83,64
01-01301,48,2,6,0,2,0,5,1,1,2731.2,7860,11,10,50000,7,367,N,2,2,2,2,198,92
01-01301,60,2,6,0,2,0,2,1,2,2731.2,N,N,3,11000,3,84,N,1,1,2,2,123,104
01-01301,69,2,3,0,2,0,N,1,2,2731.2,N,N,5,7400,2,53,N,2,1,2,2,260,279
01-01301,66,2,3,0,2,0,2,1,2,2731.2,7860,11,5,31600,6,226,N,2,2,2,2,752,424
01-01301,61,2,1,4,1,0,3,1,1,2731.2,9920,18,6,0,0,166,N,1,2,2,2,76,65
01-01301,55,2,4,0,2,0,N,1,2,2731.2,5480,6,7,36000,5,279,N,2,2,2,2,206,164
01-01301,16,1,6,0,2,0,3,1,1,2731.2,1190,4,4,6700,2,195,N,2,2,1,2,265,241
01-01301,74,2,1,0,2,0,2,1,1,2731.2,N,N,8,15600,4,501,N,2,2,2,2,61,73
01-01301,72,2,1,0,2,0,6,1,2,2731.2,N,N,5,13000,4,163,N,2,1,2,2,61,68
01-01301,73,2,3,0,1,N,N,2,0,2731.2,N,N,9,11900,3,N,N,2,1,2,2,12,0
01-01301,37,2,5,0,2,0,6,1,1,2731.2,8370,13,4,8000,2,122,N,2,2,2,2,158,155
01-01301,61,2,6,0,2,0,3,1,1,2731.2,6870,9,7,14000,3,359,N,2,2,2,2,180,181
01-01301,67,1,6,0,2,0,N,1,2,2731.2,N,N,6,9800,2,64,N,1,1,2,2,49,49
01-01301,67,2,6,0,2,0,N,1,2,2731.2,5070,6,4,18500,4,103,N,1,2,2,2,94,95
01-01301,59,1,2,0,2,0,2,1,1,2731.2,1370,4,7,62000,8,501,N,2,2,2,2,286,285
01-01301,34,2,1,0,3,3,5,1,1,2731.2,7860,11,7,12000,3,126,N,2,2,2,2,62,72
01-01301,93,2,3,0,2,0,2,1,1,2731.2,N,N,7,280,1,5,N,2,1,2,1,42,46
01-01301,87,1,5,0,1,0,N,1,1,2731.2,N,N,4,9000,2,69,N,2,1,2,2,43,49
01-01301,48,1,6,1,9,N,N,3,0,2731.2,N,N,3,0,0,0,N,2,2,2,2,12,0
01-01301,53,2,4,0,2,0,N,1,2,2731.2,8680,14,5,3700,1,17,N,1,1,1,2,196,174
01-01301,61,2,5,0,2,0,N,1,1,2731.2,N,N,5,14000,3,113,5,2,1,1,1,42,48
01-01301,2,2,N,0,2,2,6,1,1,2731.2,N,N,N,N,N,129,N,N,N,2,2,310,114
01-01301,61,1,6,0,2,0,N,1,1,2731.2,N,N,7,0,0,0,N,2,2,2,2,98,78
01-01301,68,2,1,0,2,0,2,1,1,2731.2,N,N,7,46900,7,344,N,2,2,2,2,61,63
01-01301,60,1,1,0,2,0,2,1,1,2731.2,2380,4,5,28000,5,487,N,2,2,2,2,121,120
01-01301,19,2,6,0,9,0,N,1,2,2731.2,N,N,5,0,0,0,N,2,2,2,2,106,84
01-01301,54,2,4,0,2,N,N,3,0,2731.2,7860,11,7,0,0,0,N,2,2,2,2,63,0
01-01301,73,2,3,0,2,0,N,1,2,2731.2,N,N,4,18900,4,129,N,2,2,1,2,52,53
01-01301,16,1,6,0,9,0,2,1,2,2731.2,8680,14,4,600,1,42,N,2,2,1,2,179,100
01-01301,77,1,6,0,2,0,2,1,1,2731.2,5391,6,5,40000,7,501,N,2,2,2,2,80,48
01-01301,54,1,1,0,2,0,3,1,2,2731.2,2680,4,5,30000,5,295,N,2,2,2,2,216,257
01-01301,4,1,N,0,1,0,6,1,2,2731.2,N,N,1,N,N,40,N,N,N,2,2,438,154
01-01301,15,1,6,2,9,2,6,1,1,2731.2,N,N,3,0,0,156,N,1,2,2,2,145,174
01-01301,67,2,1,0,2,0,3,1,1,2731.2,7970,12,7,32400,6,501,N,2,2,2,2,188,188
01-01301,74,2,3,0,2,0,2,1,1,2731.2,N,N,7,13900,3,95,N,2,1,1,2,53,53
01-01301,22,2,6,0,2,N,N,3,0,2731.2,N,N,5,14400,3,120,N,2,2,2,2,61,0
01-01301,19,1,6,0,2,0,3,1,1,2731.2,9080,15,5,2800,1,234,N,2,2,1,1,166,90
01-01301,69,2,2,0,2,0,N,1,1,2731.2,N,N,5,17600,4,144,N,2,2,2,2,229,239
01-01301,72,2,1,0,2,0,2,1,1,2731.2,7680,10,4,30000,5,501,N,2,2,2,2,156,115
01-01301,65,2,1,0,2,0,2,1,1,2731.2,8660,14,8,55000,8,353,N,2,2,2,2,52,62
01-01301,70,2,3,0,2,0,2,1,1,2731.2,9470,16,12,68000,8,501,N,2,2,2,2,199,177
01-01301,26,2,6,1,1,N,N,3,0,2731.2,N,N,5,9300,2,N,N,2,1,2,2,28,0
01-01301,63,2,1,0,2,0,3,1,2,2731.2,9670,16,5,12000,3,378,N,2,2,2,2,199,199
01-01301,14,1,N,0,2,2,5,1,1,2731.2,N,N,3,N,N,235,N,2,2,2,2,187,121
01-01301,23,2,6,0,2,0,4,1,1,2731.2,8170,12,7,17200,4,473,N,2,2,2,2,90,90
01-01301,10,1,N,0,2,4,5,1,2,2731.2,N,N,3,N,N,108,N,2,2,2,2,360,338
01-01301,46,2,6,0,2,0,2,1,2,2731.2,8660,14,4,17000,4,124,N,1,2,2,2,151,144
01-01301,89,2,3,0,2,0,N,1,2,2731.2,N,N,5,17900,4,142,N,2,2,2,2,46,43
01-01301,72,1,4,0,2,0,N,1,1,2731.2,8680,14,7,16400,4,119,N,2,2,2,2,194,195
01-01301,73,1,3,0,2,0,N,1,1,2731.2,N,N,3,21300,4,194,5,2,1,2,2,68,68
01-01301,9,2,N,0,2,3,4,1,2,2731.2,N,N,3,N,N,78,N,2,2,2,2,267,178
01-01301,25,2,6,0,2,0,3,1,2,2731.2,8370,13,5,12100,3,90,N,2,2,2,2,106,39
01-01301,93,2,3,0,6,0,2,1,1,2731.2,N,N,4,25000,5,501,N,2,1,2,2,129,122
01-01301,35,2,6,0,2,0,N,1,1,2731.2,9070,15,7,50000,7,481,N,2,2,2,2,387,385
01-01301,63,2,1,0,2,0,2,1,1,2731.2,N,N,8,42000,6,209,N,2,2,2,2,46,43
01-01301,73,1,4,0,2,0,N,1,1,2731.2,570,2,7,38000,6,202,N,2,2,2,2,38,38
01-01301,34,1,1,0,2,1,4,1,1,2731.2,1780,4,10,35000,6,229,N,2,2,2,2,771,370
01-01301,67,1,1,0,2,0,3,1,1,2731.2,770,3,7,31200,6,361,N,2,2,2,2,100,98
01-01301,65,1,1,0,2,0,3,1,1,2731.2,5391,6,5,30000,5,243,N,2,2,2,2,81,84
01-01301,66,1,4,0,2,0,4,1,1,2731.2,N,N,12,18300,4,501,N,2,1,2,2,182,193
01-01301,74,2,4,0,2,0,2,1,1,2731.2,N,N,8,29800,5,274,N,2,1,2,2,112,104
01-01301,60,2,1,0,2,0,2,1,1,2731.2,8660,14,5,35000,6,478,N,2,2,2,2,90,95
01-01301,82,2,1,0,1,0,3,1,1,2731.2,N,N,9,11300,3,175,N,2,2,2,2,42,52
01-01301,76,1,1,0,2,0,2,1,1,2731.2,N,N,7,34600,6,443,N,2,2,2,2,79,78
01-01301,70,1,1,0,2,0,2,1,1,2731.2,N,N,5,65200,8,501,N,2,2,2,2,35,64
01-01301,58,1,1,0,2,0,2,1,1,2731.2,6290,7,4,39700,6,234,N,2,2,2,2,107,58
01-01301,13,2,N,0,2,4,6,1,2,2731.2,N,N,3,N,N,128,N,2,2,2,2,340,234
01-01301,29,1,1,0,2,1,3,1,2,2731.2,2180,4,5,35000,5,110,N,2,2,2,2,225,262
01-01301,58,2,5,0,2,0,N,1,1,2731.2,8660,14,5,32500,5,236,N,2,2,2,2,289,201
01-01301,61,2,6,0,2,0,3,1,1,2731.2,8660,14,5,40000,7,314,N,2,2,2,2,212,154
01-01301,12,2,N,1,1,0,4,1,1,2731.2,N,N,3,N,N,60,N,2,2,2,2,50,36
01-01301,57,2,4,0,2,0,5,1,1,2731.2,7071,9,5,9600,2,191,N,2,2,2,2,138,162
01-01301,51,1,1,0,2,1,3,1,1,2731.2,6380,7,8,150000,9,501,N,2,2,2,2,210,210
01-01301,38,2,1,0,2,2,3,1,1,2731.2,390,1,5,48000,7,297,N,2,2,2,2,80,89
01-01301,43,1,6,0,2,0,N,1,2,2731.2,7860,11,10,41680,7,383,N,2,2,2,2,256,258
01-01301,32,2,6,0,2,0,N,1,2,2731.2,8680,14,4,1500,1,17,N,2,2,2,2,233,234
01-01301,9,2,N,0,2,3,4,1,2,2731.2,N,N,3,N,N,44,N,1,2,2,2,209,378
01-01301,47,1,1,0,2,4,5,1,1,2731.2,6390,7,5,21000,4,192,N,2,2,2,2,101,109
01-01301,58,1,6,0,2,N,N,2,0,2731.2,N,N,4,8800,2,N,N,2,1,2,2,80,0
01-01301,12,1,N,0,2,2,3,1,2,2731.2,N,N,4,N,N,205,N,1,2,2,2,118,114
01-01301,61,2,1,0,2,0,4,1,1,2731.2,9470,16,7,31500,5,262,N,2,2,2,2,296,338
01-01301,69,1,4,0,2,0,N,1,1,2731.2,4795,6,7,62900,8,451,N,2,2,2,2,173,173
01-01301,9,1,N,0,2,2,3,1,2,2731.2,N,N,3,N,N,363,N,2,2,2,2,298,146
01-01301,18,1,6,0,1,0,N,1,2,2731.2,N,N,4,0,0,0,N,2,2,2,2,180,169
01-01301,55,1,5,0,2,0,N,1,1,2731.2,N,N,5,0,0,0,N,2,2,2,2,69,79
01-01301,65,2,4,0,2,0,N,1,1,2731.2,8191,12,9,40000,7,305,N,2,2,2,2,68,69
01-01301,25,1,6,0,1,0,3,1,1,2731.2,8680,14,5,7300,2,67,N,1,2,2,2,418,388
01-01301,76,2,1,0,2,0,2,1,1,2731.2,N,N,4,30000,5,404,N,2,1,2,2,85,80
01-01301,28,2,1,0,2,0,4,1,1,2731.2,8470,13,5,34000,5,268,N,2,2,2,2,338,260
01-01301,13,1,N,0,2,2,3,1,2,2731.2,N,N,3,N,N,15,N,2,2,1,2,286,233
01-01301,63,2,1,0,2,0,2,1,1,2731.2,N,N,9,30000,5,501,N,2,2,2,2,153,162
01-01301,63,2,4,0,2,0,N,1,1,2731.2,7680,10,11,52000,7,393,N,2,2,2,2,126,126
01-01301,54,1,1,0,2,0,2,1,1,2731.2,8680,14,5,17300,3,99,N,2,2,1,2,62,64
01-01301,38,1,6,0,2,0,N,1,2,2731.2,2590,4,5,19000,4,128,N,2,2,2,2,359,269
01-01301,51,1,6,0,1,0,3,1,1,2731.2,9920,18,5,130,1,202,N,2,2,2,2,191,98
01-01301,3,1,N,0,9,0,8,1,1,2731.2,N,N,1,N,N,241,N,N,N,2,2,174,214
01-01301,53,2,1,0,1,0,3,1,1,2731.2,8680,14,6,61900,8,344,N,2,2,2,2,94,99
01-01301,54,2,1,0,2,0,3,1,1,2731.2,1890,4,7,0,0,124,N,2,2,2,2,89,80
01-01301,81,2,3,0,2,0,N,1,1,2731.2,N,N,4,10800,2,76,N,2,2,2,2,45,55
01-01301,11,2,N,0,2,1,2,1,2,2731.2,N,N,3,N,N,98,N,2,2,2,2,290,332
01-01301,10,1,N,0,2,2,6,1,2,2731.2,N,N,3,N,N,0,N,1,2,2,2,49,46
01-01301,51,2,1,0,2,0,2,1,2,2731.2,7390,10,6,0,0,165,N,2,2,2,2,50,70
01-01301,47,1,6,0,2,0,2,1,2,2731.2,N,N,7,8500,2,140,N,2,2,2,2,253,274
01-01301,28,2,6,0,9,0,N,1,2,2731.2,9490,16,9,45000,7,331,N,2,2,2,2,244,295
01-01301,11,2,N,0,2,2,3,1,2,2731.2,N,N,3,N,N,52,N,2,2,2,2,354,254
01-01301,20,2,6,0,2,1,3,1,2,2731.2,8680,14,5,8500,2,162,N,2,2,2,2,252,292
01-01301,15,1,6,0,2,1,2,1,2,2731.2,N,N,4,0,0,149,N,2,2,2,2,107,106
01-01301,32,1,1,0,2,2,4,1,2,2731.2,9470,16,7,30000,5,37,N,2,2,2,2,127,70
01-01301,72,2,2,0,2,0,N,1,1,2731.2,N,N,7,23600,4,177,N,2,1,2,2,59,59
01-01301,49,2,1,0,2,0,2,1,1,2731.2,7860,11,5,26000,5,501,N,2,1,2,2,185,186
01-01301,22,2,6,0,2,2,4,1,1,2731.2,N,N,5,0,0,0,N,2,2,2,2,233,254
01-01301,49,2,6,0,2,4,5,1,2,2731.2,5275,6,5,9000,2,109,N,2,2,2,2,90,113
01-01301,66,2,6,0,2,0,N,1,2,2731.2,N,N,5,9000,2,78,N,2,2,2,2,72,72
01-01301,46,1,4,0,2,0,2,1,1,2731.2,6870,9,7,18200,4,366,N,2,2,2,2,104,103
01-01301,61,2,4,0,2,0,5,1,2,2731.2,8270,12,4,32000,6,474,N,2,2,2,2,56,56
01-01301,66,2,3,0,2,0,N,1,2,2731.2,8370,13,5,13500,3,124,N,1,2,2,2,390,239
01-01301,25,2,1,0,2,0,2,1,2,2731.2,8570,14,6,830,1,193,N,2,2,2,2,55,65
01-01301,69,2,6,0,2,0,N,1,2,2731.2,N,N,5,0,0,0,N,2,2,2,2,386,327
01-01301,30,2,1,0,2,4,6,1,2,2731.2,7870,11,11,620,1,6,N,2,2,2,2,152,134
01-01301,3,1,N,0,2,1,2,1,1,2731.2,N,N,1,N,N,386,N,N,N,2,2,31,47
01-01301,59,2,1,1,1,0,8,1,1,2731.2,5391,6,4,16000,4,161,N,2,2,2,2,67,57
01-01301,27,2,6,0,2,0,2,1,2,2731.2,8660,14,5,0,0,137,N,2,2,2,2,141,163
01-01301,16,1,6,0,2,2,8,1,1,2731.2,N,N,4,0,0,323,N,2,2,2,2,66,83
01-01301,11,1,N,0,2,2,4,1,1,2731.2,N,N,3,N,N,65,N,2,2,2,2,61,72
01-01301,61,1,4,0,2,0,N,1,1,2731.2,6190,7,7,94000,9,501,N,2,2,2,2,58,53
01-01301,0,1,N,0,2,2,3,1,2,2731.2,N,N,N,N,N,55,N,N,N,2,2,261,254
01-01301,14,2,N,0,2,0,N,1,2,2731.2,N,N,3,N,N,N,N,2,2,2,2,97,107
01-01301,6,1,N,0,2,2,3,1,2,2731.2,N,N,2,N,N,325,N,2,2,2,2,246,297
01-01301,4,2,N,0,1,0,4,1,1,2731.2,N,N,1,N,N,354,N,N,N,2,2,154,90
01-01301,35,2,5,0,2,3,6,1,2,2731.2,N,N,7,9500,2,121,N,2,2,1,2,163,163
01-01301,43,1,6,0,2,0,N,1,1,2731.2,3980,4,9,62000,8,498,N,2,2,2,2,213,113
01-01301,56,2,6,0,2,0,N,1,2,2731.2,7690,10,7,19400,4,158,N,2,1,2,2,136,124
01-01301,59,2,1,0,2,0,3,1,1,2731.2,N,N,7,0,0,0,N,2,2,2,2,60,63
01-01301,74,2,3,0,2,0,3,1,1,2731.2,1890,4,7,98000,9,501,N,2,2,2,2,58,60
01-01301,39,2,6,0,2,4,5,1,1,2731.2,8191,12,9,85000,9,398,N,2,2,2,2,494,354
01-01301,71,1,1,0,2,0,2,1,1,2731.2,7870,11,12,41500,7,408,N,2,2,2,2,69,69
01-01301,57,2,5,0,1,0,2,1,1,2731.2,7072,9,5,54000,8,495,N,2,2,2,2,79,178
01-01301,68,1,1,0,2,0,2,1,1,2731.2,2170,4,7,72500,8,501,N,2,2,2,2,44,44
01-01301,30,2,4,0,2,3,4,1,2,2731.2,5780,6,4,12400,3,93,N,2,2,2,2,119,119
01-01301,81,2,1,0,2,0,5,1,2,2731.2,N,N,5,7700,2,163,N,2,2,2,2,49,60
01-01301,16,2,6,0,2,N,N,3,0,2731.2,N,N,7,0,0,N,N,2,2,2,2,4,0
