,AGEP_x,DEYE_x,DVET_x,EDU,HOUSING_TYPE_x,MSP,OWN_RENT,PINCP_DECILE_x,RAC1P,SEX,AGEP_y,DEYE_y,DVET_y,HOUSING_TYPE_y,PINCP_DECILE_y,percent_match
0,27,2,N,10,3,6,0,5,6,2,26,2,N,3,5,80.0
1,70,2,N,5,1,4,2,2,2,2,65,2,N,1,2,80.0
2,47,2,N,4,2,6,0,2,8,1,47,2,N,2,2,100.0
3,86,2,N,1,1,3,1,1,1,1,90,2,N,1,2,60.0
4,59,2,N,10,1,4,2,6,6,2,59,2,N,1,6,100.0
5,42,2,N,3,1,1,1,5,2,1,40,2,N,1,5,80.0
6,84,2,N,5,2,3,0,0,2,2,84,2,N,2,0,100.0
7,48,2,N,12,1,1,1,3,8,2,48,2,N,1,3,100.0
8,57,2,N,1,1,2,1,2,6,1,55,2,N,1,2,80.0
9,33,2,N,9,1,1,2,7,2,1,32,2,N,1,7,80.0
10,32,2,N,6,1,1,2,2,2,1,70,2,N,1,0,60.0
11,62,2,N,12,1,5,1,9,9,1,60,2,N,1,9,80.0
12,31,2,N,1,3,6,0,3,8,1,29,2,N,3,3,80.0
13,38,2,N,3,1,1,2,4,8,2,35,2,N,1,4,80.0
14,51,2,N,3,1,6,2,4,6,1,15,2,N,1,0,60.0
15,22,2,N,7,1,6,1,1,8,2,21,2,N,1,1,80.0
16,74,2,N,12,1,1,1,1,9,1,64,2,N,1,1,80.0
17,35,2,N,8,3,6,0,1,8,1,31,2,N,3,1,80.0
18,72,2,N,5,1,1,2,1,6,2,72,2,N,1,1,100.0
19,46,2,N,6,1,1,2,5,8,1,45,2,N,1,5,80.0
20,20,2,N,7,1,6,1,1,9,2,19,2,N,1,1,80.0
21,82,2,N,9,1,3,1,2,6,2,81,2,N,1,2,80.0
22,47,2,N,7,1,2,2,5,2,2,45,2,N,1,5,80.0
23,8,2,N,1,1,N,1,N,2,1,3,2,N,1,N,80.0
24,22,2,N,7,1,1,2,2,9,2,20,2,N,1,2,80.0
25,65,2,N,3,1,4,1,3,6,2,63,2,N,1,3,80.0
26,15,2,N,3,1,6,2,0,6,2,63,2,N,1,4,60.0
27,34,2,N,10,1,6,2,5,8,1,29,2,N,1,5,80.0
28,59,2,N,11,1,6,1,8,8,2,59,2,N,1,8,100.0
29,33,2,N,1,1,2,2,3,2,1,32,2,N,1,3,80.0
30,31,2,N,8,1,6,1,7,9,2,31,2,N,1,7,100.0
31,14,2,N,3,1,6,1,0,2,2,15,2,N,1,0,80.0
32,18,2,N,5,1,6,1,2,8,2,18,2,N,1,2,100.0
33,54,2,N,5,1,1,2,5,9,2,54,2,N,1,5,100.0
34,33,2,N,8,1,4,1,0,9,2,64,2,N,1,8,60.0
35,52,2,N,10,1,2,2,6,6,1,49,2,N,1,6,80.0
36,66,2,N,7,1,6,2,3,9,1,66,2,N,1,3,100.0
37,31,2,N,9,3,6,0,7,2,1,28,2,N,3,7,80.0
38,81,2,N,1,1,3,1,1,6,2,84,2,N,1,2,60.0
39,50,2,N,7,1,1,2,3,6,2,41,2,N,1,0,60.0
40,73,2,N,5,1,1,1,4,7,2,70,2,N,1,4,80.0
41,42,2,N,5,1,6,1,5,9,2,38,2,N,1,5,80.0
42,58,2,N,8,1,4,1,6,2,2,54,2,N,1,6,80.0
43,60,2,N,10,1,1,1,6,8,1,54,2,N,1,6,80.0
44,77,2,N,4,2,2,0,0,8,1,76,2,N,2,0,80.0
45,51,2,N,5,1,2,1,0,6,1,49,2,N,1,0,80.0
46,54,2,N,1,1,1,2,3,8,2,53,2,N,1,3,80.0
47,69,2,N,7,2,4,0,1,1,1,61,1,N,2,1,60.0
48,41,2,N,6,1,1,1,5,6,2,55,2,N,1,0,60.0
49,30,2,N,7,1,6,2,5,6,1,30,2,N,1,6,80.0
50,61,2,N,7,1,3,1,2,9,2,61,2,N,1,2,100.0
51,54,2,N,12,1,6,2,6,9,2,54,2,N,1,6,100.0
52,36,2,N,5,1,1,2,0,2,2,36,2,N,1,0,100.0
53,42,2,N,12,1,6,2,9,6,1,41,2,N,1,9,80.0
54,31,2,N,5,1,6,2,3,8,2,30,2,N,1,3,80.0
55,68,2,N,4,1,1,2,0,6,1,74,2,N,1,1,60.0
56,59,2,N,11,1,5,2,7,1,2,59,2,N,1,7,100.0
57,74,2,N,1,1,4,2,1,8,2,73,2,N,1,1,80.0
58,50,2,N,9,1,5,2,9,1,1,50,2,N,1,9,100.0
59,54,2,N,7,1,4,2,2,6,1,54,2,N,1,2,100.0
60,7,2,N,2,1,N,2,9,2,1,5,2,N,1,N,60.0
61,39,2,N,9,1,4,1,7,6,2,37,2,N,1,7,80.0
62,70,2,N,12,1,2,1,9,1,1,69,2,N,1,9,80.0
63,88,2,N,1,1,4,2,6,6,1,91,2,N,1,7,60.0
64,54,2,N,11,1,4,1,6,9,1,50,2,N,1,6,80.0
65,14,2,N,3,1,6,1,0,9,1,15,2,N,1,1,60.0
66,74,2,N,12,1,4,1,9,2,2,73,2,N,1,9,80.0
