,AGEP_x,DEAR_x,DENSITY_x,DEYE_x,DPHY_x,DREM_x,DVET_x,EDU,HISP,HOUSING_TYPE_x,INDP_x,INDP_CAT,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_x,PINCP_DECILE_x,POVPIP_x,PUMA,PWGTP_x,RAC1P,SEX,WGTP_x,AGEP_y,DEAR_y,DENSITY_y,DEYE_y,DPHY_y,DREM_y,DVET_y,HOUSING_TYPE_y,INDP_y,NOC_y,NPF_y,PINCP_y,PINCP_DECILE_y,POVPIP_y,PWGTP_y,WGTP_y,percent_match
0,67,1,13,2,2,1,N,5,2,1,N,N,4,0,N,2,8000.0,2,66,36-03710,197,8,2,197,67,1,13,2,2,1,N,1,N,0,N,8000.0,2,66,197,197,100.0
1,69,2,12,2,2,2,N,3,0,1,N,N,4,0,N,2,7100.0,2,58,06-07502,63,6,2,63,69,2,12,2,2,2,N,1,N,0,N,7100.0,2,58,63,63,100.0
2,23,2,8,2,2,2,N,9,0,1,8680,14,6,0,N,2,18000.0,3,137,26-02702,61,6,2,61,23,2,8,2,2,2,N,1,8680,0,N,18000.0,3,137,61,61,100.0
3,27,2,9,2,2,2,N,4,1,2,770,3,6,N,N,0,800.0,1,N,32-00405,85,8,1,0,27,2,9,2,2,2,N,2,770,N,N,800.0,1,N,85,0,100.0
4,83,1,0,2,2,2,N,9,0,1,N,N,1,0,2,2,53300.0,8,501,40-00200,44,3,1,79,83,1,0,2,2,2,N,1,N,0,2,53300.0,8,501,44,79,100.0
5,57,2,10,2,2,2,N,4,0,1,8270,12,1,0,3,1,32000.0,5,331,17-03531,83,2,2,84,57,2,10,2,2,2,N,1,8270,0,3,32000.0,5,331,83,84,100.0
6,7,2,7,2,2,2,N,2,0,1,N,N,N,2,5,2,N,N,501,06-08507,115,9,1,114,7,2,7,2,2,2,N,1,N,2,5,N,N,501,115,114,100.0
7,60,2,0,2,1,2,N,8,0,1,N,N,4,1,2,1,15600.0,3,119,30-00600,68,1,2,74,60,2,0,2,1,2,N,1,N,1,2,15600.0,3,119,68,74,100.0
8,4,2,8,2,N,N,N,1,4,1,N,N,N,2,8,1,N,N,332,24-01004,132,1,1,150,4,2,8,2,N,N,N,1,N,2,8,N,N,332,132,150,100.0
9,39,2,0,2,2,2,N,7,2,1,N,N,1,0,7,1,0.0,0,308,38-00100,146,8,1,61,39,2,0,2,2,2,N,1,N,0,7,0.0,0,308,146,61,100.0
