,AGEP_x,DEYE_x,DVET_x,EDU,HOUSING_TYPE_x,MSP,OWN_RENT,PINCP_DECILE_x,RAC1P,SEX,AGEP_y,DEYE_y,DVET_y,HOUSING_TYPE_y,PINCP_DECILE_y,percent_match
0,56,1,N,4,3,5,0,1,1,1,56,1,N,3,1,100.0
1,62,2,N,5,1,2,1,3,9,2,79,2,N,1,5,60.0
2,52,1,N,6,2,6,0,2,6,1,52,1,N,2,2,100.0
3,21,2,N,5,3,6,0,1,7,2,21,2,N,3,1,100.0
4,26,2,N,7,2,2,0,5,8,2,26,2,N,2,5,100.0
5,73,2,N,1,2,3,0,3,8,2,73,2,N,2,3,100.0
6,85,2,N,9,2,2,0,0,6,2,85,2,N,2,0,100.0
7,50,2,N,7,2,2,0,0,6,1,50,2,N,2,0,100.0
8,94,2,N,3,2,3,0,2,6,2,94,2,N,2,2,100.0
9,25,2,N,10,1,6,2,0,7,2,25,2,N,1,0,100.0
10,52,2,N,5,1,2,2,4,7,2,52,2,N,1,4,100.0
11,38,2,N,10,1,3,2,9,6,2,82,2,N,1,8,60.0
12,71,2,N,12,1,3,1,9,6,1,71,2,N,1,9,100.0
13,25,2,N,6,1,6,1,7,7,1,25,2,N,1,7,100.0
14,21,2,N,5,1,6,1,0,7,1,21,2,N,1,0,100.0
15,55,2,N,7,1,4,2,7,7,1,55,2,N,1,7,100.0
16,64,2,N,8,1,4,2,7,6,2,64,2,N,1,7,100.0
17,33,2,N,10,1,1,2,9,3,1,31,2,N,1,1,60.0
18,65,2,N,3,1,5,1,0,6,2,65,2,N,1,0,100.0
19,50,2,N,1,1,5,2,5,6,2,50,2,N,1,5,100.0
20,49,2,N,8,1,1,1,9,5,1,44,1,N,1,1,40.0
21,45,2,N,5,1,1,2,7,7,1,45,2,N,1,7,100.0
22,41,2,N,9,1,5,2,9,9,1,41,2,N,1,9,100.0
23,48,2,N,12,1,1,2,0,9,2,48,2,N,1,0,100.0
24,42,2,N,4,1,2,2,4,6,1,42,2,N,1,4,100.0
25,46,2,N,11,1,5,1,8,6,2,46,2,N,1,8,100.0
26,39,2,N,6,2,4,0,1,9,1,39,2,N,2,1,100.0
27,19,2,N,5,3,6,0,1,9,2,19,2,N,3,1,100.0
28,44,2,N,10,1,5,1,1,6,2,44,2,N,1,1,100.0
29,66,1,N,7,1,1,1,6,7,1,66,1,N,1,6,100.0
30,53,2,N,9,2,3,0,8,2,1,53,2,N,2,8,100.0
31,36,2,N,5,2,4,0,0,9,1,36,2,N,2,0,100.0
32,49,2,N,5,1,4,1,7,7,2,49,2,N,1,7,100.0
33,21,2,N,8,3,6,0,1,6,1,21,2,N,3,1,100.0
34,72,2,N,9,2,2,0,4,2,1,72,2,N,2,4,100.0
