,INDP,count_target,count_deidentified
3,1070,10,2.0
51,1080,10,2.0
44,1090,9,3.0
59,1170,8,6.0
5,1180,24,8.0
36,1190,14,6.0
18,1270,20,7.0
9,1280,22,10.0
47,1290,3,3.0
39,1370,16,4.0
52,1390,1,0.0
71,1480,1,0.0
58,1590,2,1.0
65,1670,2,0.0
13,1691,14,3.0
56,1770,1,0.0
46,1790,6,3.0
45,1870,8,3.0
67,1880,4,0.0
37,1890,2,1.0
22,1990,29,13.0
50,2070,9,2.0
7,2090,2,1.0
62,2170,2,2.0
60,2180,3,2.0
29,2190,33,9.0
49,2270,1,1.0
23,2280,11,3.0
20,2290,17,4.0
12,2370,25,10.0
42,2380,10,6.0
19,2390,5,2.0
68,2480,4,2.0
41,2490,5,3.0
21,2570,4,2.0
15,2590,3,1.0
10,2670,16,6.0
61,2680,1,0.0
55,2690,3,1.0
1,2770,5,3.0
54,2780,1,1.0
4,2870,12,3.0
6,2880,14,4.0
64,2890,5,2.0
66,2970,3,1.0
16,2980,8,3.0
57,3070,11,3.0
53,3080,10,6.0
34,3095,6,1.0
31,3170,2,2.0
40,3180,5,0.0
0,3291,34,14.0
26,3365,44,13.0
17,3370,17,7.0
32,3380,26,9.0
24,3390,100,46.0
63,3470,3,3.0
30,3490,29,9.0
2,3570,69,25.0
14,3580,48,18.0
25,3590,7,3.0
48,3670,1,1.0
35,3680,6,3.0
27,3690,2,2.0
69,3770,6,1.0
70,3780,1,0.0
72,3790,1,1.0
43,3875,9,4.0
38,3895,20,7.0
8,3960,33,14.0
33,3970,10,2.0
28,3980,26,11.0
11,3990,30,14.0
