,AGEP_x,DEAR_x,DENSITY_x,DEYE_x,DPHY_x,DREM_x,DVET_x,EDU,HISP,HOUSING_TYPE_x,INDP_CAT,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_x,PINCP_DECILE_x,POVPIP_x,PUMA,RAC1P,SEX,AGEP_y,DEAR_y,DENSITY_y,DEYE_y,DPHY_y,DREM_y,DVET_y,HOUSING_TYPE_y,NOC_y,NPF_y,PINCP_y,PINCP_DECILE_y,POVPIP_y,percent_match
0,84,2,2,2,2,2,N,5,0,1,14,1,1,3,2,51500.0,4,321,48-02102,1,2,30,2,2,2,2,2,N,1,2,4,20000.0,4,226,61.53846153846154
1,53,2,2,2,1,1,N,8,0,1,7,6,0,N,1,189400.0,4,95,48-02102,1,2,21,2,2,2,2,2,N,1,0,3,8500.0,2,501,46.15384615384615
2,46,2,2,2,2,2,N,9,0,1,10,6,3,5,1,64500.0,4,137,48-02102,1,1,22,2,2,2,2,2,N,1,0,3,14000.0,3,501,53.84615384615385
3,3,2,2,2,2,2,N,7,1,1,N,1,0,2,1,12510.0,6,81,48-02101,1,1,67,2,2,2,2,2,N,1,0,2,76000.0,8,501,69.23076923076923
4,45,2,7,2,2,2,N,3,1,1,N,N,3,5,1,N,N,226,48-02510,2,1,14,2,7,2,2,2,N,1,1,3,N,N,105,69.23076923076923
5,37,2,2,2,2,2,N,8,0,1,N,4,1,3,1,67700.0,2,N,48-02101,1,1,69,2,2,2,2,2,N,1,0,N,14000.0,3,114,53.84615384615385
6,58,2,6,2,2,2,N,7,0,1,4,4,0,3,1,200.0,8,501,48-02515,1,2,62,2,6,2,2,2,N,1,0,N,70000.0,8,501,76.92307692307693
7,49,2,2,2,2,2,N,5,0,1,N,6,0,N,1,0.0,0,369,48-02102,2,1,40,2,2,2,1,2,N,1,0,4,0.0,0,69,69.23076923076923
8,66,2,2,2,2,2,N,5,0,1,11,6,0,2,1,126000.0,4,92,48-02102,1,2,26,2,2,2,2,2,N,1,0,6,19180.0,4,374,69.23076923076923
9,64,2,2,2,2,2,N,4,0,1,6,4,0,N,1,151000.0,3,501,48-02101,1,2,75,2,2,2,2,2,N,1,0,2,6000.0,2,474,61.53846153846154
10,46,2,6,2,2,2,N,4,0,1,N,6,3,5,1,74300.0,3,501,48-02515,2,1,16,2,6,2,2,2,N,1,2,5,0.0,0,413,61.53846153846154
11,52,2,7,2,2,2,N,6,0,1,14,1,3,6,1,16500.0,7,223,48-02510,1,2,56,2,7,2,2,2,N,1,0,2,25000.0,4,327,53.84615384615385
12,37,2,7,2,2,2,N,8,0,1,3,1,0,2,1,12500.0,7,501,48-02507,2,1,64,2,7,2,2,2,N,1,0,2,375000.0,9,501,76.92307692307693
13,17,1,7,2,2,2,N,9,0,1,11,6,2,4,2,25100.0,7,72,48-02510,1,2,28,2,7,2,2,2,N,1,0,N,49500.0,7,378,53.84615384615385
14,65,1,5,2,2,2,N,4,0,1,N,1,0,3,1,41980.0,0,11,48-02516,6,2,60,2,5,2,2,2,N,1,2,7,0.0,0,208,53.84615384615385
15,40,2,7,2,2,2,N,7,0,1,N,2,0,N,2,96100.0,4,486,48-02507,1,1,92,2,7,2,2,2,N,1,0,N,50000.0,7,410,69.23076923076923
