SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP,DEYE
1,6,2,2,4,0,38-00100,19,0,2,494,2
2,1,2,1,1,0,26-02702,76,0,2,250,2
2,6,8,2,1,0,51-01301,33,0,3,427,2
2,1,2,1,1,0,13-04600,51,1,3,152,2
2,6,2,2,2,0,17-03531,34,2,2,237,2
1,6,2,1,0,0,17-03531,57,1,3,63,2
1,4,1,2,5,0,38-00100,80,0,2,3,2
2,6,1,2,6,0,17-03531,15,2,6,34,2
2,6,2,2,2,0,38-00100,40,2,3,501,2
1,N,6,2,1,0,38-00100,30,0,3,399,2
2,6,1,2,2,2,29-01901,41,1,4,470,2
1,6,2,2,5,0,36-04010,4,2,3,160,2
2,6,2,2,0,0,08-00803,3,0,3,165,2
1,6,1,2,9,0,17-03531,24,0,2,384,2
1,6,2,2,1,1,28-01100,34,0,4,86,2
1,6,2,1,7,0,30-00600,53,0,3,57,2
1,4,6,2,2,0,29-01901,45,1,3,141,2
1,6,2,2,1,0,36-04010,77,0,3,210,2
1,6,2,1,0,0,51-01301,36,0,3,136,2
1,1,9,1,0,0,36-04010,60,0,2,393,2
2,1,2,1,6,0,24-01004,23,0,3,439,2
2,6,2,2,0,0,36-03710,89,4,2,379,2
1,1,9,1,1,0,32-00405,4,3,4,324,2
2,6,1,1,1,0,13-04600,45,0,6,338,2
2,6,2,2,4,0,51-51255,57,5,4,166,2
2,6,1,2,5,0,17-03531,36,3,N,139,2
2,1,2,2,1,0,32-00405,55,0,6,78,2
1,4,3,2,3,0,17-03531,94,0,2,346,2
2,6,2,2,6,0,06-08507,52,1,2,252,2
2,6,6,2,1,0,30-00600,64,1,3,48,2
1,1,1,1,4,0,24-01004,50,1,2,378,2
2,1,1,2,8,0,17-03531,59,0,7,501,2
2,4,2,2,3,0,19-01700,4,0,6,149,2
2,4,2,2,6,4,30-00600,45,0,6,211,2
1,6,2,1,0,0,06-08507,93,0,4,443,2
1,1,2,1,3,0,30-00600,17,0,3,100,2
2,6,2,1,3,0,38-00100,41,0,11,161,2
1,6,2,1,0,0,38-00100,55,1,4,121,2
2,6,9,1,4,0,13-04600,38,0,6,287,2
1,1,2,1,3,0,19-01700,21,0,3,6,2
2,1,1,1,7,0,36-04010,50,0,10,99,2
2,6,7,2,6,4,51-51255,41,0,3,451,2
2,6,2,2,4,0,17-03529,30,0,5,248,2
2,1,1,1,7,0,24-01004,55,0,3,96,2
2,5,2,2,3,0,28-01100,68,0,2,158,2
2,6,8,2,9,1,51-51255,27,0,4,232,1
2,1,9,1,N,0,28-01100,91,2,5,274,2
1,6,1,1,3,0,29-01901,46,1,3,165,2
1,1,1,2,5,0,36-04010,94,9,N,88,2
2,6,1,2,1,4,17-03529,19,0,5,429,1
1,6,2,2,2,1,17-03529,15,5,2,413,2
2,4,2,2,7,0,01-01301,10,0,2,362,2
1,6,1,2,3,0,17-03531,48,0,3,345,2
2,3,2,1,3,0,38-00100,41,3,N,93,2
2,6,1,1,4,0,36-04010,30,6,6,437,2
2,6,2,2,6,3,36-03710,19,0,4,124,2
1,6,2,1,2,0,24-01004,28,0,10,470,2
2,6,2,1,0,0,17-03531,65,0,2,271,2
1,2,1,2,1,0,36-04010,12,1,N,279,2
2,6,2,1,2,0,29-01901,16,4,10,136,2
2,4,2,2,1,0,30-00600,39,0,3,279,2
