,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR
0,17-03531,24,2,4,1,2,0,5,1,2,4873.432954311371,14,10,13200.0,2,196,N,2,2,2,2
1,36-03710,59,2,4,0,3,1,4,1,1,17209.500561714172,15,9,1300.0,8,391,N,2,2,2,2
2,28-01100,46,1,N,0,1,3,N,1,1,8095.8823595047,6,5,19200.0,9,197,N,2,2,2,2
3,17-03529,73,2,6,0,2,0,2,1,1,8864.208405971527,6,7,377000.0,4,74,N,2,2,2,2
4,24-01004,25,1,4,0,1,0,2,1,2,5904.765087127686,N,7,22600.0,4,126,N,2,2,2,2
5,38-00100,67,2,1,0,1,0,6,1,1,5534.947193622589,4,3,16100.0,9,156,N,2,2,2,2
6,28-01100,49,1,6,0,2,0,4,1,2,8007.911654472351,6,8,152220.0,3,501,N,2,2,2,2
7,06-08507,5,2,1,0,1,1,4,1,2,8169.212108612061,12,9,40600.0,5,476,N,2,2,2,2
8,19-01700,48,1,5,0,2,3,2,1,2,4669.996305465698,15,9,15000.0,6,46,N,2,2,2,2
9,06-08507,30,2,1,0,1,1,3,1,1,8430.706845283508,12,5,25400.0,4,501,N,2,2,2,2
10,13-04600,73,2,4,0,2,1,N,1,2,17494.93476486206,11,10,350000.0,3,386,N,2,2,2,2
11,32-00405,79,2,6,0,2,0,6,1,0,21170.376088380814,16,3,22000.0,6,501,N,2,2,2,2
12,30-00600,28,1,1,0,1,3,N,1,2,13350.921343326569,14,5,22600.0,9,362,N,2,2,2,2
13,51-51255,26,1,1,0,1,0,3,1,2,6466.434567928314,N,7,102300.0,7,186,N,2,2,2,2
14,51-51255,66,1,1,0,1,0,2,1,1,7420.104025363922,11,8,21390.0,2,144,N,2,1,2,2
15,24-01004,34,1,3,0,1,0,N,1,2,4864.966271877289,15,4,30000.0,6,501,N,2,2,2,2
16,06-08507,60,2,3,0,1,0,2,1,1,7971.9770703315735,N,5,213600.0,8,362,N,2,2,2,2
17,32-00405,39,1,1,0,6,0,N,1,1,6030.671840667725,1,4,8100.0,4,406,N,2,2,2,2
18,29-01901,27,2,6,0,2,0,2,1,2,8576.973861217499,7,5,192100.0,4,130,N,2,2,2,2
19,26-02702,66,1,6,2,1,0,2,1,1,7476.105974674225,12,5,1300.0,9,252,N,2,2,2,2
20,06-08507,35,1,3,1,2,0,4,1,1,4908.43417263031,N,4,5500.0,3,289,N,2,2,2,2
21,36-04010,28,2,2,0,1,0,N,1,2,3955.0439438819885,12,9,75000.0,9,165,N,2,2,2,2
22,01-01301,73,1,1,0,6,0,N,1,1,9587.865673065186,6,5,18000.0,4,434,N,2,2,2,2
23,08-00803,44,2,N,0,1,0,2,1,2,8556.660462379456,6,7,77620.0,3,74,N,2,1,2,2
24,24-01004,6,1,1,0,2,0,3,1,1,6507.016454696655,9,9,35000.0,3,501,N,2,2,2,2
25,26-02702,34,2,4,0,2,1,4,1,2,7200.96027469635,12,5,60.0,6,83,N,2,2,2,2
26,29-01901,69,1,6,0,1,0,3,1,1,7547.690056324005,12,9,6400.0,2,62,N,2,2,2,2
27,29-01901,49,2,4,0,1,0,N,1,1,9833.668929100037,11,N,40700.0,4,453,N,2,2,2,2
28,06-08507,62,1,1,0,1,0,2,1,1,6461.0374484062195,14,5,37000.0,5,344,N,2,2,2,2
29,29-01901,22,2,4,0,1,0,2,1,2,5777.825382709503,15,9,746000.0,3,115,N,2,2,2,2
30,08-00803,54,2,6,0,1,0,2,1,1,5232.888144016266,11,5,45000.0,6,216,N,2,2,2,2
31,28-01100,6,1,1,0,2,0,2,1,1,6028.283751964569,13,5,24500.0,4,99,N,2,2,2,2
32,24-01004,39,2,4,0,2,0,2,1,2,2519.9529871940613,6,12,61000.0,5,364,N,1,2,2,2
33,24-01004,73,2,1,0,2,0,7,1,1,3063.7205896377563,6,5,278000.0,0,501,N,2,2,2,2
34,36-04010,55,2,6,0,8,0,N,1,1,15107.088190078735,16,5,52000.0,4,165,N,2,1,2,2
35,17-03529,49,1,1,0,2,0,N,1,1,9968.630112171173,N,5,36800.0,1,377,N,2,2,2,2
36,24-01004,31,1,6,0,2,N,5,1,2,3733.9475450515747,12,5,177050.0,5,501,N,2,1,1,1
37,26-02702,70,1,5,0,6,0,5,1,2,14446.030870437622,7,5,113200.0,9,441,N,2,2,2,1
38,29-01901,57,1,6,0,1,1,6,1,2,7748.086431980133,6,12,275000.0,5,246,N,2,2,2,2
39,40-00200,26,2,6,0,1,0,5,1,1,7405.353721141815,14,9,2990.0,4,5,N,2,2,2,2
40,38-00100,24,1,6,0,3,0,2,1,2,8373.757861614227,5,7,355400.0,5,407,N,2,2,2,2
41,40-00200,78,2,N,0,2,1,5,1,1,19950.790122509003,N,6,52000.0,8,321,N,2,2,2,2
42,36-04010,31,2,4,0,2,1,2,1,1,3606.496246814728,N,5,66700.0,3,374,N,2,2,2,2
43,19-01700,58,1,4,0,2,2,N,1,1,8050.604353904724,10,10,132800.0,5,461,N,2,2,2,2
44,17-03529,38,2,6,0,6,0,N,1,1,6424.610796928406,N,3,223400.0,3,499,4,2,2,2,2
45,51-01301,47,2,1,0,1,0,4,1,2,7320.116723537445,12,4,130000.0,2,501,N,1,2,2,2
46,24-01004,50,1,1,0,8,1,2,1,1,6073.924950122833,9,8,32000.0,5,103,N,2,2,2,2
47,38-00100,82,2,1,0,1,0,N,1,1,9471.960383415222,N,7,72500.0,1,341,N,2,2,2,2
48,51-01301,68,1,6,0,1,0,N,1,1,5604.881287574768,14,5,562000.0,4,501,N,2,2,1,2
49,17-03529,47,1,1,0,1,0,6,1,1,2079.6484003067017,10,11,41130.0,5,171,N,2,2,2,2
50,13-04600,40,1,1,0,6,0,2,1,2,9119.587448596954,10,10,32000.0,4,174,N,2,2,2,2
51,32-00405,63,1,1,0,1,4,3,1,1,7292.084506511688,N,4,24000.0,5,318,N,2,2,2,2
52,38-00100,41,1,6,0,8,0,2,1,2,7349.033490180969,6,11,111000.0,9,111,N,2,2,2,2
53,17-03529,46,1,3,0,3,0,N,1,2,16251.39664030075,N,1,90000.0,3,189,N,2,2,2,2
54,51-51255,31,1,1,0,1,6,2,1,1,5121.643825531006,15,5,3500.0,3,315,N,2,2,2,2
55,24-01004,21,2,6,0,2,0,2,1,1,4487.2225794792175,4,7,203100.0,1,296,N,2,2,2,2
56,24-01004,60,2,1,0,1,1,3,1,1,3114.9561247825623,5,8,27000.0,3,2,N,2,2,2,2
57,24-01004,9,1,4,0,2,0,2,1,2,8041.028567314148,N,10,12040.0,5,0,N,2,N,2,2
58,19-01700,58,1,4,0,1,0,5,1,2,14369.492920398712,10,9,32600.0,5,191,N,2,2,2,2
59,08-00803,18,2,1,0,1,0,5,1,1,3696.5504274368286,N,9,40000.0,7,74,N,2,2,2,2
60,13-04600,68,1,1,3,1,0,2,1,2,4362.995103359222,6,4,79200.0,6,124,N,2,2,1,2
61,17-03529,35,2,4,0,2,0,2,1,1,4094.8652682304382,16,7,24000.0,6,294,N,2,2,2,2
62,13-04600,64,1,1,0,2,0,2,1,1,5435.551544189453,N,5,8800.0,8,442,N,2,2,2,2
63,06-07502,30,2,6,0,1,0,2,1,1,4175.865019321442,N,10,39000.0,2,199,N,2,2,2,2
64,51-01301,73,2,4,0,1,0,4,1,1,1840.4255685806274,10,5,51000.0,4,501,N,2,2,2,2
65,17-03529,44,1,1,0,1,0,3,1,2,6227.957647800446,0,7,100000.0,5,82,N,2,2,2,2
66,13-04600,24,1,1,0,2,0,N,1,1,13187.984570026398,3,5,20000.0,3,48,N,2,2,2,2
67,17-03529,32,1,1,0,2,0,2,1,1,5371.06338596344,6,5,624000.0,4,317,N,2,2,2,2
68,17-03531,59,1,1,0,2,0,4,1,1,6008.306208610535,N,7,16500.0,6,227,N,2,2,2,2
69,38-00100,88,2,1,2,9,3,N,1,1,8278.935314178467,N,8,516000.0,4,153,N,2,1,2,2
70,17-03529,66,1,6,0,1,0,6,1,1,5363.387526035309,N,9,342300.0,3,261,N,2,2,2,2
71,01-01301,66,1,6,0,2,0,3,1,1,9790.06043767929,N,10,16300.0,5,309,N,2,2,2,2
72,36-04010,41,2,1,0,1,0,3,1,2,18722.924928426743,6,3,140000.0,4,106,N,2,2,2,2
73,26-02702,24,1,3,0,8,0,2,1,2,6388.002549171448,0,9,14000.0,7,312,N,2,2,2,2
74,29-01901,42,1,1,0,1,0,2,1,1,8422.790809631348,12,8,86000.0,0,501,N,2,2,2,2
75,24-01004,57,1,1,0,2,0,3,1,2,15079.405497074127,N,9,65000.0,1,230,N,2,2,2,2
76,38-00100,18,2,6,0,2,0,3,1,2,5275.143450260162,4,9,38000.0,8,501,N,2,2,2,2
77,51-51255,63,2,6,0,1,0,4,1,1,7350.626851081848,14,11,2600.0,6,329,N,2,2,2,2
78,24-01004,13,2,6,0,8,0,3,1,2,8769.534259796143,11,12,36300.0,6,501,N,2,2,2,2
79,08-00803,40,1,6,0,2,0,2,1,1,11307.000547409058,14,5,108900.0,8,0,N,2,2,2,2
80,28-01100,64,1,1,0,1,0,2,1,2,1668.670636177063,12,5,24000.0,2,501,N,2,2,2,2
81,19-01700,22,2,6,0,2,0,2,1,1,8316.39882183075,12,12,51300.0,3,0,N,2,2,2,2
82,30-00600,34,1,1,0,1,0,2,1,2,11226.61002254486,14,7,74800.0,9,296,N,2,2,2,2
83,17-03529,24,1,1,1,1,0,N,1,2,9177.440508365631,14,7,278700.0,7,501,N,2,2,2,2
84,36-04010,50,2,1,1,3,1,2,1,2,5929.692593574524,7,3,153000.0,6,367,N,2,2,2,2
85,40-00200,80,2,6,0,2,1,6,1,1,17971.7255589962,12,9,191000.0,0,476,N,2,2,2,1
86,38-00100,31,2,2,0,6,0,5,1,2,10347.053326129913,14,11,52000.0,8,266,N,2,2,2,2
87,51-51255,31,1,1,0,1,0,N,1,2,1999.3535552024841,14,9,29900.0,4,501,N,2,2,2,2
88,24-01004,61,2,6,0,2,0,3,1,2,5651.594489574432,7,6,4000.0,1,501,N,2,2,2,2
89,06-07502,33,2,4,0,2,0,6,1,2,5554.897399902344,14,9,34600.0,4,134,N,2,2,2,2
90,19-01700,64,2,6,0,1,0,4,1,1,3829.9123916625977,9,5,14400.0,6,178,N,2,2,2,2
91,19-01700,31,2,6,0,2,2,3,1,2,8839.505454063416,11,9,83500.0,1,456,N,2,2,2,2
92,17-03529,18,1,2,0,2,1,3,1,1,8592.212327480316,6,7,19000.0,4,221,N,2,2,2,2
93,24-01004,6,1,1,0,1,0,6,1,2,5955.274237155914,16,12,11500.0,5,86,N,2,2,2,2
94,19-01700,56,2,1,0,1,0,2,1,1,1438.7424097061157,6,8,29000.0,6,501,N,2,2,2,2
95,38-00100,50,2,4,0,1,0,2,1,2,4122.3116908073425,10,7,261000.0,2,362,N,2,2,2,2
96,06-08507,25,1,6,0,2,1,N,1,1,5489.099014759064,N,9,611000.0,4,198,N,2,2,2,2
97,32-00405,16,1,6,0,2,4,N,1,2,15123.961022853851,15,5,159000.0,6,354,N,2,2,2,2
98,32-00405,29,2,4,4,2,0,2,1,1,2740.0945410728455,5,8,13000.0,4,260,N,2,2,2,2
99,30-00600,46,2,5,0,6,0,4,1,1,16486.44568657875,9,7,243000.0,5,349,N,2,2,1,2
100,28-01100,29,2,4,0,1,0,4,1,2,4547.666803359985,16,7,8000.0,1,501,N,1,2,2,2
101,30-00600,39,2,1,0,1,3,2,1,1,9045.35557603836,10,10,550100.0,8,N,N,2,2,2,2
102,17-03529,59,1,6,0,1,0,N,1,1,8852.594054698944,12,5,104000.0,2,182,N,2,2,2,2
103,51-01301,69,1,1,0,1,0,3,1,2,3678.078375816345,N,5,3000.0,2,501,N,2,2,2,2
104,06-07502,45,2,5,0,1,9,3,1,1,6768.530717849731,N,5,43000.0,5,501,N,2,2,2,2
105,06-07502,67,1,2,0,1,0,3,1,1,1640.2557001113892,N,9,19000.0,1,501,N,2,2,2,2
106,30-00600,1,1,1,0,1,2,3,1,1,4039.9099383354187,N,5,34000.0,6,109,N,2,2,2,2
107,28-01100,70,2,6,0,2,0,2,1,2,14044.933506011963,9,4,1000.0,0,501,N,2,2,2,2
108,51-01301,30,2,6,0,2,0,4,1,2,12997.101496219635,10,10,57000.0,5,118,N,2,2,2,2
109,28-01100,66,2,6,0,1,0,3,1,2,5914.227620124817,N,7,31510.0,3,212,N,2,2,2,2
110,36-04010,61,2,3,0,6,4,3,1,1,15525.191167354584,15,5,49000.0,3,93,N,2,2,2,2
111,38-00100,18,1,6,0,1,1,5,1,2,14135.118514060974,N,11,4600.0,4,202,N,2,2,2,2
112,24-01004,68,2,1,0,1,1,N,1,1,5211.600373744965,3,9,21000.0,4,396,N,2,2,2,2
113,36-03710,10,1,6,0,1,0,N,1,1,8256.845005512238,N,3,143400.0,6,152,6,2,2,2,2
114,26-02702,28,2,1,0,2,0,5,1,2,9464.112690448761,N,3,16200.0,5,286,N,2,2,2,2
115,40-00200,51,2,6,0,9,2,N,1,2,13993.643296718597,7,10,38600.0,0,101,N,2,2,2,2
116,36-03710,78,1,1,0,1,0,2,1,1,3827.5926456451416,N,10,15000.0,1,501,N,2,2,2,2
117,32-00405,53,1,6,0,1,0,3,1,1,4970.235486984253,13,4,42510.0,3,157,N,2,2,2,2
118,40-00200,52,1,6,0,2,0,5,1,1,8962.221580505371,7,8,25000.0,2,12,N,2,2,2,2
119,06-07502,47,1,3,0,1,5,4,1,1,6676.3051924705505,2,5,82300.0,6,118,N,2,2,2,2
120,28-01100,1,2,6,0,1,0,N,1,1,2946.0091004371643,6,5,48000.0,6,457,N,2,2,2,2
121,29-01901,60,2,1,0,2,0,5,1,1,20074.693459033966,10,9,123610.0,8,337,N,2,2,2,2
122,26-02702,64,2,6,0,2,2,2,1,2,6933.816526889801,N,7,127000.0,2,159,N,1,2,2,2
123,40-00200,25,1,6,0,1,0,4,1,1,16422.953378915787,14,9,123600.0,0,501,N,2,2,2,2
124,13-04600,49,2,6,0,2,1,8,1,1,7655.333691596985,11,9,15350.0,8,501,N,2,2,2,2
125,24-01004,73,1,5,0,1,0,3,1,1,10512.251266002655,11,12,38000.0,2,18,N,2,2,2,2
126,17-03531,90,2,1,0,1,1,N,1,1,10199.230049610138,N,7,10000.0,6,112,N,2,2,2,2
127,30-00600,30,1,2,0,1,4,2,1,1,1707.8778586387634,14,9,216000.0,7,57,N,2,1,2,2
128,51-01301,47,2,1,0,1,1,6,1,1,10888.969818115234,3,11,87250.0,3,134,N,2,2,2,2
129,51-51255,33,2,3,1,9,2,3,1,2,6407.894176006317,11,5,90840.0,5,501,N,2,2,2,2
130,51-01301,59,2,6,0,2,0,10,1,1,2013.5512599945068,N,7,25000.0,4,406,N,2,2,2,2
131,28-01100,0,2,6,0,1,0,2,1,1,13641.656986236572,14,9,21000.0,4,34,N,2,2,2,2
132,30-00600,64,2,1,0,2,4,2,1,1,8116.760073661804,N,7,64000.0,3,212,N,2,2,2,2
133,01-01301,67,2,6,0,8,2,N,1,1,2199.468749523163,14,5,148000.0,7,500,N,2,2,2,2
134,06-07502,73,2,4,0,1,0,N,1,2,9611.779755115509,7,9,20200.0,8,242,N,2,2,2,2
135,17-03529,60,2,1,0,1,0,3,1,1,7911.907754898071,6,5,50900.0,9,323,N,2,2,2,2
136,51-01301,30,2,2,0,2,1,3,1,1,14073.901041507721,9,4,22300.0,4,285,N,2,2,2,1
