,SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP
0,2,6,2,2,3,0,26-02702,48,0,3,0
1,1,6,1,1,6,0,38-00100,27,0,3,501
2,2,1,2,2,6,0,40-00200,41,0,5,149
3,2,1,1,1,6,0,51-01301,86,0,4,472
4,1,3,1,1,6,0,24-01004,38,1,5,22
5,1,6,2,1,6,0,08-00803,37,4,6,114
6,1,1,1,1,5,0,38-00100,29,2,3,190
7,2,5,1,2,6,0,30-00600,22,0,6,465
8,2,6,2,2,0,4,30-00600,89,0,N,97
9,1,1,1,2,6,0,28-01100,2,0,5,501
10,2,2,8,1,5,0,13-04600,60,0,6,501
11,2,4,2,2,9,0,26-02702,19,0,N,499
12,2,1,6,1,6,0,36-04010,38,1,3,501
13,1,6,1,1,4,0,51-51255,41,0,2,63
14,1,5,8,2,3,0,17-03529,20,0,2,86
15,1,1,1,1,8,0,51-51255,28,0,2,246
16,1,4,1,1,2,0,36-04010,56,1,2,221
17,1,2,9,2,4,0,06-07502,76,0,N,501
18,1,3,1,1,2,0,38-00100,62,2,3,0
19,2,1,2,1,5,0,06-07502,42,0,8,116
20,2,6,2,1,1,0,51-51255,7,0,5,0
21,2,6,1,1,7,0,06-07502,32,0,N,501
22,1,4,1,1,5,4,38-00100,52,0,4,243
23,2,6,1,1,8,0,51-51255,29,3,N,378
24,2,1,1,1,3,0,28-01100,64,4,3,0
25,1,1,6,1,8,2,08-00803,39,1,N,142
26,1,6,2,1,4,0,24-01004,10,2,6,253
27,1,6,2,2,5,0,13-04600,61,0,2,112
28,1,6,6,1,1,0,06-07502,53,0,N,211
29,2,6,1,1,3,0,40-00200,54,1,5,22
30,2,4,1,2,9,0,51-51255,56,0,2,0
31,1,1,1,1,3,0,06-07502,20,0,4,102
32,1,6,6,2,0,0,13-04600,19,0,2,48
33,1,6,1,1,8,0,51-51255,31,0,N,176
34,2,6,3,2,0,0,51-01301,10,1,2,377
35,1,3,2,1,0,1,38-00100,40,0,4,354
36,2,6,6,2,2,0,51-01301,48,1,3,352
37,2,6,6,2,3,0,06-07502,33,0,N,114
38,2,4,3,1,0,1,08-00803,16,0,N,66
39,2,6,2,2,2,0,06-08507,24,0,N,158
40,2,6,2,1,6,0,38-00100,16,3,2,321
41,1,4,4,1,7,0,06-07502,59,0,N,427
42,2,3,1,2,4,0,51-01301,52,0,2,242
43,2,6,1,1,6,0,38-00100,57,0,3,296
44,1,1,2,1,9,0,36-03710,61,0,3,376
45,1,4,2,2,7,0,40-00200,57,0,3,0
46,2,6,1,2,4,4,24-01004,62,0,N,307
47,2,1,2,1,6,0,30-00600,49,6,4,300
48,1,6,9,2,2,0,24-01004,73,1,5,210
49,2,6,3,1,1,0,06-08507,41,0,4,468
50,1,6,1,2,4,0,40-00200,18,N,2,501
51,2,6,3,1,5,0,32-00405,55,0,4,484
52,1,3,1,2,4,1,06-08507,64,1,5,501
53,2,4,2,2,6,0,13-04600,20,0,4,182
54,2,6,2,1,3,0,38-00100,62,0,3,273
55,2,6,2,1,6,0,13-04600,22,0,5,243
56,1,6,2,2,8,0,30-00600,52,0,N,501
57,2,6,1,1,6,0,30-00600,45,0,4,128
58,2,6,2,2,5,0,51-01301,16,1,2,76
59,2,4,6,0,5,0,06-07502,43,2,2,366
60,2,4,1,1,4,0,01-01301,10,0,6,374
61,1,1,1,2,3,0,08-00803,26,0,N,44
62,1,1,6,1,3,0,24-01004,33,1,4,501
63,1,6,1,2,4,0,26-02702,74,0,N,0
64,1,5,2,1,N,0,19-01700,50,N,3,11
65,2,6,8,1,9,0,06-07502,29,0,2,19
66,2,2,2,1,0,4,19-01700,57,0,3,144
67,2,3,2,2,5,0,36-03710,41,0,2,42
68,2,1,1,1,6,0,06-08507,29,0,2,387
69,1,1,1,1,8,0,38-00100,85,0,N,249
70,2,4,1,2,7,0,30-00600,47,1,N,200
71,2,4,1,1,7,1,51-01301,30,0,2,501
72,1,3,1,1,7,0,36-04010,60,3,3,266
73,2,6,8,2,8,0,40-00200,30,0,2,501
74,1,1,1,2,2,0,36-04010,27,0,5,109
75,1,1,6,1,0,0,06-07502,46,3,2,76
76,1,6,2,1,3,1,38-00100,37,0,5,501
77,1,6,2,2,N,1,13-04600,50,0,4,169
78,1,6,2,1,1,0,06-07502,50,0,N,35
79,2,6,6,2,2,1,36-04010,65,0,4,448
80,2,6,6,1,3,0,17-03531,5,2,3,285
81,1,5,9,1,2,0,51-01301,62,1,4,418
82,2,6,1,2,9,0,13-04600,48,0,N,55
83,2,6,6,1,3,1,38-00100,35,0,4,63
84,1,6,1,1,2,0,01-01301,39,0,N,0
