AGEP,RAC1P,MSP,SEX,HOUSING_TYPE,OWN_RENT,DVET,PINCP_DECILE,EDU
59,3,6,2,1,1,N,1,7
86,2,3,1,1,2,N,3,10
26,1,5,2,1,1,N,0,9
65,9,1,1,1,1,N,7,2
65,1,1,2,1,2,N,9,9
24,6,6,2,1,1,N,8,7
15,2,5,1,1,2,N,5,4
66,6,4,2,1,2,N,3,3
83,1,6,2,1,1,N,2,6
37,2,2,2,1,1,N,3,5
36,2,1,1,1,1,N,6,4
42,2,6,2,1,2,N,3,7
95,4,4,2,1,2,N,7,5
25,1,6,2,2,1,N,3,5
50,1,1,2,1,1,N,6,5
63,6,1,2,1,1,N,2,12
26,1,4,2,1,2,N,2,5
33,1,6,1,1,1,N,9,12
15,1,1,2,1,1,N,8,8
48,2,1,1,1,2,N,2,9
43,9,5,2,1,1,5,7,5
47,2,6,1,1,2,N,0,3
68,2,1,1,1,0,N,2,1
41,8,6,2,1,1,N,2,7
42,6,5,1,1,2,N,2,12
24,1,1,2,1,1,5,5,5
54,2,1,2,1,1,3,7,5
39,2,6,1,1,1,N,0,9
85,6,1,2,1,1,N,4,10
20,2,1,2,1,1,N,8,3
65,2,4,2,1,1,N,7,2
5,1,6,2,1,1,N,7,7
51,6,3,2,1,2,N,4,5
49,2,6,2,1,1,N,5,3
27,2,1,2,1,1,N,2,9
33,6,1,1,1,1,N,2,9
28,1,1,2,1,2,5,9,7
54,1,2,2,1,2,N,5,7
44,1,6,1,1,2,N,5,5
55,1,6,2,1,2,N,1,10
57,1,1,1,1,2,N,8,N
64,2,5,1,1,2,N,7,3
53,6,1,2,1,1,N,5,9
25,2,1,1,1,2,N,0,8
58,1,1,1,1,2,N,5,8
32,2,1,1,1,2,N,6,4
23,1,6,1,1,1,N,4,5
48,2,1,1,1,1,N,0,5
56,1,1,2,1,1,N,7,N
51,3,6,2,1,2,N,2,9
29,2,4,1,1,1,N,8,4
52,2,1,2,1,2,N,7,9
54,2,6,1,1,1,N,9,1
27,1,1,1,1,1,N,0,10
48,9,4,2,1,2,N,4,7
36,1,4,2,1,1,N,9,3
60,2,1,1,1,1,N,2,5
65,1,6,1,1,2,N,8,5
33,2,2,1,1,1,N,8,5
18,1,4,1,1,1,N,6,9
35,2,4,2,1,1,N,5,9
33,3,4,1,1,2,N,6,5
82,2,1,2,1,1,N,2,7
13,1,6,2,1,2,N,3,4
28,2,3,2,1,1,N,2,1
39,1,5,2,1,2,1,2,10
66,1,1,1,1,2,N,5,12
64,1,1,1,2,1,N,0,9
42,2,6,1,1,1,N,0,5
46,1,1,2,1,2,1,6,3
55,2,1,1,1,2,N,8,5
58,1,1,2,1,2,N,1,5
43,1,1,2,1,1,N,3,1
56,1,1,2,1,1,N,8,5
2,1,1,2,1,1,N,1,5
68,2,1,2,1,1,N,0,5
43,2,4,1,1,1,N,8,9
58,1,4,2,1,1,N,4,11
59,1,3,2,1,2,N,7,10
54,2,6,2,1,2,N,6,7
27,1,5,1,1,1,N,9,7
36,1,1,1,1,1,N,1,9
33,2,1,1,1,1,N,5,10
73,3,5,2,1,2,N,3,11
55,2,6,1,1,2,N,6,4
70,1,1,1,1,2,N,0,5
25,2,4,1,1,1,N,5,4
20,1,4,2,1,1,N,2,8
57,1,1,2,1,1,N,7,7
24,1,2,1,1,2,N,6,12
36,1,1,1,1,2,N,2,5
53,3,6,2,1,2,N,8,9
16,1,6,2,1,1,N,2,5
44,1,6,2,2,2,N,N,5
46,8,1,1,1,2,N,5,3
33,1,3,2,3,1,N,9,7
22,6,2,1,1,1,N,3,1
25,1,6,2,1,1,N,7,11
45,1,6,2,1,1,N,7,9
31,8,6,1,1,2,N,0,7
18,1,1,2,1,2,N,6,7
55,1,6,2,1,2,N,7,10
3,1,1,2,1,2,N,1,7
53,1,1,1,1,2,1,0,4
67,1,6,2,1,2,N,3,6
33,2,1,2,1,1,N,1,10
18,2,1,2,1,1,N,0,3
23,1,6,1,1,1,N,1,7
89,1,1,2,1,1,N,1,3
66,1,1,1,1,1,N,3,5
59,9,2,2,1,1,N,1,5
60,1,1,1,1,0,N,3,11
81,2,1,1,1,1,N,4,2
76,2,1,1,1,1,N,3,11
33,1,6,1,1,1,N,7,7
27,2,1,2,1,2,N,3,9
25,1,1,1,1,1,N,0,5
72,1,6,2,1,1,N,8,7
60,2,1,1,1,2,N,8,4
61,1,6,2,1,1,N,5,8
26,1,6,2,1,2,N,3,5
60,1,1,2,1,1,N,9,1
62,2,1,1,1,1,N,3,5
83,2,6,2,1,1,N,2,7
30,1,4,2,1,2,N,6,8
45,1,3,2,1,2,N,3,7
47,1,N,2,1,1,N,6,5
43,1,2,2,1,2,N,3,10
89,2,6,1,1,1,N,0,7
60,1,4,1,1,1,N,2,7
40,2,4,2,1,2,N,2,9
65,2,1,1,1,1,N,3,7
25,6,6,1,1,1,N,4,6
36,1,2,2,1,1,N,5,5
59,6,3,2,1,1,N,2,3
58,1,1,1,1,1,N,1,5
66,1,4,1,1,1,N,0,5
51,1,1,1,1,1,N,6,5
31,1,1,1,1,2,N,9,5
30,2,1,1,1,2,N,1,8
40,1,4,1,1,2,N,8,10
36,5,4,2,1,2,N,2,3
63,1,6,1,1,1,N,4,5
4,1,1,2,1,1,N,8,7
40,2,6,1,1,1,N,6,9
78,1,1,1,1,2,N,1,5
51,1,1,2,1,1,N,3,7
57,1,6,2,1,1,N,9,7
48,1,3,2,1,2,N,1,10
63,3,1,2,1,1,N,3,7
38,1,6,1,1,1,N,0,9
40,1,1,2,1,2,N,9,4
16,1,1,2,1,2,N,1,11
19,1,1,2,1,1,N,6,5
45,2,1,2,1,2,N,2,10
52,3,1,1,1,2,N,3,8
50,1,1,1,1,1,N,8,5
77,1,6,1,1,1,N,5,1
80,2,1,1,3,2,N,8,10
81,1,6,1,1,2,N,9,6
25,1,3,2,1,1,N,2,5
73,2,4,2,1,2,N,3,8
31,2,6,1,1,2,N,6,8
69,2,3,1,1,1,N,3,11
32,1,4,1,1,1,N,5,4
25,2,1,1,1,1,N,6,5
21,3,1,2,1,1,N,1,5
46,1,1,2,3,1,N,7,8
18,1,1,2,1,1,N,0,7
50,2,4,1,1,2,1,9,8
21,2,1,1,1,2,N,3,10
37,1,1,2,1,2,N,1,10
63,5,6,2,1,1,N,2,9
80,1,4,1,1,2,4,4,11
45,6,1,2,1,1,1,1,7
67,2,3,1,1,1,N,4,3
57,1,1,2,1,2,N,8,4
56,2,2,2,1,1,N,5,5
81,2,1,2,1,2,1,2,N
59,2,3,1,1,1,N,5,6
66,2,6,2,1,2,N,5,9
53,1,1,1,1,1,4,7,8
26,2,1,2,1,2,N,0,5
45,2,2,1,1,2,N,5,7
87,1,6,2,1,2,N,9,9
59,3,2,1,1,2,N,8,5
85,2,3,1,1,2,N,1,5
52,1,6,2,1,2,N,5,5
18,2,4,1,1,1,N,9,1
68,1,2,1,1,1,N,0,5
32,1,4,2,1,1,4,9,7
74,1,5,1,1,1,N,6,5
79,9,6,1,1,2,N,5,11
60,1,1,1,1,2,N,7,10
62,2,1,1,1,1,N,9,8
70,1,6,1,1,2,N,4,7
30,2,1,1,1,2,N,9,10
41,2,1,1,1,1,N,3,7
83,1,1,1,1,1,N,3,4
27,6,1,1,1,1,N,7,5
53,1,1,2,1,1,N,1,7
45,2,3,1,1,2,N,3,9
85,1,6,1,1,2,N,1,10
28,1,6,1,1,2,N,2,4
31,6,1,1,1,1,N,6,7
52,1,4,2,3,1,N,3,9
44,1,1,1,1,1,N,6,9
69,6,1,2,1,2,N,5,1
27,2,1,1,1,2,N,8,10
77,1,6,1,1,1,N,5,3
70,1,3,2,1,2,N,4,5
36,1,6,2,1,2,N,3,5
54,1,1,1,1,2,N,3,7
26,1,6,2,1,1,N,6,7
53,1,1,1,1,1,N,9,4
32,1,1,2,1,1,N,4,5
69,1,2,2,1,1,N,4,10
27,1,1,1,1,1,N,1,5
81,2,1,2,1,1,N,4,9
26,3,1,1,1,1,N,2,7
27,2,4,1,1,2,N,2,5
57,1,1,1,1,2,N,1,9
69,1,1,2,1,2,N,9,9
57,2,6,1,1,1,N,0,9
47,6,6,1,1,2,6,3,9
61,2,1,1,1,2,N,2,4
35,4,1,1,1,1,N,2,9
44,2,6,2,3,1,N,2,4
52,1,2,2,1,2,N,0,11
67,2,6,2,1,2,N,8,9
52,2,1,2,1,2,N,9,6
28,8,6,2,1,1,N,5,9
60,2,1,1,1,2,N,8,5
38,1,6,2,1,1,N,8,10
13,2,6,1,1,1,N,3,5
48,3,1,1,1,2,N,6,7
77,2,3,2,1,2,N,7,5
23,3,6,2,1,2,N,9,5
58,8,1,2,1,2,N,7,9
67,1,1,2,1,1,N,0,9
57,1,2,1,1,1,4,1,7
85,1,2,1,1,0,N,0,7
25,1,1,1,1,2,N,N,5
82,1,6,2,1,1,N,4,4
12,1,6,2,1,1,N,4,N
55,1,6,1,1,1,N,6,5
32,6,1,1,1,1,N,1,7
57,1,1,1,1,1,N,0,8
67,1,6,2,1,2,N,4,5
43,1,4,2,1,1,N,1,5
65,2,1,2,1,1,N,9,10
33,3,6,2,2,2,N,7,4
21,1,1,1,1,2,N,0,1
32,2,6,2,1,2,N,3,8
31,1,3,2,1,2,N,3,8
74,1,1,2,1,2,N,8,10
64,6,1,2,1,2,N,7,1
71,7,6,1,1,2,N,4,3
38,6,1,2,1,1,N,N,3
54,1,2,2,1,2,N,5,5
68,1,1,2,1,1,N,6,5
72,1,3,2,1,1,N,5,9
68,2,6,1,1,2,N,5,6
70,1,1,2,1,1,N,8,5
19,6,3,1,1,2,N,1,11
78,9,2,1,3,1,N,8,3
68,1,1,2,1,1,N,8,10
56,1,1,1,1,2,N,5,5
34,1,1,2,1,1,N,4,3
34,1,4,1,1,2,N,5,5
20,2,1,1,1,2,N,1,4
49,3,6,1,1,2,N,7,12
28,2,1,1,1,1,N,8,7
62,2,1,2,1,2,N,5,10
17,1,4,1,1,2,N,5,7
70,2,1,1,1,1,N,2,5
28,1,4,1,1,1,N,4,2
31,2,6,1,1,1,N,0,6
57,9,4,2,1,1,N,2,9
57,2,6,1,1,1,N,9,10
47,1,1,2,1,1,N,N,10
30,8,6,1,1,1,3,6,5
60,8,1,2,1,1,N,6,5
23,1,1,2,1,2,N,6,9
18,2,6,1,1,1,N,2,7
76,1,4,2,1,1,N,8,10
33,1,1,2,1,1,N,8,3
25,2,6,1,1,2,N,2,5
26,1,6,2,1,1,N,9,10
23,1,1,1,1,1,N,4,7
78,1,6,1,1,1,N,N,5
6,1,1,2,1,2,N,8,12
36,1,1,2,1,2,N,0,9
39,1,4,2,1,1,N,9,8
38,1,4,1,1,1,3,9,7
74,1,6,2,1,2,N,1,9
31,2,4,2,1,2,N,4,9
27,2,2,1,1,1,N,5,9
37,1,1,1,1,1,N,0,7
95,2,5,1,1,1,N,2,9
58,1,3,2,1,1,N,1,7
54,8,1,1,1,2,N,8,7
67,2,1,2,1,1,N,4,9
68,1,4,2,1,2,N,5,5
17,3,4,2,1,1,N,6,7
52,3,1,2,1,2,6,2,4
55,2,5,1,1,2,N,3,4
59,2,1,1,1,1,N,0,5
59,2,3,1,1,2,N,3,5
64,6,6,2,1,2,N,4,2
48,9,1,1,1,1,N,1,5
26,7,6,1,1,2,N,9,11
8,1,6,2,1,1,N,4,9
24,1,4,2,1,1,N,6,7
55,1,1,2,1,1,3,N,7
51,1,1,2,1,1,N,3,7
77,1,1,2,1,1,N,7,1
76,1,1,2,1,1,N,7,7
25,3,6,1,1,2,N,8,10
26,3,6,2,1,1,N,6,4
71,1,1,2,1,1,N,2,9
59,1,4,1,1,1,N,6,7
25,2,6,2,1,2,N,9,7
81,1,6,1,1,1,N,5,5
59,2,1,2,1,2,N,3,9
39,1,1,2,1,2,N,3,8
42,2,1,2,1,2,N,3,5
41,2,4,1,1,1,N,1,6
71,6,6,1,1,1,N,8,10
45,2,1,1,1,2,N,7,3
8,1,6,1,1,1,N,4,8
67,1,1,2,1,2,N,2,7
66,2,6,1,1,1,N,9,4
25,2,6,1,1,2,N,2,5
31,1,1,1,1,1,3,2,9
68,2,1,2,1,1,N,7,7
25,1,1,1,1,2,N,6,7
70,1,1,1,1,1,N,0,4
57,2,N,1,1,1,N,8,7
32,2,6,2,1,1,N,2,7
26,2,6,1,1,2,N,3,1
71,9,1,1,1,1,N,N,9
19,1,1,2,1,1,N,9,10
59,6,1,1,1,2,N,5,7
41,2,3,1,1,2,N,4,7
20,2,6,1,1,1,N,4,5
80,2,5,1,1,2,N,7,9
68,2,6,1,1,2,N,4,1
48,1,3,1,1,2,N,N,6
61,2,1,2,1,1,N,9,7
71,3,1,2,1,2,N,2,7
50,1,4,2,1,1,N,8,3
32,1,6,1,1,2,N,2,10
22,2,3,2,1,1,4,9,3
45,2,6,1,1,1,N,9,6
35,1,4,2,1,2,N,5,10
48,1,4,2,1,1,N,0,7
66,1,1,1,1,1,N,8,8
51,1,4,1,1,2,N,5,10
41,8,6,2,1,1,N,5,3
50,1,4,1,1,1,N,N,4
76,2,6,1,1,1,N,5,7
77,1,3,2,1,1,N,4,10
55,2,6,1,1,2,N,5,7
28,1,6,1,1,2,N,9,1
52,6,1,2,1,2,N,6,5
33,1,N,1,1,1,N,7,8
35,1,N,1,1,1,N,0,10
27,1,6,1,2,1,N,9,9
58,2,1,2,1,1,N,9,9
67,1,4,2,1,1,N,2,10
41,2,1,1,1,1,N,4,5
21,1,6,2,1,1,N,2,5
62,6,2,1,1,1,N,0,9
45,6,1,1,1,0,N,4,7
58,2,2,2,1,1,N,4,9
19,1,2,2,1,2,N,6,5
9,2,3,2,1,2,N,7,4
77,3,6,2,1,2,N,1,1
56,1,4,2,1,2,N,2,5
76,1,1,1,1,1,N,3,9
32,8,1,2,1,2,N,8,5
72,2,3,2,1,2,N,5,7
17,2,6,1,1,2,N,0,5
57,8,1,2,1,1,N,8,9
26,1,1,1,1,1,N,5,5
61,1,2,2,1,2,N,1,5
45,1,1,2,1,2,N,2,8
63,1,5,1,1,1,N,4,8
38,2,1,1,1,1,N,6,11
48,2,4,1,1,1,N,5,7
90,1,1,2,1,1,N,2,9
76,2,1,2,1,1,N,7,3
40,1,1,1,1,1,N,0,12
52,1,6,2,1,2,N,0,3
51,1,1,1,1,2,N,2,7
76,1,1,1,1,1,N,0,6
72,6,4,2,1,1,N,7,7
65,3,1,2,1,2,N,3,10
58,2,1,1,1,2,N,8,4
73,6,1,2,1,1,N,3,8
67,1,1,1,1,2,N,4,3
68,1,6,2,1,1,N,5,9
77,1,1,1,1,2,N,7,7
34,9,5,1,1,1,N,9,4
54,2,4,2,1,2,N,4,4
65,2,1,1,1,0,N,4,7
33,2,1,1,1,2,N,7,10
43,1,2,2,1,1,N,0,7
36,2,4,1,1,2,N,N,8
75,1,4,2,1,1,N,9,5
29,1,6,1,1,1,N,7,3
76,6,2,1,1,1,N,2,7
34,1,6,1,1,2,N,9,2
66,1,3,2,1,2,1,5,3
88,2,1,2,1,1,N,7,7
82,2,3,1,1,1,N,0,7
86,1,4,2,1,1,N,3,9
71,2,6,1,1,2,N,8,5
69,1,1,2,1,2,N,5,11
27,1,1,2,1,1,N,1,8
80,1,4,2,1,1,N,6,4
63,2,6,1,1,1,N,6,5
26,2,6,1,1,1,N,3,5
10,2,6,1,1,2,N,3,3
70,1,2,2,1,2,5,0,11
56,1,1,1,1,2,N,5,4
77,1,1,1,1,1,N,5,12
28,2,6,2,1,1,N,7,9
40,1,6,1,1,1,N,9,7
40,6,6,1,1,2,N,7,9
75,9,6,2,1,1,N,3,8
72,2,1,2,1,2,N,N,5
28,2,1,2,1,1,N,7,5
27,1,4,1,1,2,N,3,8
18,1,1,2,1,2,N,1,12
23,2,1,1,1,1,N,3,5
61,1,6,1,1,1,N,8,9
76,6,6,2,1,1,N,6,4
90,2,1,1,1,2,N,4,7
53,2,6,1,1,1,N,9,7
53,2,6,1,1,0,N,4,7
39,1,1,1,3,1,N,5,7
46,3,5,1,1,2,2,8,9
36,3,5,1,1,1,N,2,8
8,2,6,2,1,1,N,1,7
64,1,1,1,2,2,3,2,8
66,2,1,2,1,2,N,8,7
36,1,1,1,1,2,N,5,10
59,6,6,1,1,2,N,3,7
26,1,6,1,1,2,N,8,7
82,1,1,2,1,2,N,N,6
54,1,6,2,1,1,N,4,1
28,2,4,2,1,2,N,9,9
30,8,1,2,1,2,N,3,6
62,6,1,2,1,1,N,2,7
51,2,1,1,1,2,N,6,10
59,2,1,2,1,2,3,9,5
42,6,6,2,1,1,N,7,8
15,2,6,2,1,2,N,1,7
56,7,1,1,1,2,N,3,10
0,3,N,1,3,2,N,1,9
32,1,1,1,1,1,N,9,10
88,1,1,1,1,2,N,6,5
44,2,1,1,1,1,N,5,9
53,2,6,1,1,2,N,5,5
77,9,1,1,1,1,N,0,3
74,6,1,2,1,2,N,2,7
38,1,6,1,1,1,N,2,8
6,1,1,1,1,1,N,5,7
39,2,6,2,1,2,N,4,8
79,1,1,2,1,2,N,6,6
41,1,1,2,1,2,N,0,5
67,2,1,1,1,0,N,8,8
80,1,6,2,1,1,N,8,9
30,9,5,1,1,1,N,5,5
10,1,1,2,2,2,N,2,8
75,1,1,1,1,2,N,7,4
78,2,3,1,1,1,N,8,10
66,2,1,1,1,2,N,7,10
69,1,1,2,1,2,N,1,4
55,1,6,2,1,2,N,0,5
76,1,4,1,1,2,N,2,3
