,AGEP_x,DEYE_x,HISP,MSP,NOC_x,NPF_x,OWN_RENT,PINCP_DECILE_x,POVPIP_x,PUMA,RAC1P,SEX,AGEP_y,DEYE_y,NOC_y,NPF_y,PINCP_DECILE_y,POVPIP_y,percent_match
0,74,2,0,6,3,2,2,8,501,25-02800,2,1,51,2,0,N,8,501,50.0
1,46,2,0,2,0,2,1,7,501,25-01300,6,1,46,2,0,N,9,501,66.66666666666666
2,52,2,3,6,0,N,1,0,501,25-01300,1,1,18,2,0,3,1,501,50.0
3,63,2,0,2,0,N,2,5,340,25-01300,6,1,54,2,0,N,9,501,50.0
4,38,2,4,N,2,4,1,N,302,25-01300,1,2,12,2,0,2,N,222,33.33333333333333
5,13,2,0,4,0,2,1,9,501,25-02800,2,1,79,2,0,N,2,88,33.33333333333333
6,50,2,4,N,2,4,1,N,501,25-00503,1,1,14,2,2,4,N,501,83.33333333333334
7,14,2,0,6,2,5,1,4,285,25-01000,9,2,38,2,0,4,5,501,16.666666666666664
8,69,2,1,1,0,3,2,4,490,25-00703,1,2,37,2,3,5,4,176,33.33333333333333
9,55,2,0,4,3,5,1,8,501,25-00503,9,1,50,2,0,N,6,464,16.666666666666664
10,36,2,4,6,0,3,1,7,390,25-02800,1,1,29,2,0,3,7,501,66.66666666666666
11,19,2,2,6,0,N,2,1,340,25-00503,1,1,15,2,0,4,0,158,33.33333333333333
12,22,2,0,2,0,2,2,3,293,25-01300,1,2,25,2,0,N,1,37,33.33333333333333
13,60,2,4,3,0,N,1,0,275,25-01300,1,2,71,2,0,N,7,501,50.0
14,6,2,4,6,0,N,2,6,501,25-00703,1,1,27,2,0,N,7,501,66.66666666666666
15,46,2,0,3,0,N,2,7,501,25-00703,6,1,90,2,0,4,0,391,33.33333333333333
16,72,2,2,1,0,3,2,2,501,25-01000,1,1,58,2,0,2,0,62,33.33333333333333
17,18,2,0,6,N,N,0,4,407,25-02800,6,2,45,2,N,N,2,95,50.0
18,8,2,4,N,0,4,2,N,501,25-01300,1,1,5,2,2,5,N,369,33.33333333333333
19,45,2,0,1,0,2,2,9,501,25-01300,2,1,32,2,1,4,7,501,33.33333333333333
20,4,2,0,2,1,5,1,3,347,25-02800,6,2,37,2,0,2,0,0,16.666666666666664
21,48,2,0,6,0,3,2,3,158,25-01300,2,1,29,2,1,4,6,501,16.666666666666664
22,90,2,4,1,0,2,2,2,32,25-00503,1,1,38,2,2,4,8,501,16.666666666666664
23,94,2,0,6,1,4,2,6,17,25-02800,6,1,25,2,0,4,4,212,33.33333333333333
24,85,2,0,6,0,4,0,1,N,25-01000,6,1,66,2,N,N,0,N,33.33333333333333
25,35,2,4,1,2,4,2,2,154,25-01300,1,1,39,2,2,5,8,369,33.33333333333333
26,90,2,0,5,0,2,1,7,501,25-02800,6,2,53,2,2,7,5,501,33.33333333333333
27,50,2,4,N,1,5,2,N,491,25-01000,1,2,8,2,5,7,N,155,33.33333333333333
28,30,2,0,3,N,N,2,1,411,25-02800,1,1,81,2,0,N,2,88,33.33333333333333
29,86,2,0,3,0,N,0,2,N,25-00503,6,2,94,2,N,N,0,N,50.0
30,36,2,4,4,0,2,1,7,501,25-01300,1,2,62,2,0,2,7,501,83.33333333333334
31,73,2,0,3,0,3,2,5,105,25-00503,6,1,81,2,0,N,0,0,33.33333333333333
32,55,2,0,4,N,N,1,7,501,25-00703,9,2,35,2,1,2,0,0,16.666666666666664
33,72,2,4,4,0,N,1,2,501,25-01000,1,1,53,2,1,3,8,501,33.33333333333333
34,77,2,0,1,0,2,2,2,168,25-01300,2,2,30,2,1,4,3,501,16.666666666666664
35,71,2,0,3,0,2,2,8,501,25-01300,6,2,80,2,0,N,2,88,33.33333333333333
36,16,2,0,N,2,4,2,N,390,25-01000,2,1,0,2,1,3,N,226,33.33333333333333
37,31,2,0,4,1,5,1,4,325,25-02800,6,2,40,2,1,2,3,102,33.33333333333333
38,10,2,4,6,0,2,2,1,31,25-01300,1,2,32,2,1,2,5,219,33.33333333333333
39,16,2,0,6,N,N,1,4,501,25-00503,8,1,49,2,0,N,6,369,33.33333333333333
40,35,2,4,4,4,N,1,8,501,25-02800,1,1,36,2,0,N,6,463,33.33333333333333
41,46,2,0,1,0,4,2,7,501,25-01000,6,1,29,2,0,2,8,501,50.0
