SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,HISP,PUMA,AGEP,NOC,NPF,POVPIP,DEYE
1.0,1,1.0,1.0,0,0.0,30-00600,54.0,0,2,501,2.0
1.0,1,1.0,1.0,0,0.0,30-00600,54.0,0,2,501,2.0
1.0,1,1.0,1.0,0,0.0,30-00600,54.0,0,2,501,2.0
1.0,1,1.0,1.0,0,0.0,30-00600,54.0,0,4,501,2.0
1.0,1,1.0,1.0,0,0.0,30-00600,54.0,0,4,501,2.0
1.0,1,1.0,1.0,0,0.0,30-00600,54.0,0,4,501,2.0
1.0,1,1.0,1.0,0,0.0,08-00803,31.0,0,2,501,2.0
1.0,1,1.0,1.0,0,0.0,24-01004,57.0,0,2,501,2.0
1.0,1,1.0,1.0,0,0.0,24-01004,57.0,0,2,501,2.0
1.0,1,1.0,1.0,0,0.0,24-01004,57.0,0,2,501,2.0
1.0,1,1.0,1.0,0,0.0,24-01004,57.0,0,2,501,2.0
1.0,1,1.0,1.0,0,0.0,24-01004,57.0,0,3,501,2.0
1.0,1,1.0,1.0,2,0.0,38-00100,39.0,2,4,501,2.0
1.0,1,1.0,1.0,2,0.0,24-01004,61.0,0,2,501,2.0
1.0,1,1.0,1.0,3,0.0,06-08507,64.0,0,2,501,2.0
1.0,1,1.0,1.0,3,0.0,06-08507,64.0,0,2,501,2.0
1.0,1,1.0,1.0,3,0.0,06-08507,64.0,0,2,501,2.0
1.0,1,1.0,1.0,3,0.0,06-08507,64.0,0,2,501,2.0
1.0,1,1.0,1.0,3,0.0,06-08507,64.0,0,2,501,2.0
1.0,1,1.0,1.0,4,0.0,38-00100,72.0,0,2,501,2.0
1.0,1,1.0,1.0,4,0.0,38-00100,72.0,0,2,501,2.0
1.0,1,1.0,1.0,4,0.0,38-00100,72.0,0,2,501,2.0
1.0,1,1.0,1.0,4,0.0,38-00100,72.0,0,2,501,2.0
1.0,1,1.0,1.0,4,0.0,24-01004,65.0,0,3,501,2.0
1.0,1,1.0,1.0,4,0.0,24-01004,65.0,0,3,501,2.0
1.0,1,1.0,1.0,4,0.0,24-01004,76.0,0,2,501,2.0
1.0,1,1.0,1.0,4,0.0,24-01004,76.0,0,2,501,2.0
1.0,1,1.0,1.0,4,0.0,24-01004,76.0,0,2,501,2.0
1.0,1,1.0,1.0,5,0.0,24-01004,55.0,0,2,501,2.0
1.0,1,1.0,1.0,5,0.0,24-01004,55.0,0,2,501,2.0
1.0,1,1.0,1.0,5,0.0,24-01004,55.0,0,3,501,2.0
1.0,1,1.0,1.0,5,0.0,24-01004,61.0,0,2,501,2.0
1.0,1,1.0,1.0,5,0.0,24-01004,61.0,0,2,501,2.0
1.0,1,1.0,1.0,6,0.0,30-00600,54.0,0,4,501,2.0
1.0,1,1.0,1.0,6,0.0,30-00600,54.0,0,4,501,2.0
1.0,1,1.0,1.0,6,0.0,51-51255,59.0,0,3,501,2.0
1.0,1,1.0,1.0,6,0.0,24-01004,70.0,0,2,501,2.0
1.0,1,1.0,1.0,6,0.0,24-01004,70.0,0,2,501,2.0
1.0,1,1.0,1.0,7,0.0,06-07502,60.0,0,2,501,2.0
1.0,1,1.0,1.0,7,0.0,06-07502,60.0,0,2,501,2.0
1.0,1,1.0,1.0,7,0.0,38-00100,68.0,0,2,501,2.0
1.0,1,1.0,1.0,7,0.0,38-00100,68.0,0,2,501,2.0
1.0,1,1.0,1.0,7,0.0,38-00100,68.0,0,2,501,2.0
1.0,1,1.0,1.0,7,0.0,38-00100,68.0,0,2,501,2.0
1.0,1,1.0,1.0,7,0.0,38-00100,68.0,0,2,501,2.0
1.0,1,1.0,1.0,7,0.0,38-00100,72.0,0,2,501,2.0
1.0,1,1.0,1.0,7,0.0,24-01004,55.0,0,3,501,2.0
1.0,1,1.0,1.0,7,0.0,24-01004,55.0,0,3,501,2.0
1.0,1,1.0,1.0,7,0.0,24-01004,55.0,0,3,501,2.0
1.0,1,1.0,1.0,8,0.0,38-00100,39.0,0,3,501,2.0
1.0,1,1.0,1.0,8,0.0,38-00100,39.0,0,3,501,2.0
1.0,1,1.0,1.0,8,0.0,38-00100,39.0,0,4,501,2.0
1.0,1,1.0,1.0,8,0.0,38-00100,58.0,0,2,501,2.0
1.0,1,1.0,1.0,8,0.0,38-00100,58.0,0,2,501,2.0
1.0,1,1.0,1.0,8,0.0,38-00100,58.0,0,3,501,2.0
1.0,1,1.0,1.0,8,0.0,38-00100,67.0,0,2,501,2.0
1.0,1,1.0,1.0,8,0.0,51-51255,31.0,0,2,501,2.0
1.0,1,1.0,1.0,8,0.0,51-51255,31.0,0,2,501,2.0
1.0,1,1.0,1.0,8,0.0,51-51255,31.0,0,2,501,2.0
1.0,1,1.0,1.0,8,0.0,51-51255,31.0,0,2,501,2.0
1.0,1,1.0,1.0,8,0.0,51-51255,53.0,0,3,501,2.0
1.0,1,1.0,1.0,8,0.0,51-51255,53.0,0,3,501,2.0
1.0,1,1.0,1.0,8,0.0,51-51255,62.0,0,2,501,2.0
1.0,1,1.0,1.0,8,0.0,51-51255,62.0,0,2,501,2.0
1.0,1,1.0,1.0,8,0.0,06-08507,45.0,0,4,501,2.0
1.0,1,1.0,1.0,8,0.0,06-08507,48.0,0,4,501,2.0
1.0,1,1.0,1.0,8,0.0,08-00803,31.0,0,2,501,2.0
1.0,1,1.0,1.0,8,0.0,08-00803,31.0,0,2,501,2.0
1.0,1,1.0,1.0,8,0.0,08-00803,31.0,0,2,501,2.0
1.0,1,1.0,1.0,8,0.0,24-01004,58.0,0,2,501,2.0
1.0,1,1.0,1.0,8,0.0,24-01004,58.0,0,2,501,2.0
1.0,1,1.0,1.0,8,0.0,24-01004,58.0,0,2,501,2.0
1.0,1,1.0,1.0,8,0.0,24-01004,58.0,0,2,501,2.0
1.0,1,1.0,1.0,8,0.0,24-01004,58.0,0,2,501,2.0
1.0,1,1.0,1.0,8,0.0,26-02702,67.0,0,2,501,2.0
1.0,1,1.0,1.0,8,0.0,26-02702,67.0,0,2,501,2.0
1.0,1,1.0,1.0,9,0.0,30-00600,54.0,0,2,501,2.0
1.0,1,1.0,1.0,9,0.0,30-00600,54.0,0,2,501,2.0
1.0,1,1.0,1.0,9,0.0,30-00600,54.0,0,4,501,2.0
1.0,1,1.0,1.0,9,0.0,30-00600,54.0,0,4,501,2.0
1.0,1,1.0,1.0,9,0.0,30-00600,54.0,0,4,501,2.0
1.0,1,1.0,1.0,9,0.0,30-00600,66.0,0,2,501,2.0
1.0,1,1.0,1.0,9,0.0,30-00600,66.0,0,2,501,2.0
1.0,1,1.0,1.0,9,0.0,30-00600,66.0,0,2,501,2.0
1.0,1,1.0,1.0,9,0.0,30-00600,67.0,0,2,501,2.0
1.0,1,1.0,1.0,9,0.0,30-00600,67.0,0,2,501,2.0
1.0,1,1.0,1.0,9,0.0,30-00600,67.0,0,2,501,2.0
1.0,1,1.0,1.0,9,0.0,30-00600,67.0,0,2,501,2.0
1.0,1,1.0,1.0,9,0.0,36-04010,40.0,1,2,501,2.0
1.0,1,1.0,1.0,9,0.0,36-04010,40.0,1,2,501,2.0
1.0,1,1.0,1.0,9,0.0,36-04010,40.0,1,2,501,2.0
1.0,1,1.0,1.0,9,0.0,36-04010,40.0,1,2,501,2.0
1.0,1,1.0,1.0,9,0.0,36-04010,40.0,1,4,501,2.0
1.0,1,1.0,1.0,9,0.0,38-00100,58.0,0,2,501,2.0
1.0,1,1.0,1.0,9,0.0,38-00100,58.0,0,2,501,2.0
1.0,1,1.0,1.0,9,0.0,38-00100,58.0,0,2,501,2.0
1.0,1,1.0,1.0,9,0.0,38-00100,58.0,0,2,501,2.0
1.0,1,1.0,1.0,9,0.0,38-00100,58.0,0,3,501,2.0
1.0,1,1.0,1.0,9,0.0,38-00100,58.0,0,3,501,2.0
1.0,1,1.0,1.0,9,0.0,38-00100,58.0,0,3,501,2.0
1.0,1,1.0,1.0,9,0.0,51-51255,37.0,0,2,501,2.0
1.0,1,1.0,1.0,9,0.0,51-51255,37.0,0,2,501,2.0
1.0,1,1.0,1.0,9,0.0,51-51255,37.0,0,2,501,2.0
1.0,1,1.0,1.0,9,0.0,06-08507,48.0,2,4,501,2.0
1.0,1,1.0,1.0,9,0.0,06-08507,48.0,2,4,501,2.0
1.0,1,1.0,1.0,9,0.0,06-08507,48.0,2,4,501,2.0
1.0,1,1.0,1.0,9,0.0,06-08507,48.0,2,4,501,2.0
1.0,1,1.0,1.0,9,0.0,06-08507,51.0,0,3,501,2.0
1.0,1,1.0,1.0,9,0.0,06-08507,51.0,0,3,501,2.0
1.0,1,1.0,1.0,9,0.0,24-01004,32.0,0,2,501,2.0
1.0,1,1.0,1.0,9,0.0,24-01004,32.0,0,2,501,2.0
1.0,1,1.0,1.0,9,0.0,24-01004,32.0,0,2,501,2.0
1.0,1,1.0,1.0,9,0.0,24-01004,32.0,0,2,501,2.0
