,INDP,count_target,count_deidentified
12,4670,25,3.0
22,4680,3,2.0
6,4690,9,6.0
18,4770,14,7.0
33,4780,3,8.0
20,4795,24,6.0
15,4870,27,7.0
16,4880,7,6.0
31,4890,4,5.0
5,4971,79,6.0
27,4972,7,7.0
25,4980,11,2.0
10,4990,11,5.0
13,5070,32,5.0
7,5080,15,2.0
30,5090,9,2.0
1,5170,48,4.0
14,5180,6,3.0
8,5190,10,1.0
3,5275,18,1.0
29,5295,4,1.0
4,5370,5,4.0
24,5381,10,3.0
11,5391,16,5.0
32,5470,2,0.0
23,5480,7,2.0
2,5490,9,1.0
21,5570,8,0.0
17,5580,15,0.0
9,5593,26,0.0
26,5670,3,0.0
28,5680,6,0.0
19,5690,1,1.0
0,5790,19,1.0
