,feature,divergence
23,WGTP,6.959604250438724
22,PWGTP,1.8779102428063172
11,INDP,0.7518418688230006
12,INDP_CAT,0.6937030198567559
14,PINCP,0.5594484629294756
1,AGEP,0.4243343830518179
10,DENSITY,0.1556580617858655
16,POVPIP,0.12963713016910872
15,PINCP_DECILE,0.11914556962025319
7,NPF,0.07045217087781672
13,EDU,0.05009554597038405
0,PUMA,0.0349001354605365
17,DVET,0.030339411096979043
6,NOC,0.020066741726183744
5,RAC1P,0.019974378189376914
3,MSP,0.0191731575793888
4,HISP,0.008347691969842039
9,OWN_RENT,0.006126296136310411
20,DEYE,0.004922474219270268
21,DEAR,0.004376506577446253
8,HOUSING_TYPE,0.004334760879547664
19,DPHY,0.0028241580789260673
2,SEX,0.0027856203509137867
18,DREM,0.002209389941314574
